SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927772,interacts with,ARMC1 (interacts with) PCMT1,0.813252505,0.083085317,0.587912088,FALSE,interacts with,ARMC1 (interacts with) PCMT1,PCMT1,ARMC1
9927773,interacts with,ARMC1 (interacts with) PAFAH1B1,0.779493665,0.045833333,0.738095238,FALSE,interacts with,ARMC1 (interacts with) PAFAH1B1,PAFAH1B1,ARMC1
9927774,interacts with,ARMC1 (interacts with) ZC3H15,0.197267262,0.048015873,0.825980392,FALSE,interacts with,ARMC1 (interacts with) ZC3H15,ZC3H15,ARMC1
9927775,interacts with,ARMC1 (interacts with) U2AF2,0.745690873,0.026520014,-0.549450549,FALSE,interacts with,ARMC1 (interacts with) U2AF2,U2AF2,ARMC1
9927776,interacts with,ARMC1 (interacts with) VPS35,0.614809278,0.007242063,0.880952381,FALSE,interacts with,ARMC1 (interacts with) VPS35,VPS35,ARMC1
9927777,interacts with,ARMC1 (interacts with) CUL1,0.230751883,0.066269841,0.75,FALSE,interacts with,ARMC1 (interacts with) CUL1,CUL1,ARMC1
9927778,interacts with,ARMC1 (interacts with) PSMD6,0.575659484,0.004563492,0.904761905,FALSE,interacts with,ARMC1 (interacts with) PSMD6,PSMD6,ARMC1
9927779,interacts with,ARMC1 (interacts with) PDHB,0.089107644,0.006746032,0.928571429,FALSE,interacts with,ARMC1 (interacts with) PDHB,PDHB,ARMC1
9927780,interacts with,AMPH (interacts with) CFLAR,0.891347804,0.196626984,-0.523809524,FALSE,interacts with,AMPH (interacts with) CFLAR,CFLAR,AMPH
9927781,interacts with,BST2 (interacts with) ID3,0.371077115,0.166666667,0.752941176,FALSE,interacts with,BST2 (interacts with) ID3,ID3,BST2
9927782,interacts with,TRIM5 (interacts with) RAB27A,0.891347804,0.186472461,-0.821428571,FALSE,interacts with,TRIM5 (interacts with) RAB27A,RAB27A,TRIM5
9927783,interacts with,SOGA1 (interacts with) GULP1,0.230751883,0.066269841,0.505494505,FALSE,interacts with,SOGA1 (interacts with) GULP1,GULP1,SOGA1
9927784,interacts with,AAAS (interacts with) PCMT1,0.868018022,0.146331533,-0.81127451,FALSE,interacts with,AAAS (interacts with) PCMT1,PCMT1,AAAS
9927785,interacts with,HDGF (interacts with) HSPB7,0.86360028,0.126198986,0.586836868,FALSE,interacts with,HDGF (interacts with) HSPB7,HSPB7,HDGF
9927786,interacts with,PRPS1 (interacts with) FLNA,0.265737006,0.088095238,-0.656862745,FALSE,interacts with,PRPS1 (interacts with) FLNA,FLNA,PRPS1
9927787,interacts with,KIF3A (interacts with) NOTCH3,0.409830053,0.2,-0.730769231,FALSE,interacts with,KIF3A (interacts with) NOTCH3,NOTCH3,KIF3A
9927788,interacts with,EPHX1 (interacts with) USP14,0.898526805,0.200534474,-0.713235294,FALSE,interacts with,EPHX1 (interacts with) USP14,USP14,EPHX1
9927789,interacts with,ALPL (interacts with) CMTM6,0.86360028,0.132291667,0.595238095,FALSE,interacts with,ALPL (interacts with) CMTM6,CMTM6,ALPL
