SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
9927948,interacts with,OAT (interacts with) PPP3CA,0.109507431,0.012301587,0.708333333,FALSE,interacts with,PPP3CA,OAT
9927947,interacts with,SPOCK1 (interacts with) HERC1,0.071858659,0.002777778,0.708823529,FALSE,interacts with,HERC1,SPOCK1
9927944,interacts with,ALAS1 (interacts with) DYNLT3,0.071858659,0.002777778,0.964285714,FALSE,interacts with,DYNLT3,ALAS1
9927926,interacts with,CDC123 (interacts with) PSMD1,0.265737006,0.088095238,0.75,FALSE,interacts with,PSMD1,CDC123
9927924,interacts with,ATP6V1B2 (interacts with) GOT2,0.799253672,0.057589286,0.714285714,FALSE,interacts with,GOT2,ATP6V1B2
9927923,interacts with,ATP6V1B2 (interacts with) MRPL9,0.071858659,0.002777778,0.964285714,FALSE,interacts with,MRPL9,ATP6V1B2
9927922,interacts with,FKBP3 (interacts with) PCMT1,0.86360028,0.132291667,0.576923077,FALSE,interacts with,PCMT1,FKBP3
9927921,interacts with,TMOD1 (interacts with) TRIP10,0.371077115,0.166666667,-0.607142857,FALSE,interacts with,TRIP10,TMOD1
9927934,interacts with,GGH (interacts with) MYH9,0.144518824,0.023809524,-0.623529412,FALSE,interacts with,MYH9,GGH
9927928,interacts with,CDC123 (interacts with) MAPRE2,0.197267262,0.048015873,0.769607843,FALSE,interacts with,MAPRE2,CDC123
9927927,interacts with,CDC123 (interacts with) ATP6V1A,0.144518824,0.023809524,0.607142857,FALSE,interacts with,ATP6V1A,CDC123
9927974,interacts with,RAN (interacts with) PFN2,0.089107644,0.006746032,0.840659341,FALSE,interacts with,PFN2,RAN
9927970,interacts with,MORF4L1 (interacts with) EFEMP2,0.745690873,0.027926587,-0.639705882,FALSE,interacts with,EFEMP2,MORF4L1
