"SUID","EdgeBetweenness","interaction","name","p.adj","p.vec","reg.mat","selected","shared interaction","shared name","X"
"9932565","266.83089349","interacts with","BCAS2 (interacts with) RASA1","0.745690873445073","0.0250762731213586","0.857142857142857","false","interacts with","BCAS2 (interacts with) RASA1","RASA1:BCAS2"
"9932566","574.65263133","interacts with","BCAS2 (interacts with) IKBKB","0.144518824391785","0.0238095238095238","-0.698529411764706","false","interacts with","BCAS2 (interacts with) IKBKB","IKBKB:BCAS2"
"9932567","1319.08834191","interacts with","BCAS2 (interacts with) AKAP12","0.713463150372692","0.0195445372748578","0.764705882352941","false","interacts with","BCAS2 (interacts with) AKAP12","AKAP12:BCAS2"
"9932568","981.56688493","interacts with","BCAS2 (interacts with) SKIV2L2","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","BCAS2 (interacts with) SKIV2L2","SKIV2L2:BCAS2"
"9932569","1379.54034594","interacts with","BCAS2 (interacts with) SNAP25","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","BCAS2 (interacts with) SNAP25","SNAP25:BCAS2"
"9932570","987.00250416","interacts with","BCAS2 (interacts with) PCMT1","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","BCAS2 (interacts with) PCMT1","PCMT1:BCAS2"
"9932571","776.0","interacts with","BCAS2 (interacts with) PPP2R2B","0.109507430764323","0.0123015873015873","-0.892857142857143","false","interacts with","BCAS2 (interacts with) PPP2R2B","PPP2R2B:BCAS2"
"9932572","390.0","interacts with","CTC1 (interacts with) CLK1","0.144518824391785","0.0238095238095238","-0.857142857142857","false","interacts with","CTC1 (interacts with) CLK1","CLK1:CTC1"
"9932573","5241.47692308","interacts with","CDC123 (interacts with) ATP6V1A","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","CDC123 (interacts with) ATP6V1A","ATP6V1A:CDC123"
"9932574","3249.47692308","interacts with","CDC123 (interacts with) MAPRE2","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","CDC123 (interacts with) MAPRE2","MAPRE2:CDC123"
"9932575","1910.0","interacts with","CDC123 (interacts with) PSMD1","0.265737005578696","0.0880952380952381","0.75","false","interacts with","CDC123 (interacts with) PSMD1","PSMD1:CDC123"
"9932576","789.67613109","interacts with","RAN (interacts with) PCMT1","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","RAN (interacts with) PCMT1","PCMT1:RAN"
"9932577","2221.33685606","interacts with","RAN (interacts with) VPS35","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","RAN (interacts with) VPS35","VPS35:RAN"
"9932578","390.0","interacts with","RAN (interacts with) STAU1","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","RAN (interacts with) STAU1","STAU1:RAN"
"9932579","2553.92768642","interacts with","RAN (interacts with) PFN2","0.089107643904515","0.00674603174603175","0.840659340659341","false","interacts with","RAN (interacts with) PFN2","PFN2:RAN"
"9932580","390.0","interacts with","EIF4ENIF1 (interacts with) MAPRE2","0.464712984799686","9.16180197308203E-4","-0.927105069301107","false","interacts with","EIF4ENIF1 (interacts with) MAPRE2","MAPRE2:EIF4ENIF1"
"9932581","567.94545455","interacts with","PAFAH1B1 (interacts with) ANK2","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","PAFAH1B1 (interacts with) ANK2","ANK2:PAFAH1B1"
"9932582","2319.05174825","interacts with","PAFAH1B1 (interacts with) PFN2","0.265737005578696","0.0880952380952381","0.714285714285714","false","interacts with","PAFAH1B1 (interacts with) PFN2","PFN2:PAFAH1B1"
"9932583","1200.13164351","interacts with","MORF4L1 (interacts with) PCMT1","0.764862124895442","0.0367559523809524","0.607142857142857","false","interacts with","MORF4L1 (interacts with) PCMT1","PCMT1:MORF4L1"
"9932584","862.79831018","interacts with","MORF4L1 (interacts with) EFEMP2","0.745690873445073","0.0279265873015873","-0.639705882352941","false","interacts with","MORF4L1 (interacts with) EFEMP2","EFEMP2:MORF4L1"
"9932585","390.0","interacts with","TMOD1 (interacts with) TRIP10","0.371077114943798","0.166666666666667","-0.607142857142857","false","interacts with","TMOD1 (interacts with) TRIP10","TRIP10:TMOD1"
"9932586","426.37360636","interacts with","FURIN (interacts with) HABP4","0.371077114943798","0.166666666666667","-0.714285714285714","false","interacts with","FURIN (interacts with) HABP4","HABP4:FURIN"
"9932587","390.0","interacts with","FURIN (interacts with) HSP90AB1","0.19726726209115","0.048015873015873","-0.785714285714285","false","interacts with","FURIN (interacts with) HSP90AB1","HSP90AB1:FURIN"
"9932588","390.0","interacts with","FURIN (interacts with) GNAI2","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","FURIN (interacts with) GNAI2","GNAI2:FURIN"
"9932589","1426.57230766","interacts with","FURIN (interacts with) USP14","0.230751883077744","0.0662698412698413","-0.529411764705882","false","interacts with","FURIN (interacts with) USP14","USP14:FURIN"
"9932590","956.0","interacts with","GOT1 (interacts with) VDAC3","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","GOT1 (interacts with) VDAC3","VDAC3:GOT1"
"9932591","580.0","interacts with","GOT1 (interacts with) HINT1","0.698932738289701","0.0140864883998656","0.534313725490196","false","interacts with","GOT1 (interacts with) HINT1","HINT1:GOT1"
"9932592","390.0","interacts with","GLMN (interacts with) TRIM8","0.19726726209115","0.048015873015873","-0.785714285714285","false","interacts with","GLMN (interacts with) TRIM8","TRIM8:GLMN"
"9932593","932.75628734","interacts with","DNM1L (interacts with) NELL1","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","DNM1L (interacts with) NELL1","NELL1:DNM1L"
"9932594","1270.08962067","interacts with","DNM1L (interacts with) UBE2V2","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","DNM1L (interacts with) UBE2V2","UBE2V2:DNM1L"
"9932595","390.0","interacts with","CCDC6 (interacts with) DLG2","0.745690873445073","0.0279265873015873","0.785714285714286","false","interacts with","CCDC6 (interacts with) DLG2","DLG2:CCDC6"
"9932596","390.0","interacts with","MDH2 (interacts with) IKBKB","0.409830052785837","0.2","0.571428571428571","false","interacts with","MDH2 (interacts with) IKBKB","IKBKB:MDH2"
"9932597","2.0","interacts with","AMPH (interacts with) CFLAR","0.891347803718289","0.196626984126984","-0.523809523809524","false","interacts with","AMPH (interacts with) CFLAR","CFLAR:AMPH"
"9932598","1475.20834503","interacts with","PJA2 (interacts with) USP14","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","PJA2 (interacts with) USP14","USP14:PJA2"
"9932599","683.16245308","interacts with","PJA2 (interacts with) ARL1","0.872262272775064","0.166987624732154","0.892857142857143","false","interacts with","PJA2 (interacts with) ARL1","ARL1:PJA2"
"9932600","1137.65633049","interacts with","PJA2 (interacts with) VPS35","0.051975842430622","3.96825396825397E-4","0.963235294117647","false","interacts with","PJA2 (interacts with) VPS35","VPS35:PJA2"
"9932601","329.71492636","interacts with","PJA2 (interacts with) TRIM8","0.0718586588842205","0.00277777777777778","-0.964285714285714","false","interacts with","PJA2 (interacts with) TRIM8","TRIM8:PJA2"
"9932602","408.53101028","interacts with","PJA2 (interacts with) YBX1","0.19726726209115","0.048015873015873","-0.576923076923077","false","interacts with","PJA2 (interacts with) YBX1","YBX1:PJA2"
"9932603","654.84792985","interacts with","ARMC1 (interacts with) CDC42","0.448780165372471","0.235714285714286","0.535714285714286","false","interacts with","ARMC1 (interacts with) CDC42","CDC42:ARMC1"
"9932604","776.0","interacts with","ARMC1 (interacts with) NFATC1","0.109507430764323","0.0123015873015873","-0.892857142857143","false","interacts with","ARMC1 (interacts with) NFATC1","NFATC1:ARMC1"
"9932605","1759.53620628","interacts with","ARMC1 (interacts with) ATP6V1A","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","ARMC1 (interacts with) ATP6V1A","ATP6V1A:ARMC1"
"9932606","312.58702625","interacts with","ARMC1 (interacts with) RASA1","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","ARMC1 (interacts with) RASA1","RASA1:ARMC1"
"9932607","390.0","interacts with","ARMC1 (interacts with) TMEM30A","0.813252504549783","0.0830853174603175","0.841176470588235","false","interacts with","ARMC1 (interacts with) TMEM30A","TMEM30A:ARMC1"
"9932608","821.22067821","interacts with","ARMC1 (interacts with) PCMT1","0.813252504549783","0.0830853174603175","0.587912087912088","false","interacts with","ARMC1 (interacts with) PCMT1","PCMT1:ARMC1"
"9932609","2433.31645306","interacts with","ARMC1 (interacts with) PAFAH1B1","0.779493665351556","0.0458333333333333","0.738095238095238","false","interacts with","ARMC1 (interacts with) PAFAH1B1","PAFAH1B1:ARMC1"
"9932610","460.86780919","interacts with","ARMC1 (interacts with) ZC3H15","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","ARMC1 (interacts with) ZC3H15","ZC3H15:ARMC1"
"9932611","528.46509263","interacts with","ARMC1 (interacts with) U2AF2","0.089107643904515","0.00674603174603175","-0.928571428571428","false","interacts with","ARMC1 (interacts with) U2AF2","U2AF2:ARMC1"
"9932612","1338.90251457","interacts with","ARMC1 (interacts with) VPS35","0.614809277797713","0.00724206349206349","0.880952380952381","false","interacts with","ARMC1 (interacts with) VPS35","VPS35:ARMC1"
"9932613","390.0","interacts with","ARMC1 (interacts with) CUL1","0.230751883077744","0.0662698412698413","0.75","false","interacts with","ARMC1 (interacts with) CUL1","CUL1:ARMC1"
"9932614","390.0","interacts with","ARMC1 (interacts with) PSMD6","0.409830052785837","0.2","0.571428571428571","false","interacts with","ARMC1 (interacts with) PSMD6","PSMD6:ARMC1"
"9932615","401.28090602","interacts with","ARMC1 (interacts with) PDHB","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","ARMC1 (interacts with) PDHB","PDHB:ARMC1"
"9932616","390.0","interacts with","ADAM15 (interacts with) U2AF2","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","ADAM15 (interacts with) U2AF2","U2AF2:ADAM15"
"9932617","390.0","interacts with","TRIM5 (interacts with) RAB27A","0.891347803718289","0.186472460522553","-0.821428571428571","false","interacts with","TRIM5 (interacts with) RAB27A","RAB27A:TRIM5"
"9932618","776.0","interacts with","SERPINI1 (interacts with) SYNJ1","0.051975842430622","1.45612529161307E-5","0.642857142857143","false","interacts with","SERPINI1 (interacts with) SYNJ1","SYNJ1:SERPINI1"
"9932619","390.0","interacts with","SERPINI1 (interacts with) WNK1","0.409830052785837","0.2","0.571428571428571","false","interacts with","SERPINI1 (interacts with) WNK1","WNK1:SERPINI1"
