“Gene”,”P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"MSN",97.31531764,123.3441014,304.0457867,21.12782228,59.98938801,49.48839206,85.97329761,10
"ITGB1BP1",94.11507012,31.79704361,115.1315326,12.98473581,23.27137075,19.89813088,64.39733636,6
"MIEN1",89.67964448,93.24910574,117.2471358,60.37744378,69.96823486,74.75295736,87.65536009,5
"BRAP",83.96517592,37.72063654,79.77544958,13.19377273,18.96819762,17.50487133,32.09716721,5
"TMSB10",871.936244,937.5654156,1746.917245,151.749209,373.8670843,350.7784933,816.9730541,10
"SMC6",38.98565411,39.24934941,45.70226091,29.60946132,31.23757446,31.3857792,36.17161085,3
"NDRG1",80.17898876,120.4945831,111.4996442,69.65923843,110.6707924,64.4317353,92.41507012,10
"ZNF599",21.46403358,7.410786848,17.12641948,11.52384996,8.61557796,6.25099532,12.44620196,8
"COL1A1",89.21507012,130.0164056,89.92008897,166.1698959,173.6641173,309.5005293,146.7144471,10
"RBM4",108.6469939,30.26931097,30.66665334,25.4378645,30.10419166,24.62658543,53.16461057,4
"NUP37",8.90752349,7.563439859,21.03686776,8.653752198,8.021475329,8.099685282,9.024566828,5
"ASB9",5.354224592,7.437299991,6.069667587,9.484101047,8.335123881,8.686152479,6.869316897,6
"SNW1",408.0141741,346.4866866,411.3776188,31.45199183,161.0257695,91.35589732,278.5524383,10
"KCTD6",245.234348,71.00336012,125.7150701,21.2506991,26.89172575,34.43262681,81.70403475,10
"RBBP7",243.9964388,145.0150701,183.0150701,29.33553507,80.21507012,50.81932069,120.0730407,10
"MYL6B",179.1710756,65.51507039,106.9081461,70.36364363,56.73646375,34.71116487,76.02231003,6
"SLC25A17",196.6106425,73.09694359,254.8069237,26.27108953,35.81188486,31.3402677,89.19383589,8
"LRRK2",41.65594383,27.3631018,26.65828937,7.999514128,14.79499065,7.485691082,23.00906051,3
"HERPUD1",199.9337232,102.5263023,309.4366767,19.19090185,114.2339211,52.40692339,115.164475,10
"PLSCR4",65.01507039,98.19729262,79.21507012,26.98088377,85.38032636,125.4458953,74.86623931,10
"HLTF",217.972051,70.7109049,176.9057325,23.22636505,38.50564853,34.08499109,88.41507012,9
"TDP2",414.8705024,86.74320634,296.0134025,7.433370975,42.42053693,25.63026365,126.7366845,10
"TAF4",35.24716234,18.9586695,51.90368548,26.36668804,28.58287436,27.12962898,31.71396048,8
"ACSL6",380.521304,257.1777466,649.6611749,11.5504191,95.22014241,19.76231798,210.0616666,10
"YOD1",54.3925454,41.64835088,105.4951364,15.02181528,10.81554207,14.34855863,36.86158265,10
"MITF",140.537821,41.95362311,75.12483625,17.94234785,41.53947033,32.22229027,28.80169184,10
"ZNF17",5.69393984,10.96416755,6.359033062,5.136402733,5.34009367,6.048801925,5.290571796,3
"ADSS",178.9627868,59.05015377,175.1503331,14.3743313,29.85889388,24.71610349,76.56491177,9
"SNX11",176.3524234,108.8695132,111.1853176,106.2496524,125.543628,119.6913301,138.2057046,5
"MED12",27.3013047,31.08684646,28.46595373,26.35134921,28.5259773,31.35629501,23.24306861,3
"CHCHD2",276.2804613,93.39312293,113.5436603,55.51508436,67.52196225,58.73949074,138.4324899,8
"POT1",109.852566,38.96501295,94.05993248,12.47868331,29.14315599,22.84231194,54.69570403,10
"SEC24B",118.7204356,55.03196707,132.1211325,5.489876158,17.05773791,8.635048775,43.69076252,9
"SF3B4",153.6775216,92.44200584,141.0927226,29.93694602,61.55074936,69.68617086,84.99222211,4
"CBFA2T3",18.89179757,16.55602299,24.3230232,36.06890193,35.19287391,25.62338026,24.3230232,3
"PECAM1",86.0010281,200.6169431,114.5068189,76.86875537,104.7633767,108.8944097,103.3154956,10
"CDC6",6.832331628,8.575147105,6.439445627,7.172199848,7.608311816,8.999142916,8.419480343,4
"STRADB",145.0406936,101.0249382,160.3150701,94.51482215,59.68504017,47.06882051,114.2449973,6
