HGNC ID	Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
HGNC:48357	KLRC4-KLRK1		
HGNC:6378	KLRD1		Q13241
HGNC:13342	KLRF1	"CLEC5C, NKp80"	Q9NZS2
HGNC:37646	KLRF2	NKp65	D3W0D1
HGNC:6380	KLRG1	"MAFA, 2F1, MAFA-L, CLEC15A"	Q96E93
HGNC:24778	KLRG2	"FLJ44186, CLEC15B"	A4D1S0
HGNC:18788	KLRK1	"NKG2D, KLR, NKG2-D, CD314"	P26718
HGNC:6381	KMO		O15229
HGNC:6382	KMS		
HGNC:7132	KMT2A	"TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A"	Q03164
HGNC:15840	KMT2B	"KIAA0304, MLL2, TRX2, HRX2, WBP7, MLL1B, MLL4, CXXC10"	Q9UMN6
HGNC:13726	KMT2C	"KIAA1506, HALR"	Q8NEZ4
HGNC:7133	KMT2D	"ALR, MLL4, CAGL114"	O14686
HGNC:18541	KMT2E	HDCMC04P	Q8IZD2
HGNC:40845	KMT2E-AS1	LOC100216545	
HGNC:29489	KMT5A	"SET8, SET07, PR-Set7"	Q9NQR1
HGNC:24283	KMT5B	CGI-85	Q4FZB7
HGNC:28405	KMT5C	MGC2705	Q86Y97
HGNC:26488	KNCN	"FLJ32011, KINO, L5"	A6PVL3
HGNC:29374	KNDC1	"KIAA1768, bB439H18.3, FLJ25027, Very-KIND, v-KIND"	Q76NI1
HGNC:6383	KNG1	BK	P01042
HGNC:24054	KNL1	"D40, AF15Q14, CT29, KIAA1570, hKNL-1, hSpc105, PPP1R55, Spc7"	Q8NG31
HGNC:6384	KNO~withdrawn		
HGNC:34404	KNOP1	"101F10.1, FAM191A, TSG118"	Q1ED39
HGNC:48919	KNOP1P1		
HGNC:48920	KNOP1P2		
HGNC:48921	KNOP1P3		
HGNC:48922	KNOP1P4		
HGNC:48923	KNOP1P5		
HGNC:6385	KNPEP~withdrawn		
HGNC:6386	KNS1~withdrawn		
HGNC:30767	KNSTRN	"FLJ14502, SKAP, kinastrin, TRAF4AF1"	Q9Y448
HGNC:17255	KNTC1	"KIAA0166, ROD"	P50748
HGNC:6394	KPNA1	"SRP1, RCH2, NPI-1, IPOA5"	P52294
HGNC:6395	KPNA2	"SRP1alpha, IPOA1, QIP2"	P52292
HGNC:52871	KPNA2P1		
HGNC:52872	KPNA2P2		
HGNC:52870	KPNA2P3		
HGNC:6396	KPNA3	"SRP1gamma, SRP4, hSRP1, IPOA4"	O00505
HGNC:41356	KPNA3-IT1~withdrawn		
HGNC:6397	KPNA4	"QIP1, SRP3, IPOA3, MGC12217, MGC26703"	O00629
HGNC:6398	KPNA5	"SRP6, IPOA6"	O15131
HGNC:6399	KPNA6	"IPOA7, KPNA7, MGC17918, FLJ11249"	O60684
HGNC:21839	KPNA7	IPOA8	A9QM74
HGNC:6400	KPNB1	"NTF97, IPOB, MGC2155, MGC2156, MGC2157, IMB1, Impnb, IPO1"	Q14974
HGNC:6403	KPP~withdrawn		
HGNC:31823	KPRP		Q5T749
HGNC:6404	KPTN	2.00E+04	Q9Y664
HGNC:6405	KRAG~withdrawn		
HGNC:6407	KRAS	KRAS1	P01116
HGNC:6406	KRASP1		
HGNC:22228	KRBA1	KIAA1862	A5PL33
HGNC:26989	KRBA2		Q6ZNG9
HGNC:38708	KRBOX1		C9JBD0
HGNC:42942	KRBOX1-AS1	FLJ32776	
HGNC:26007	KRBOX4	FLJ20344	Q5JUW0
HGNC:28039	KRCC1	FLJ22333	Q9NPI7
HGNC:17550	KREMEN1	KRM1	Q96MU8
HGNC:18797	KREMEN2	"MGC10791, KRM2"	Q8NCW0
HGNC:25769	KRI1	FLJ12949	Q8N9T8
HGNC:1573	KRIT1	CAM	O00522
HGNC:6409	KRN1~withdrawn		
HGNC:6410	KRN1L~withdrawn		
HGNC:6411	KROX20~withdrawn		
HGNC:5176	KRR1	RIP-1	Q13601
HGNC:39580	KRR1P1		
HGNC:6412	KRT1	KRT1A	P04264
HGNC:6439	KRT2	KRTE	P35908
HGNC:6440	KRT3	"CK3, K3"	P12035
HGNC:6441	KRT4	"CK4, K4"	P19013
HGNC:6442	KRT5	KRT5A	P13647
HGNC:6443	KRT6A	"CK6C, K6C, CK6D, K6D"	P02538
HGNC:6444	KRT6B		P04259
HGNC:20406	KRT6C		P48668
HGNC:20405	KRT6D~withdrawn		
HGNC:6445	KRT7	"K7, CK7, K2C7, SCL"	P08729
HGNC:52643	KRT7-AS		
HGNC:6446	KRT8	"CARD2, K8, CK8, CYK8, K2C8, KO"	P05787
HGNC:20281	KRT8P1		
HGNC:20282	KRT8P2	OTTHUMG00000135122	
HGNC:31056	KRT8P3		
HGNC:31057	KRT8P4		
HGNC:31094	KRT8P5		
HGNC:33360	KRT8P6		
HGNC:33361	KRT8P7		
HGNC:33362	KRT8P8		
HGNC:33363	KRT8P9		
HGNC:33364	KRT8P10		
HGNC:31058	KRT8P11	RP11-13B9.3	
HGNC:28057	KRT8P12		
HGNC:33365	KRT8P13		
HGNC:33366	KRT8P14		
HGNC:33367	KRT8P15		
HGNC:33368	KRT8P16		
HGNC:33369	KRT8P17		
HGNC:33370	KRT8P18		
HGNC:33371	KRT8P19		
HGNC:33372	KRT8P20		
HGNC:33373	KRT8P21		
HGNC:33374	KRT8P22		
HGNC:33375	KRT8P23		
HGNC:33376	KRT8P24		
HGNC:33377	KRT8P25		
HGNC:33378	KRT8P26		
HGNC:33379	KRT8P27		
HGNC:33380	KRT8P28		
HGNC:33381	KRT8P29		
HGNC:33382	KRT8P30		
HGNC:39865	KRT8P31		
HGNC:39866	KRT8P32		
HGNC:39867	KRT8P33		
HGNC:39868	KRT8P34		
HGNC:39869	KRT8P35		
HGNC:39870	KRT8P36		
HGNC:39871	KRT8P37		
HGNC:39872	KRT8P38		
HGNC:39873	KRT8P39		
HGNC:39874	KRT8P40		
HGNC:39875	KRT8P41		
HGNC:39876	KRT8P42		
HGNC:39877	KRT8P43		
HGNC:39878	KRT8P44		
HGNC:39879	KRT8P45		
HGNC:39880	KRT8P46		
HGNC:44461	KRT8P47		
HGNC:48344	KRT8P48		
HGNC:48345	KRT8P49		
HGNC:48346	KRT8P50		
HGNC:48883	KRT8P51		
HGNC:6447	KRT9	"EPPK, K9, CK-9"	P35527
HGNC:6413	KRT10	"K10, CK10"	P13645
HGNC:6414	KRT12	K12	Q99456
HGNC:6415	KRT13	"K13, CK13, MGC3781, MGC161462"	P13646
HGNC:6416	KRT14		P02533
HGNC:6417	KRT14L1~withdrawn		
HGNC:6418	KRT14L2~withdrawn		
HGNC:6419	KRT14L3~withdrawn		
HGNC:6421	KRT15	"K15, CK15, K1CO"	P19012
HGNC:6422	KRT15L~withdrawn		
HGNC:6423	KRT16	NEPPK	P08779
HGNC:6424	KRT16L1~withdrawn		
HGNC:6425	KRT16L2~withdrawn		
HGNC:6420	KRT16P1		
HGNC:6426	KRT16P1~withdrawn		
HGNC:37807	KRT16P2		
HGNC:37808	KRT16P3	MGC102966	
HGNC:37809	KRT16P4		
HGNC:37810	KRT16P5		
HGNC:50719	KRT16P6		
HGNC:6427	KRT17		Q04695
HGNC:6428	KRT17P1		
HGNC:6429	KRT17P2		
HGNC:33697	KRT17P3		
HGNC:50722	KRT17P4		
HGNC:50723	KRT17P5		
HGNC:50724	KRT17P6		
HGNC:50725	KRT17P7		
HGNC:50726	KRT17P8		
HGNC:6430	KRT18		P05783
HGNC:6434	KRT18P1	dJ25J6.3	
HGNC:6435	KRT18P2	OTTHUMG00000078062	
HGNC:16540	KRT18P3	"bA359G22.1, OTTHUMG00000032046"	
HGNC:16604	KRT18P4	"dJ963K23.1, OTTHUMG00000032705"	
HGNC:19259	KRT18P5		
HGNC:20280	KRT18P6		
HGNC:20283	KRT18P7		
HGNC:31093	KRT18P8		
HGNC:17767	KRT18P9	bA513I15.2	
HGNC:23962	KRT18P10		
HGNC:6431	KRT18P11		
HGNC:33410	KRT18P12		
HGNC:6432	KRT18P13		
HGNC:6433	KRT18P14		
HGNC:32449	KRT18P15		
HGNC:33384	KRT18P16		
HGNC:33385	KRT18P17		
HGNC:33386	KRT18P18		
HGNC:33387	KRT18P19		
HGNC:33388	KRT18P20		
HGNC:33389	KRT18P21		
HGNC:33390	KRT18P22		
HGNC:33392	KRT18P23		
HGNC:33393	KRT18P24		
HGNC:33394	KRT18P25		
HGNC:33395	KRT18P26		
HGNC:33396	KRT18P27		
HGNC:33397	KRT18P28		
HGNC:33398	KRT18P29		
HGNC:33399	KRT18P30		
HGNC:33400	KRT18P31		
HGNC:33401	KRT18P32		
HGNC:33402	KRT18P33		
HGNC:33403	KRT18P34		
HGNC:33404	KRT18P35		
HGNC:33405	KRT18P36		
HGNC:33406	KRT18P37		
HGNC:33407	KRT18P38		
HGNC:33408	KRT18P39		
HGNC:33409	KRT18P40		
HGNC:33411	KRT18P41		
HGNC:33412	KRT18P42		
HGNC:33413	KRT18P43		
HGNC:33414	KRT18P44		
HGNC:33415	KRT18P45		
HGNC:33416	KRT18P46		
HGNC:33417	KRT18P47		
HGNC:33418	KRT18P48		
HGNC:33419	KRT18P49		
HGNC:33420	KRT18P50		
HGNC:33421	KRT18P51		
HGNC:37888	KRT18P52		
HGNC:38714	KRT18P53		
HGNC:39425	KRT18P54		
HGNC:26874	KRT18P55		
HGNC:43923	KRT18P56		
HGNC:48884	KRT18P57		
HGNC:48885	KRT18P58		
HGNC:48886	KRT18P59		
HGNC:48887	KRT18P60		
HGNC:48888	KRT18P61		
HGNC:48889	KRT18P62		
HGNC:48890	KRT18P63		
HGNC:48891	KRT18P64		
HGNC:48892	KRT18P65		
HGNC:48893	KRT18P66		
HGNC:48894	KRT18P67		
HGNC:48895	KRT18P68		
HGNC:6436	KRT19	"K19, CK19, K1CS, MGC15366"	P08727
HGNC:33422	KRT19P1		
HGNC:33423	KRT19P2		
HGNC:33424	KRT19P3		
HGNC:45073	KRT19P4		
HGNC:45074	KRT19P5~withdrawn		
HGNC:45076	KRT19P6		
HGNC:20412	KRT20	"CK20, K20, MGC35423"	P35900
HGNC:6437	KRT22~withdrawn		
HGNC:6438	KRT23	"K23, DKFZP434G032, HAIK1, CK23, MGC26158"	Q9C075
HGNC:18527	KRT24	"FLJ20261, MGC138169, MGC138173"	Q2M2I5
HGNC:30839	KRT25		Q7Z3Z0
HGNC:30840	KRT26		Q7Z3Y9
HGNC:30841	KRT27		Q7Z3Y8
HGNC:30842	KRT28		Q7Z3Y7
HGNC:6448	KRT31	Ha-1	Q15323
HGNC:6449	KRT32	Ha-2	Q14532
HGNC:6450	KRT33A	"Ha-3I, Krt1-3"	O76009
HGNC:6451	KRT33B	Ha-3II	Q14525
HGNC:6452	KRT34	Ha-4	O76011
HGNC:6453	KRT35	Ha-5	Q92764
HGNC:6454	KRT36		O76013
HGNC:6455	KRT37		O76014
HGNC:6456	KRT38		O76015
HGNC:32971	KRT39	KA35	Q6A163
HGNC:26707	KRT40	"FLJ36600, KA36"	Q6A162
HGNC:6457	KRT41P	"phihHaA, HHaA"	
HGNC:27581	KRT42P		
HGNC:48870	KRT43P		
HGNC:28927	KRT71	"KRT6IRS, KRT6IRS1, K6IRS1"	Q3SY84
HGNC:28932	KRT72	"K6IRS2, KRT6IRS2, KRT6, K6irs"	Q14CN4
HGNC:28928	KRT73	"KRT6IRS3, K6IRS3"	Q86Y46
HGNC:49607	KRT73-AS1		
HGNC:28929	KRT74	"K6IRS4, KRT5C, KRT6IRS4"	Q7RTS7
HGNC:24431	KRT75	K6HF	O95678
HGNC:24430	KRT76	"HUMCYT2A, KRT2B, KRT2P"	Q01546
HGNC:20411	KRT77		Q7Z794
HGNC:28926	KRT78	K5B	Q8N1N4
HGNC:28930	KRT79	"K6L, KRT6L"	Q5XKE5
HGNC:27056	KRT80	KB20	Q6KB66
HGNC:6458	KRT81	Hb-1	Q14533
HGNC:6459	KRT82	Hb-2	Q9NSB4
HGNC:6460	KRT83	Hb-3	P78385
HGNC:6461	KRT84	Hb-4	Q9NSB2
HGNC:6462	KRT85	Hb-5	P78386
HGNC:6463	KRT86	"MNX, Hb6"	O43790
HGNC:30198	KRT87P	HBD	A6NCN2
HGNC:30197	KRT88P	HBC	
HGNC:30196	KRT89P	HBB	
HGNC:30195	KRT90P	HBA	
HGNC:48875	KRT125P		
HGNC:32970	KRT126P		
HGNC:40019	KRT127P		
HGNC:48882	KRT128P		
HGNC:28695	KRT222	"KA21, MGC45562"	Q8N1A0
HGNC:32968	KRT223P		
HGNC:16772	KRTAP1-1	"KAP1.1B, HB2A, KAP1.1, KAP1.1A"	Q07627
HGNC:16771	KRTAP1-3	KAP1.3	Q8IUG1
HGNC:18904	KRTAP1-4	KAP1.4	P0C5Y4
HGNC:16777	KRTAP1-5	KAP1.5	Q9BYS1
HGNC:16775	KRTAP2-1	KAP2.1A	Q9BYU5
HGNC:18905	KRTAP2-2	KAP2.2	Q9BYT5
HGNC:18906	KRTAP2-3	KAP2.3	P0C7H8
HGNC:18891	KRTAP2-4	KAP2.4	Q9BYR9
HGNC:18920	KRTAP2-5P	KAP2A	
HGNC:16778	KRTAP3-1	KAP3.1	Q9BYR8
HGNC:16779	KRTAP3-2	KAP3.2	Q9BYR7
HGNC:18890	KRTAP3-3	KAP3.3	Q9BYR6
HGNC:18919	KRTAP3-4P	KAP3A	
HGNC:18907	KRTAP4-1	"KAP4.1, KAP4.10"	Q9BYQ7
HGNC:18900	KRTAP4-2	KAP4.2	Q9BYR5
HGNC:18908	KRTAP4-3	KAP4.3	Q9BYR4
HGNC:16928	KRTAP4-4	"KAP4.4, KAP4.13"	Q9BYR3
HGNC:18899	KRTAP4-5	KAP4.5	Q9BYR2
HGNC:18909	KRTAP4-6	"KAP4.6, KAP4.15"	Q9BYQ5
HGNC:18898	KRTAP4-7	KAP4.7	Q9BYR0
HGNC:17230	KRTAP4-8	KAP4.8	Q9BYQ9
HGNC:18910	KRTAP4-9	KAP4.9	Q9BYQ8
HGNC:18897	KRTAP4-10~withdrawn		
HGNC:18911	KRTAP4-11	"KAP4.11, KAP4.14"	Q9BYQ6
HGNC:16776	KRTAP4-12	KAP4.12	Q9BQ66
HGNC:18895	KRTAP4-13~withdrawn		
HGNC:18892	KRTAP4-14~withdrawn		
HGNC:16774	KRTAP4-15~withdrawn		
HGNC:18921	KRTAP4-16	KAP4A	
HGNC:23596	KRTAP5-1	KRTAP5.1	Q6L8H4
HGNC:23597	KRTAP5-2	"KRTAP5.2, KRTAP5-8"	Q701N4
HGNC:23598	KRTAP5-3	"KRTAP5.3, KRTAP5-9"	Q6L8H2
HGNC:23599	KRTAP5-4	KRTAP5.4	Q6L8H1
HGNC:23601	KRTAP5-5	"KRTAP5.5, KRTAP5-11"	Q701N2
HGNC:23600	KRTAP5-6	KRTAP5.6	Q6L8G9
HGNC:23602	KRTAP5-7	"KRTAP5.7, KRTAP5-3"	Q6L8G8
HGNC:23603	KRTAP5-8	"KRTAP5.8, UHSKerB, KRTAP5-2"	O75690
HGNC:23604	KRTAP5-9	"KRTAP5.9, KRTAP5-1"	P26371
HGNC:23605	KRTAP5-10	KRTAP5.10	Q6L8G5
HGNC:23606	KRTAP5-11	"KRTAP5.11, KRTAP5-6"	Q6L8G4
HGNC:23607	KRTAP5-13P	KRTAP5.P1	
HGNC:23608	KRTAP5-14P	KRTAP5.P2	
HGNC:27877	KRTAP5-AS1		
HGNC:18931	KRTAP6-1	"KAP6.1, C21orf103"	Q3LI64
HGNC:18932	KRTAP6-2	KAP6.2	Q3LI66
HGNC:18933	KRTAP6-3	KAP6.3	Q3LI67
HGNC:18934	KRTAP7-1	KAP7.1	Q8IUC3
HGNC:18935	KRTAP8-1	KAP8.1	Q8IUC2
HGNC:18948	KRTAP8-2P	KAP8A	
HGNC:18949	KRTAP8-3P	KAP8B	
HGNC:18912	KRTAP9-1	KAP9.1	A8MXZ3
HGNC:16926	KRTAP9-2	KAP9.2	Q9BYQ4
HGNC:16927	KRTAP9-3	KAP9.3	Q9BYQ3
HGNC:18902	KRTAP9-4	KAP9.4	Q9BYQ2
HGNC:18914	KRTAP9-6	KAP9.6	A8MVA2
HGNC:18915	KRTAP9-7	KAP9.7	A8MTY7
HGNC:17231	KRTAP9-8	KAP9.8	Q9BYQ0
HGNC:16773	KRTAP9-9	"KAP9.9, KAP9.5"	Q9BYP9
HGNC:34210	KRTAP9-10P		
HGNC:18918	KRTAP9-11P	KAP9A	
HGNC:48873	KRTAP9-12P		
HGNC:37139	KRTAP9L1~withdrawn		
HGNC:37140	KRTAP9L2~withdrawn		
HGNC:37141	KRTAP9L3~withdrawn		
HGNC:22966	KRTAP10-1	"KAP10.1, KAP18.1"	P60331
HGNC:22967	KRTAP10-2	"KAP10.2, KAP18.2"	P60368
HGNC:22968	KRTAP10-3	"KAP10.3, KAP18.3"	P60369
HGNC:20521	KRTAP10-4	"KRTAP18.4, KAP10.4"	P60372
HGNC:22969	KRTAP10-5	"KAP10.5, KAP18.5"	P60370
HGNC:20523	KRTAP10-6	"KRTAP18.6, KAP18.6, KAP10.6"	P60371
HGNC:22970	KRTAP10-7	"KAP10.7, KAP18.7"	P60409
HGNC:20525	KRTAP10-8	"KRTAP18.8, KAP10.8"	P60410
HGNC:22971	KRTAP10-9	"KAP10.9, KAP18.9"	P60411
HGNC:22972	KRTAP10-10	"KAP10.10, KAP18.10, KRTAP18-10"	P60014
HGNC:20528	KRTAP10-11	"KRTAP18.11, KAP18.11, KAP10.11"	P60412
HGNC:20533	KRTAP10-12	"KRTAP18.12, KAP10.12"	P60413
HGNC:34213	KRTAP10-13P		
HGNC:18922	KRTAP11-1	KAP11.1	Q8IUC1
HGNC:20529	KRTAP12-1	"KRTAP12.1, KAP12.1"	P59990
HGNC:20530	KRTAP12-2	"KRTAP12.2, KAP12.2"	P59991
HGNC:20531	KRTAP12-3	KRTAP12.3	P60328
HGNC:20532	KRTAP12-4	KRTAP12.4	P60329
HGNC:34212	KRTAP12-5P		
HGNC:18924	KRTAP13-1	KAP13.1	Q8IUC0
HGNC:18923	KRTAP13-2	KAP13-2	Q52LG2
HGNC:18925	KRTAP13-3	KAP13.3	Q3SY46
HGNC:18926	KRTAP13-4	KAP13.4	Q3LI77
HGNC:18929	KRTAP13-5P	KAP13A	
HGNC:18930	KRTAP13-6P	KAP13B	
HGNC:18927	KRTAP15-1	KAP15.1	Q3LI76
HGNC:18916	KRTAP16-1	KAP16.1	A8MUX0
HGNC:18917	KRTAP17-1	KAP17.1	Q9BYP8
HGNC:20518	KRTAP18-1~withdrawn		
HGNC:20519	KRTAP18-2~withdrawn		
HGNC:20520	KRTAP18-3~withdrawn		
HGNC:20522	KRTAP18-5~withdrawn		
HGNC:20524	KRTAP18-7~withdrawn		
HGNC:20526	KRTAP18-9~withdrawn		
HGNC:18936	KRTAP19-1	KAP19.1	Q8IUB9
HGNC:18937	KRTAP19-2	KAP19.2	Q3LHN2
HGNC:18938	KRTAP19-3	KAP19.3	Q7Z4W3
HGNC:18939	KRTAP19-4	KAP19.4	Q3LI73
HGNC:18940	KRTAP19-5	KAP19.5	Q3LI72
HGNC:18941	KRTAP19-6	KAP19.6	Q3LI70
HGNC:18942	KRTAP19-7	KAP19.7	Q3SYF9
HGNC:33898	KRTAP19-8		Q3LI54
HGNC:18950	KRTAP19-9P	KAP19A	
HGNC:18951	KRTAP19-10P	KAP19B	
HGNC:18952	KRTAP19-11P	KAP19C	
HGNC:18953	KRTAP19P4~withdrawn		
HGNC:18943	KRTAP20-1	KAP20.1	Q3LI63
HGNC:18944	KRTAP20-2	KAP20.2	Q3LI61
HGNC:34001	KRTAP20-3	"KAP20.3, KAP19D"	Q3LI60
HGNC:34002	KRTAP20-4	KAP20.4	Q3LI62
HGNC:18945	KRTAP21-1	KAP21.1	Q3LI58
HGNC:18946	KRTAP21-2	KAP21.2	Q3LI59
HGNC:34216	KRTAP21-3		Q3LHN1
HGNC:18954	KRTAP21-4P	KAP21A	
HGNC:18947	KRTAP22-1	KAP22.1	Q3MIV0
HGNC:37091	KRTAP22-2	KAP22.2	Q3LI68
HGNC:18928	KRTAP23-1	KAP23.1	A1A580
HGNC:33902	KRTAP24-1	KAP24.1	Q3LI83
HGNC:34003	KRTAP25-1	KAP25.1	Q3LHN0
HGNC:33760	KRTAP26-1		Q6PEX3
HGNC:33864	KRTAP27-1		Q3LI81
HGNC:34211	KRTAP29-1	KAP29.2	A8MX34
HGNC:28942	KRTCAP2	KCP2	Q8N6L1
HGNC:28943	KRTCAP3	KCP3	Q53RY4
HGNC:16313	KRTDAP	"KDAP, UNQ467"	P60985
HGNC:6464	KRTL1~withdrawn		
HGNC:6465	KSR1	RSU2	Q8IVT5
HGNC:44977	KSR1P1		
HGNC:18610	KSR2	FLJ25965	Q6VAB6
HGNC:6466	KSS		
HGNC:25160	KTI12	"TOT4, MGC20419, SBBI81"	Q96EK9
HGNC:6467	KTN1	"KIAA0004, CG1, KNT"	Q86UP2
HGNC:19842	KTN1-AS1	MYCLo-3	Q86SY8
HGNC:6468	KWE		
HGNC:28420	KXD1	"FLJ25480, MGC2749, KXDL, BORCS4"	Q9BQD3
HGNC:26576	KY	FLJ33207	Q8NBH2
HGNC:1564	KYAT1	"KATI, GTK"	Q16773
HGNC:33238	KYAT3	"RBM1, RP11-82K18.3, KAT3, KATIII"	Q6YP21
HGNC:6469	KYNU		Q16719
HGNC:39199	KYNUP1		
HGNC:39200	KYNUP2		
HGNC:39201	KYNUP3		
HGNC:6470	L1CAM	CD171	P32004
HGNC:6686	L1RE1	L1.2	Q9UN81
HGNC:6687	L1RE2		
HGNC:16899	L1RE3	LRE3	
HGNC:37056	L1RE4		
HGNC:25595	L1TD1	"FLJ10884, ECAT11"	Q5T7N2
HGNC:49127	L1TD1P1		
HGNC:20499	L2HGDH	FLJ12618	Q9H9P8
HGNC:20488	L3HYPDH	FLJ25436	Q96EM0
HGNC:15905	L3MBTL1	"ZC2HC3, dJ138B7.3, DKFZp586P1522, KIAA0681"	Q9Y468
HGNC:18594	L3MBTL2	"H-l(3)mbt-l, DKFZP761I141, dJ756G23.3"	Q969R5
HGNC:23035	L3MBTL3	KIAA1798	Q96JM7
HGNC:26677	L3MBTL4	"FLJ35936, HsT1031"	Q8NA19
HGNC:51320	L3MBTL4-AS1		
HGNC:26789	LACC1	"FLJ38725, FAMIN"	Q8IV20
HGNC:16430	LACRT	LACRITIN	Q9GZZ8
HGNC:16468	LACTB	FLJ14902	P83111
HGNC:18512	LACTB2	CGI-83	Q53H82
HGNC:27841	LACTB2-AS1		
HGNC:35445	LACTBL1		A8MY62
HGNC:6471	LAD~withdrawn		
HGNC:6472	LAD1		O00515
HGNC:6474	LAG1~withdrawn		
HGNC:6475	LAG2~withdrawn		
HGNC:6476	LAG3	CD223	P18627
HGNC:26058	LAGE3	"ITBA2, CVG5, DXS9951E, DXS9879E, ESO3, Pcc1"	Q14657
HGNC:49909	LAGE3P1		
HGNC:6477	LAIR1	CD305	Q6GTX8
HGNC:6478	LAIR2	CD306	Q6ISS4
HGNC:6479	LAKLG		
HGNC:6480	LALBA	LYZL7	P00709
HGNC:6481	LAMA1		P25391
HGNC:6482	LAMA2		P24043
HGNC:6483	LAMA3	"nicein-150kDa, kalinin-165kDa, BM600-150kDa, epiligrin"	Q16787
HGNC:6484	LAMA4	LAMA3	Q16363
HGNC:6485	LAMA5		O15230
HGNC:40334	LAMA5-AS1		
HGNC:6486	LAMB1		P07942
HGNC:6487	LAMB2	NPHS5	P55268
HGNC:6488	LAMB2P1		
HGNC:6489	LAMB2T~withdrawn		
HGNC:6490	LAMB3	"nicein-125kDa, kalinin-140kDa, BM600-125kDa"	Q13751
HGNC:6491	LAMB4		A4D0S4
HGNC:6492	LAMC1		P11047
HGNC:6493	LAMC2	"nicein-100kDa, kalinin-105kDa, BM600-100kDa"	Q13753
HGNC:6494	LAMC3	DKFZp434E202	Q9Y6N6
HGNC:6495	LAMM~withdrawn		
HGNC:6496	LAMNA~withdrawn		
HGNC:6497	LAMNB1~withdrawn		
HGNC:6498	LAMNB2~withdrawn		
HGNC:6499	LAMP1	CD107a	P11279
HGNC:6500	LAMP1P1		
HGNC:6501	LAMP2	CD107b	P13473
HGNC:14582	LAMP3	"LAMP, TSC403, DC-LAMP, DCLAMP, CD208"	Q9UQV4
HGNC:16097	LAMP5	"dJ1119D9.3, BAD-LAMP, UNC-46"	Q9UJQ1
HGNC:40754	LAMP5-AS1		
HGNC:6507	LAMS~withdrawn		
HGNC:26068	LAMTOR1	"FLJ20625, p18, p27RF-Rho, Pdro, Ragulator1"	Q6IAA8
HGNC:29796	LAMTOR2	"MAPBPIP, MAPKSP1AP, p14, ENDAP, Ragulator2"	Q9Y2Q5
HGNC:15606	LAMTOR3	"MP1, MAPBP, Ragulator3"	Q9UHA4
HGNC:39726	LAMTOR3P1		
HGNC:39727	LAMTOR3P2		
HGNC:33772	LAMTOR4		Q0VGL1
HGNC:17955	LAMTOR5	"XIP, MGC71071"	O43504
HGNC:40823	LAMTOR5-AS1		
HGNC:31854	LAMTOR5P1	HBXIPL	
HGNC:6508	LANCL1	p40	O43813
HGNC:50727	LANCL1-AS1	LANCLOT	
HGNC:6509	LANCL2	TASP	Q9NS86
HGNC:24767	LANCL3	FLJ42925	Q6ZV70
HGNC:18449	LAP3	"LAPEP, LAP"	P28838
HGNC:42364	LAP3P1		
HGNC:42365	LAP3P2		
HGNC:6924	LAPTM4A	"HUMORF13, KIAA0108, Mtrp, LAPTM4"	Q15012
HGNC:13646	LAPTM4B	LC27	Q86VI4
HGNC:51934	LAPTM4BP1		
HGNC:51935	LAPTM4BP2		
HGNC:29612	LAPTM5		Q13571
HGNC:40336	LARGE-AS1		
HGNC:41357	LARGE-IT1		
HGNC:6511	LARGE1	KIAA0609	O95461
HGNC:16522	LARGE2	"PP5656, FLJ35207"	Q8N3Y3
HGNC:29531	LARP1	"LARP, KIAA0731, MGC19556"	Q6PKG0
HGNC:24704	LARP1B	"FLJ10378, DKFZp434K245, DKFZp686E0316"	Q659C4
HGNC:37097	LARP1BP1		
HGNC:44084	LARP1BP2		
HGNC:44085	LARP1BP3		
HGNC:23183	LARP1P1	dJ221C16.7	
HGNC:24320	LARP4	PP13296	Q71RC2
HGNC:28987	LARP4B		Q92615
HGNC:21438	LARP4P		
HGNC:24012	LARP6	"acheron, FLJ11196"	Q9BRS8
HGNC:24912	LARP7	"HDCMA18P, PIP7S, DKFZP564K112"	Q4G0J3
HGNC:49763	LARP7P1		
HGNC:49764	LARP7P2		
HGNC:49765	LARP7P3		
HGNC:49766	LARP7P4		
HGNC:6512	LARS	"HSPC192, FLJ10595, FLJ21788, LARS1, LEUS, RNTLS"	Q9P2J5
HGNC:17095	LARS2	"KIAA0028, LEURS, MGC26121, mtLeuRS"	Q15031
HGNC:40796	LARS2-AS1		
HGNC:25726	LAS1L	FLJ12525	Q9Y4W2
HGNC:6513	LASP1	"MLN50, Lasp-1"	Q14847
HGNC:18874	LAT	LAT1	O43561
HGNC:12749	LAT2	"WSCR5, HSPC046, LAB, NTAL"	Q9GZY6
HGNC:6514	LATS1	WARTS	O95835
HGNC:6515	LATS2		Q9NRM7
HGNC:39912	LATS2-AS1		
HGNC:26005	LAX1	"LAX, FLJ20340"	Q8IWV1
HGNC:29471	LAYN	"FLJ30977, FLJ31092"	Q6UX15
HGNC:6516	LBC~withdrawn		
HGNC:29532	LBH		Q53QV2
HGNC:28351	LBHD1	MGC2477	Q9BQE6
HGNC:6517	LBP	BPIFD2	P18428
HGNC:6518	LBR	"DHCR14B, TDRD18"	Q14739
HGNC:16960	LBX1	"LBX1H, HPX6"	P52954
HGNC:48678	LBX1-AS1	FLJ41350	
HGNC:15525	LBX2		Q6XYB7
