Genename,VCPonly
LRRK1,true
VMA21,true
PDLIM3,true
TUFM,true
PSMB1,true
GRPEL1,true
SERBP1,true
PGD,true
PSMB3,true
IPO8,true
LYAR,true
SET,true
COPG1,true
ESD,true
LRRC59,true
GFPT1,true
LRPPRC,true
MARS,true
ADSS,true
RPN1,true
ATG12,true
RARS,true
TKT,true
ACAT2,true
TARS,true
ECHS1,true
TIA1,true
RIPK3,true
MAD2L2,true
TCEB1,true
ITK,true
CBX3,true
CCDC114,true
MCM3,true
NDUFS2,true
P4HB,true
CEP63,true
TOB1,true
BTG2,true
CAMK2D,true
SH3KBP1,true
TFIP11,true
ACOT8,true
DDX42,true
ZNF510,true
LEF1,true
RPS21,true
TALDO1,true
NOC4L,true
DDX24,true
ASF1B,true
PTPN13,true
ARRDC3,true
IKBKG,true
RNF167,true
ARL1,true
CEP57L1,true
BLOC1S6,true
KMT2D,true
CREBBP,true
AKR1B1,true
MED15,true
TFAP2A,true
CACNA1A,true
ZHX1,true
MSH3,true
TIRAP,true
UHRF2,true
PRDX6,true
ING2,true
POLD3,true
POLD1,true
CDT1,true
UBE2U,true
DDX39A,true
PIH1D1,true
FDFT1,true
DOCK2,true
FEN1,true
FTSJ1,true
UBE2Z,true
ARF6,true
GOLGA8DP,true
MKRN3,true
ALOX5,true
KIF5B,true
TSG101,true
USP6NL,true
SLC25A6,true
DST,true
SH3GL3,true
MPDZ,true
APEX1,true
IKBKAP,true
IFIT1,true
NR3C4,true
HSPG2,true
CEP126,true
DNMBP,true
PRPF6,true
SYT4,true
STAG1,true
CAPNS1,true
STAT5B,true
GTF3C1,true
GHR,true
KIF3A,true
ZEB2,true
STXBP2,true
MAP3K8,true
PPP2R5A,true
CSN2,true
ATP5J2,true
SSFA2,true
INO80C,true
DYNLT3,true
ARHGAP17,true
ITGB4,true
SNRPB,true
ARAF,true
PIAS3,true
SNRNP70,true
DVL1,true
PLEC,true
TTF2,true
PIGQ,true
SS18,true
GAB3,true
MAGI1,true
PRDX1,true
PIAS1,true
WWP1,true
NR2B1,true
NFYB,true
AP2A1,true
NR1A2,true
SKAP1,true
DES,true
MSN,true
KRT8,true
USP49,true
HAP1,true
SMURF1,true
LIME1,true
GAB2,true
TRAT1,true
ADAM15,true
DOK1,true
PIK3CG,true
TYK2,true
CD22,true
CSF2RB,true
DOK3,true
SH2B2,true
CBLC,true
INPP5D,true
PAG1,true
TEC,true
CSF1R,true
CD19,true
IL2RB,true
SRSF1,true
ACTL6A,true
CSK,true
SYT7,true
NUMA1,true
MBD3,true
CHTF18,true
CDC6,true
RFC4,true
DNMT1,true
PLEKHF2,true
PRKCI,true
LEMD3,true
SYNJ1,true
PRKCZ,true
XIAP,true
GTF2B,true
MSH6,true
POLE,true
TGFA,true
TNNT1,true
RAC2,true
GLI3,true
HNRNPC,true
LIMK1,true
TGM2,true
SOS2,true
HOXA5,true
RING1,true
SHB,true
CASC3,true
TNIK,true
SGO1,true
EDC4,true
C9orf74,true
SMC1A,true
ZFP36,true
MSH2,true
TMSB4Y,true
VTN,true
PSTPIP1,true
KDM1A,true
ZNF764,true
BCL3,true
RPS20,true
SMURF2,true
RPS12,true
MATR3,true
PHLDB2,true
NXNL1,true
NCK2,true
BPGM,true
ARAP1,true
ANKRD27,true
JUP,true
HAT1,true
SMARCA1,true
H2AFY2,true
SRSF7,true
RPL19,true
CDK5RAP3,true
RAN,true
TRIM74,true
BRPF1,true
OTUB2,true
AP1M1,true
MTA1,true
WDR4,true
HDGF,true
CDK13,true
NFKBIB,true
VHL,true
HSPA5,true
TSR1,true
TRIM35,true
EXOSC8,true
MAP3K1,true
UBAC2,true
ZEB1,true
ACTR2,true
TRIM16,true
TAB2,true
GEMIN4,true
KRT7,true
SAP30BP,true
SNRNP200,true
CYFIP2,true
AMOT,true
MAFK,true
DAB2,true
CSNK1A1,true
RUVBL1,true
GFPT2,true
VPS35,true
OAZ3,true
CCDC9,true
SQOR,true
GPN1,true
PSMC1,true
USP22,true
RPS25,true
FARSB,true
ANXA11,true
SOS1,true
LAP3,true
RPS29,true
EIF3I,true
CA9,true
SH2B3,true
HNRNPA2B1,true
POLR1A,true
CDK11A,true
TMED9,true
GTF2F1,true
S100A7,true
STRADB,true
TUBB2A,true
KRT17,true
WBP11,true
MCRS1,true
RBBP7,true
FH,true
CDK9,true
SRA1,true
TNKS,true
XPC,true
SH3BP1,true
SWAP70,true
MVK,true
IGF2R,true
NUP62,true
HSPBP1,true
NR1H2,true
RIC8A,true
MIA2,true
OFD1,true
TSC22D1,true
DDX20,true
DPP3,true
GTF3C3,true
RNF123,true
TOM1L1,true
PTPN5,true
NAGK,true
SART3,true
NDUFS3,true
ACTR3,true
SHMT1,true
PIM1,true
IRS1,true
VAV2,true
SPRY1,true
SND1,true
IFIT2,true
ACTG1,true
SYMPK,true
SYNCRIP,true
SRSF6,true
SMU1,true
YWHAH,true
SQSTM1,true
RRS1,true
TUBB4B,true
PAK4,true
USP11,true
EPS15,true
SPTBN1,true
TAB1,true
TADA3L,true
GNL3,true
MYOZ1,true
DCTN2,true
RRP1B,true
RAB3B,true
CHUK,true
CFAP58,true
HABP4,true
UTP14A,true
AP2B1,true
MT1X,true
NUP133,true
XPOT,true
STK39,true
RARA,true
SCYL2,true
SH2D4A,true
DPYSL3,true
ING5,true
DKFZp564J0123,true
TFG,true
S100A9,true
CENPA,true
ZNF593,true
VPS72,true
SYNE2,true
CLK1,true
MYBPC1,true
PDIA3,true
OSBP,true
TARDBP,true
LPL,true
TRIM24,true
ATP6V1B2,true
HEXIM2,true
TXNDC17,true
DBNL,true
SLC25A10,true
ACF,true
DNAJB11,true
TRMT1,true
RPL7,true
ZNF512B,true
ATM,true
TRIP13,true
LONRF1,true
PGM2,true
S100A6,true
TRIM55,true
PLA2G2A,true
PLG,true
POLR1C,true
C1QBP,true
KRT18,true
RPL8,true
PSMA7,true
PPME1,true
PSMC2,true
CIAO1,true
NAP1L1,true
FAF1,true
PCBP3,true
KIRREL,true
HOXA3,true
LASP1,true
LZTR1,true
FTL,true
TP73,true
PTK6,true
MT2A,true
TRIM6,true
PDS5A,true
PRDX4,true
GANAB,true
NARS,true
GAB1,true
BARD1,true
RBL1,true
CCT7,true
APBB1,true
ATG4B,true
WWOX,true
PSMC4,true
PSMD13,true
ICAM1,true
UGP2,true
HIST1H1E,true
BBS10,true
ERC1,true
CBX8,true
BRAF,true
USP34,true
PAN2,true
H3F3C,true
PCMT1,true
RPS7,true
RASGEF1C,true
MYO5C,true
ACTN4,true
TMSB10,true
SULT1C2,true
SBDS,true
DCX,true
RECQL4,true
SLX1B,true
AKAP6,true
PACSIN2,true
ACY1,true
DNPH1,true
FES,true
DDX19B,true
TERT,true
MAP7,true
CRCP,true
AFAP1L2,true
GNMT,true
PGM1,true
NOL3,true
PCP4,true
SNCG,true
PLK1,true
GAMT,true
TNFRSF1A,true
IRAK1,true
RNH1,true
NDUFS1,true
KIF11,true
TNIP1,true
RNF114,true
TRIM8,true
RNF14,true
TRIM2,true
TERF2,true
USP53,true
ACOT7,true
EPB41L1,true
LDHB,true
CFL1,true
AHCY,true
AHNAK,true
NUP54,true
PACSIN1,true
TBK1,true
FBXO3,true
TNFAIP3,true
SRI,true
MINOS1,true
TRIP10,true
NEK9,true
EPHB6,true
TRIM54,true
MAP1LC3A,true
HSPC152,true
USP7,true
RPL23,true
SARS,true
LRRC47,true
SAMHD1,true
CPNE3,true
PPP6C,true
LAMB2,true
HNMT,true
ZNF790,true
GART,true
PSMC6,true
USP20,true
TSN,true
KNTC2,true
CYFIP1,true
MOV10,true
NUDT14,true
SENP7,true
STX11,true
SF3B4,true
SDCBP,true
EPB41,true
KPNA3,true
IK,true
PRPF40A,true
SNRPD2,true
MOGS,true
NOTCH3,true
TBCD,true
FTH1,true
TRIM21,true
TAGLN,true
PGLS,true
BTK,true
ALDH7A1,true
IVNS1ABP,true
SYVN1,true
DERL2,true
RTN4,true
UBXN6,true
RPL35,true
DCTN1,true
TRRAP,true
COPS4,true
IFT20,true
HSPH1,true
UBE4B,true
EIF5A,true
HGD,true
TAF4,true
ANXA2,true
HDAC5,true
ELP3,true
DMAP1,true
USP4,true
PTMA,true
HSPC142,true
CCT3,true
RPL22,true
KIF1BP,true
ATP5C1,true
SKIL,true
KHDRBS2,true
DHX15,true
MCM2,true
RNF41,true
MYO18A,true
HUWE1,true
ANXA5,true
TFCP2,true
CTNNBL1,true
SNIP1,true
DZIP3,true
ELOA2,true
ZNF264,true
FLOT1,true
HNRNPA0,true
PFDN5,true
P3H1,true
MAP4K3,true
TRIM63,true
TERF2IP,true
ZNF638,true
RPS17,true
KPNB1,true
NFIA,true
FAM96B,true
KMT2A,true
HIST1H3F,true
MEAF6,true
DYNC1LI1,true
YOD1,true
RNF103,true
EMC1,true
HMOX1,true
DERL1,true
