"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16551","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","KRT81","KRT81","475.0","1","0","false","false","false","0","0.65627297","false","0","KRT81","0","0.0","true"
"16552","false","4.0390223","0.0","false","NA","","","0.24758467","0.0","false","false","1","6","false","false","","UBR7","UBR7","29.0","1","0","false","false","false","0","0.56585396","false","0","UBR7","0","0.0","true"
"16553","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PTPN23","PTPN23","475.0","1","0","false","false","false","0","0.65627297","false","0","PTPN23","0","0.0","true"
"16554","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PRR22","PRR22","475.0","1","0","false","false","false","0","0.65627297","false","0","PRR22","0","0.0","true"
"16555","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","MFAP4","MFAP4","475.0","1","0","false","false","false","0","0.65627297","false","0","MFAP4","0","0.0","true"
"16556","false","3.09734134","7.8905E-4","false","NA","","","0.32285754","0.66666667","false","false","3","5","false","false","","KPNA4","KPNA4","234.33333333","3","0","false","false","false","0","0.70037981","false","0","KPNA4","103170","0.35238095","true"
"16557","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","NKD2","NKD2","475.0","1","0","false","false","false","0","0.65627297","false","0","NKD2","0","0.0","true"
"16558","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PTPN18","PTPN18","475.0","1","0","false","false","false","0","0.65627297","false","0","PTPN18","0","0.0","true"
"16559","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","PEAK1","PEAK1","475.0","1","0","false","false","false","0","0.65627297","false","0","PEAK1","0","0.0","true"
"16560","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","DNM3","DNM3","475.0","1","0","false","false","false","0","0.65627297","false","0","DNM3","0","0.0","true"
