"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"BAX",NA,37783,"BAX","false",FALSE,FALSE
"BAZ1B",NA,40513,"BAZ1B","false",FALSE,FALSE
"BAZ2B",NA,42905,"BAZ2B","false",FALSE,FALSE
"BBS1",NA,44070,"BBS1","false",FALSE,FALSE
"BBS4",NA,38660,"BBS4","false",FALSE,FALSE
"BCAP31",NA,45564,"BCAP31","false",FALSE,FALSE
"BCAS2",NA,40634,"BCAS2","false",FALSE,FALSE
"BCKDK",NA,41195,"BCKDK","false",FALSE,FALSE
"BCL2",NA,42250,"BCL2","false",FALSE,FALSE
"BCL2L1",NA,42255,"BCL2L1","false",FALSE,FALSE
"BCL3",NA,42009,"BCL3","false",FALSE,FALSE
"BCL6",NA,38164,"BCL6","false",FALSE,TRUE
"BCL6B",NA,44355,"BCL6B","false",FALSE,FALSE
"BCLAF1",NA,37917,"BCLAF1","false",TRUE,FALSE
"BCOR",NA,41688,"BCOR","false",FALSE,FALSE
"BDNF",NA,45185,"BDNF","false",FALSE,FALSE
"BECN1",NA,39312,"BECN1","false",FALSE,FALSE
"BEND7",NA,43682,"BEND7","false",FALSE,FALSE
"BGLAP",NA,43173,"BGLAP","false",FALSE,FALSE
"BHLHE40",NA,44754,"BHLHE40","false",FALSE,FALSE
"BIN1",NA,42532,"BIN1","false",FALSE,FALSE
"BIRC2",NA,38768,"BIRC2","false",FALSE,FALSE
"BLOC1S6",NA,43979,"BLOC1S6","false",FALSE,FALSE
"BLZF1",NA,40874,"BLZF1","false",FALSE,FALSE
"BMF",NA,43376,"BMF","false",FALSE,FALSE
"BMI1",NA,37944,"BMI1","false",FALSE,FALSE
"BNIP3",NA,42460,"BNIP3","false",TRUE,FALSE
"BNIP3L",NA,43873,"BNIP3L","false",FALSE,FALSE
"BORCS6",NA,43738,"BORCS6","false",FALSE,FALSE
"BPGM",NA,41953,"BPGM","false",FALSE,FALSE
"BRAF",NA,44507,"BRAF","false",FALSE,FALSE
"BRAP",NA,38057,"BRAP","false",FALSE,FALSE
"BRCA1",NA,45212,"BRCA1","false",FALSE,FALSE
"BRD4",NA,38495,"BRD4","false",FALSE,FALSE
