SrNo	V1	V2
797	B1PKY1	P61769
798	P30504	P61769
799	A0A024QZ59	P63279
800	A0A024QZ59	A0A024QZE7
801	A0A024R5Z3	O15198
802	A0A024R5Z3	F1D8P8
803	A0A024R5Z3	O43524
804	A0A024R5Z3	Q13219
805	A0A024R5Z3	A0A024RDI7
806	A0A024R5Z3	O75593
807	A0A024R5Z3	P36897
808	A0A024R5Z3	Q9UJY5
809	A0A024R5Z3	Q9HCE7
810	A0A024R5Z3	Q96SV5
811	P07948	Q08499
812	A0A024R5Z3	Q08174
813	A0A024R5Z3	A0A024R9Y2
814	A0A024R3C6	A0A024R5Z3
815	A0A024R5Z3	A0A024RBB6
816	A0A024R5Z3	Q9UEE9
817	A0A024R5Z3	P0DML3
818	O75955	O94875
819	Q5JPT6	Q99963
820	P33991	P78396
821	P78396	Q01094
822	E9KL35	P24394
823	P46527	P78396
824	A0A024RCX5	P78396
825	P55957	Q07817
826	P08069	P29353
827	A0A024R328	P08069
828	Q07812	Q96BY2
829	P18206	Q9Y6M1
830	P18206	Q2VYF4
831	P07948	P0CG47
832	A4D1F7	O14713
833	A0A024R1J5	Q16515
834	Q86TG7	Q96KM6
835	A0A024RAY1	Q6IAR4
836	P18206	P55084
837	P18206	P40126
838	P52630	Q00978
839	P18206	Q7L014
840	P01106	P61244
841	P01106	Q9Y6K1
842	P18206	Q14011
843	P18206	Q99578
844	A0A024RDF6	P18206
845	A0A024R8C5	Q9NVC6
846	A0A024QZK8	P18206
847	P05067	P61812
848	P18206	Q70UQ0
849	E9KL35	P48551
850	E9KL35	P42224
851	P32121	Q14940
852	P17275	P17544
853	P01903	Q30143
854	P01903	Q95IH1
855	P05412	P17275
856	A0A024R804	P17544
857	A0A024R804	P35638
858	O00198	Q16548
859	P18206	Q92804
860	A0A024R2P0	P18206
861	P04278	Q9BXW7
862	O60674	P16410
863	P18206	P26368
864	P18206	P62304
865	P18206	Q01081
866	P18206	P22392
867	O00303	P18206
868	A0A024R6X2	Q01196
869	A0A024R9B0	Q9UBD5
870	A0A024R1S2	Q9UBD5
871	P33993	Q9UBD5
872	A0A090N8Y5	Q9NQT4
873	A0A090N8Y5	P62312
874	A0A090N8Y5	Q9UK45
875	A0A090N8Y5	P62304
876	A0A024R3E4	A0A024R4C3
877	P30305	P31946
878	D0PNI1	P49023
879	A0A024R2W3	P15311
880	P18847	Q9NR55
881	Q8N4W3	Q99062
882	P18206	P61978
883	A0A024R993	P18206
884	A0A024R9Y2	P18206
885	A0A024QZN4	Q05397
886	O95429	P18206
887	P18206	P39748
888	O15530	Q04759
889	Q5JPT6	Q6FGM0
890	A0A024RC34	P25791
891	A0A024RC34	P38398
892	A0A024RC34	P61968
893	P18206	P53007
894	P49023	Q14444
895	O75925	Q14790
896	E5KP26	P52701
897	P17275	P18847
898	O14669	P18206
899	A0A024QZN4	P18206
900	O15524	P06241
901	P06241	P06734
902	P06241	Q08499
903	A0A024QZG3	P17676
904	A0A024QZG3	P49716
905	A0A024QZG3	Q16520
906	P58062	Q8IZW4
907	P49841	Q9H1J1
908	O95863	P49841
909	P36956	P49841
910	P24864	Q969H0
911	P04629	P29353
912	Q13363	Q92831
913	P85298	Q07960
914	P85298	Q12982
915	P35226	Q06587
916	O15379	P40763
917	P40763	Q05513
918	A0A024RCP6	P22607
919	P61978	P67809
920	O43559	P04629
921	O60936	Q07812
922	A0A024RAY1	Q5D044
923	A0A024R5R0	A0A024RAY1
924	P14778	P18510
925	A0A0A0MSC5	P01225
926	A4D0W0	Q8IU57
927	A0A024R681	P42566
928	Q07817	Q96BY2
929	P21796	P38646
930	P14209	Q15645
931	P62136	Q7Z699
932	A0A024RDR3	Q96JH7
933	P17544	P35638
934	P17544	Q9BYV9
935	P34925	P56704
936	P36956	Q969H0
937	P27540	Q9HBZ2
938	P78352	Q15303
939	P19438	Q15311
940	Q02487	Q9Y446
941	P61981	Q92574
942	P14209	Q14974
943	O95405	P29590
944	O94782	Q9BXW9
945	B0LPF3	Q92738
946	O14490	P78352
947	Q15797	Q9HCE7
948	P20042	P68400
949	P01106	P68400
950	Q9HAU4	Q9NZX4
951	O15049	Q9HAU4
952	P19838	Q15788
953	A0A024R2Q3	P19838
954	A0A024R1J8	P15311
955	P49841	Q9Y6Q9
956	P10636	P49841
957	P25054	Q13363
958	Q8WUM4	Q9BY43
959	A0A024R7I0	P04629
960	A0A024QYX8	P17081
961	A4D0W0	P78347
962	A0A024R6W2	P18206
963	A0A024RAY1	Q9BV73
964	A0A024R395	Q96PY6
965	Q96PY6	Q99689
966	A0A024RD11	Q96PY6
967	P62136	Q92783
968	A0A024R5Z3	Q9UMN6
969	P10276	P39687
970	P00533	P01135
971	A0A024QZ59	Q15633
972	A0A024QZ59	O94875
973	A0A024QZ59	Q9Y5V3
974	A0A024QZ59	Q769H0
975	A0A024QZ59	A0A024R694
976	A0A024QZ59	O15162
977	A0A024R241	Q9NR55
978	A0A024RDV3	Q92994
979	P11142	P25685
980	Q04759	Q9Y6K9
981	P11142	P49023
982	Q92844	Q9Y6K9
983	A0A024R5Z3	Q15796
984	A0A024R5Z3	P29590
985	A0A024R5Z3	Q13573
986	A0A024R5Z3	Q12778
987	A0A024R5Z3	Q13445
988	A0A024R5Z3	Q9UM63
989	A0A024R5Z3	Q9H0E3
990	A0A024R5Z3	Q9UIS9
991	A0A024R274	A0A024R5Z3
992	A0A024R5Z3	A0A024RB77
993	A0A024R5Z3	B1AT47
994	A0A024R5Z3	A0A024RDS3
995	A0A024R5Z3	A0A024RBS2
996	A0A024R1Q0	A0A024R5Z3
997	A0A024R5Z3	P35658
998	A0A024R5Z3	Q9BRH9
999	A0A024R5R0	A0A024R5Z3
1000	A0A024R5Z3	Q96S59
1001	O95180	Q12791
1002	O43516	P46109
1003	P46109	Q8NEY0
1004	P21796	Q16611
1005	A0A024R1C2	A0A024R8M9
1006	P07737	P18206
1007	P09619	Q8N381
1008	Q14494	Q9Y5Q3
1009	Q00613	Q14686
1010	P20827	Q6UWM0
1011	A4D0P7	O43929
1012	P06241	P22681
1013	P20827	Q15375
1014	A4D0P7	P25205
1015	A4D0P7	O00311
1016	A0A024R9B5	Q03164
1017	P45379	P63316
1018	A0A024R328	Q9H5V8
1019	A0A024R328	P40763
1020	Q15796	Q2M389
1021	P04278	V9HW89
1022	P34925	Q9H461
1023	P04406	P49023
1024	A0A024R597	P04406
1025	P51693	P68104
1026	O60383	P51693
1027	P18206	Q9NQS1
1028	O75083	Q96BC0
1029	Q12955	Q15796
1030	A0A024R5Z3	Q12955
1031	A0A024RB77	P24864
1032	P24864	Q969H0
1033	Q07817	Q9BXH1
1034	O43521	Q07817
1035	P08195	P49023
1036	A0A024RCM3	P26368
1037	P17544	Q16514
1038	Q07817	Q9HB09
1039	P35268	P49023
1040	A4D2P1	P19878
