GeneSymbol,GeneSymbol.1,INT
SF3B3,TMOD2,PPI
NAPA,DHX29,PPI
FLOT1,MAN2A1,PPI
PPP2R2D,ZCCHC8,PPI
CD4,ANXA1,PPI
ANXA1,UBE3A,PPI
PCDH17,ZP3,PPI
ANXA1,UBE2I,PPI
EEF1A1,RPL24,PPI
ANXA1,CSAD,PPI
EEF1A1,BBS4,PPI
OAT,EIF6,PPI
SNTB2,SAV1,PPI
ANXA1,ANXA5,PPI
PSMD3,FLNC,PPI
TBC1D4,CEP57,PPI
AKT1,UCHL1,PPI
DDX21,RRP7A,PPI
ZCCHC8,ZC3H15,PPI
PLOD2,TERF1,PPI
TRA2B,PPP4R2,PPI
SRSF10,TRA2B,PPI
HUWE1,EIF3E,PPI
DHX15,CEP57,PPI
SAV1,RASSF1,PPI
CUL3,SAV1,PPI
GAPDH,EEF1A1,PPI
ANXA1,ATF2,PPI
SSBP1,SAMM50,PPI
TPP1,HNRNPH1,PPI
LRRC14,COPS3,PPI
DPF2,REL,PPI
SSBP1,EEF1A1,PPI
UBXN7,KLHL12,PPI
SRPK2,RIT1,PPI
ZFC3H1,KHDRBS2,PPI
UTP20,ZBTB7A,PPI
UBXN7,TTLL12,PPI
VCAM1,DRG1,PPI
ZBTB7A,SOX2,PPI
SNTB1,SAV1,PPI
FUBP3,SAV1,PPI
ZBTB7A,ZBTB48,PPI
ZBTB7A,SOX9,PPI
SKIL,DRG1,PPI
SAV1,ALG13,PPI
ATP5C1,SAV1,PPI
HDAC6,SAV1,PPI
KIF7,SAV1,PPI
KIF1BP,SAV1,PPI
REL,OSGIN1,PPI
REL,TRAPPC2L,PPI
IRS4,SAV1,PPI
UTRN,SAV1,PPI
YWHAE,SAV1,PPI
DEDD,CASP10,PPI
HSP90AA1,CEP57,PPI
ZBTB7A,HDAC2,PPI
HDAC3,ZBTB7A,PPI
ZBTB7A,SP1,PPI
LRRC14,COPS6,PPI
COPS5,LRRC14,PPI
NCOR1,ZBTB7A,PPI
SUMO1,DRG1,PPI
RPL22,CEP57,PPI
ZFC3H1,ZDHHC17,PPI
DDX21,SIRT7,PPI
