"","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sample_control_1","sample_control_2","sample_control_3","sample_control_4","sample_control_5","sample_control_6","sample_control_7","sample_control_8","sample_control_9","sample_C9_1","sample_C9_2","sample_C9_3","sample_C9_4","sample_C9_5","sample_C9_6","sample_C9_7","sample_sALS_1","sample_sALS_2","sample_sALS_3","sample_sALS_4","sample_sALS_5","sample_sALS_6","sample_sALS_7","sample_sALS_8","sample_sALS_9","sample_sALS_10"
"UBE2W",2674,"ENSG00000104343",1453.15585496455,0.172449097015204,0.0850840017578284,2.02680989906939,0.0426818577140492,0.388537864223532,1418.41139814399,1364.62206314886,1601.6535696627,1345.62578925405,1183.30553307593,1062.7238168433,1391.64626239055,1482.2922242785,1162.14163138092,1166.23391329462,1760.55327015731,1528.76375812485,1226.98344741142,1507.06075334245,1392.57377207565,1573.83230075892,1603.71244116672,1830.99864756064,1429.83689000613,1790.94402449674,1474.2828378872,1829.35655562076,1216.83054922268,1727.31920410756,1253.28152755402,1457.0660481118
"VPS13B",5848,"ENSG00000132549",608.199373610964,0.251562526809265,0.124997404893497,2.0125419965607,0.0441628343094544,0.390674792303142,351.708132396927,517.053217025878,737.75450822172,472.520586373277,664.449019398542,450.587112819091,375.28821338237,681.137436392961,518.460160691679,462.200679747439,480.917906065335,495.50900785583,535.116129047273,592.927185941897,578.173299086907,622.471271426044,658.585080306219,960.00276313075,824.658655893068,837.99865328419,677.188011515963,662.635511668564,789.42479929912,424.989835857509,626.054570359072,815.371966697442
"ALMS1",4100,"ENSG00000116127",225.333369898335,0.216798557616892,0.108143839249145,2.0047240704801,0.0449925537623142,0.392669454110791,175.130386913696,178.387887485285,182.527345946047,145.282448944619,286.299356887901,217.021438787597,205.324858385491,222.1100336064,198.816290434733,256.142172367776,232.490527688505,179.248580804396,209.722280879133,283.4173954047,209.979710134968,330.197470661925,253.035320328179,275.497481693151,222.694570216112,289.220774142331,173.579389123822,185.262204172615,227.258654343686,180.575080471646,266.1318117444,273.314145787596
"TNFAIP3",4354,"ENSG00000118503",37.2895841668376,0.335124607572499,0.167400252504225,2.00193609363905,0.0452916051367916,0.392669454110791,17.3683028344162,17.2049231584793,21.979732757901,26.7996750480366,28.3367964155261,32.1152801793304,19.3917921808519,52.2153412337854,47.232599385047,47.2217412745062,29.9987777662587,112.287904067122,38.9175366579835,44.0871503962867,29.1638486298566,28.1158242345797,32.351547804516,21.1921139763962,50.0488827908377,34.2986174463662,28.5492416322075,49.9777108930777,38.2751417841997,38.3038049485309,53.929794450407,30.1651063912731
"POGZ",7409,"ENSG00000143442",1219.70568983593,0.1680483109087,0.0840645697315517,1.99903849440184,0.0456041890060066,0.392669454110791,1026.17722580009,1052.21687948173,1225.13119111431,961.967283303208,1347.46352610381,1006.27877895235,1360.84753363273,1115.22616873951,1008.36107524356,1566.90323319952,1423.0670202869,1598.81492763461,1216.17302056198,1390.99458189101,1025.83837555521,1434.56089234111,1104.5742750399,1258.81157019794,1303.56677287329,1183.76579672999,1162.52511926349,1208.08190813957,1012.69645970695,1132.69823204941,1479.55218687856,1106.05390101335
"TARDBP",4624,"ENSG00000120948",2448.93424298748,0.193372104206068,0.0975507962479072,1.98227089520263,0.0474489296622146,0.395858666951691,1856.96104471299,2559.00593925592,2681.52739646392,2211.67844606954,2386.15368436947,2126.42082399506,2168.45864328232,2242.92167269902,1753.09833996593,1926.07465925713,3007.37747106744,4007.33896166149,3193.40009132454,2309.62683810751,2056.78042462064,2829.89040202933,2109.78308182308,2338.54977729533,2446.88528800343,2239.60702028164,2392.42644877899,2909.90913251592,2577.99027892329,2385.77985107992,2556.97568905082,2397.66891103968
"PLEKHB1",374,"ENSG00000021300",15049.4080162305,-0.316932651657218,0.15992155945328,-1.98180065740172,0.0475015558725612,0.396054541237122,26611.1346594646,9417.43162358867,7991.06631832905,15676.3993938883,16393.3252918373,26377.3501206234,21025.2654986743,15493.9283443117,24375.3165803158,23897.0630086137,14890.6433137267,16000.5112474361,16417.7952562443,21490.2364737818,8954.03062558172,9362.56947011504,10946.3772821423,9151.81442070672,8244.74990268148,11199.8890807296,11999.8172428495,9007.18986147139,8700.41816682091,23888.8063529004,14498.9079993083,9272.57088585073
"FOSL2",1218,"ENSG00000075426",1890.46818330919,0.257090221738308,0.130263960778903,1.97360973980107,0.0484261353999939,0.399405870557578,1105.7819471245,1139.14701754563,1102.80920011381,1884.44030864089,1455.92505721151,2686.00525136218,1900.39563372349,1953.00962883382,1511.4431803215,1814.45963442648,2369.90344353444,2571.28998671133,2920.97733471865,2198.05935547201,1473.5034520235,1836.02870815581,1760.84853050294,1646.62725596599,1816.9121945261,1160.59105521217,2140.05115275028,2566.09694895837,2243.08278831154,2331.06012972488,1570.99836007707,1992.72521009016
"FXR1",3879,"ENSG00000114416",2088.97064633049,0.218888780628203,0.111055124267015,1.97099217233702,0.0487247711664375,0.40012442438834,1829.46123189184,1997.5821309266,1997.28875930492,1688.3795280263,2004.09549821531,1888.96238872971,1642.59886708393,2090.95164970517,1624.58173233685,1678.51825803017,2878.94520375564,4140.23015087854,2753.41571855233,2090.09082388927,1602.55348221062,2104.10982295064,1950.33616764368,1865.96563562169,1797.62730390944,1904.96375276439,1988.16918726693,2039.60761523991,2255.0437701191,2172.37293779525,2315.46400085986,2011.92118688461
"SOAT1",712,"ENSG00000057252",389.857920419786,0.207577395492002,0.10572593024626,1.96335369202718,0.0496050906591755,0.402440568688768,334.339829562511,326.893540011107,365.054691892095,244.018093858438,417.234898945849,346.455749813383,321.675611470602,446.558067566552,346.006251309065,306.225837355888,563.414544922546,540.836235185677,366.473470196011,355.396416459862,325.176912222901,441.353054845147,390.529398497372,349.669880610538,308.558249866449,439.393099177772,348.300747912932,515.287433001042,482.426266238351,470.58960365338,419.714487244472,364.723559094484
"CALD1",4780,"ENSG00000122786",1078.23820391021,0.293992109219036,0.151311587082192,1.9429583344423,0.0520211927419639,0.411143451630722,739.600229032222,685.480359524675,883.967513089496,693.970532822842,1029.89598006774,1290.450349024,696.963824852972,1070.02482856697,994.081452173664,766.995555246524,1028.39560029956,1958.3422535009,2273.4327664372,1240.73837543835,711.597906568501,810.128051782425,1161.18948369781,738.545172077409,810.424569961729,947.383433248277,694.317556495287,1457.97046260496,1557.31983134463,1672.59948275252,1301.34938782504,819.028343229718
"ZBTB20",12626,"ENSG00000181722",70.7268229287372,0.319004304713177,0.165935494205786,1.92245972593159,0.0545479365595946,0.416843142113497,60.7890599204566,22.6380567874728,39.1812627423452,31.0312026872002,68.3991637616147,60.3377991248026,86.6927179849851,62.3466761000422,75.7918455248429,121.631757828273,123.744958285817,84.4734691147153,71.3488172063031,113.36695816188,59.0567934754596,82.385903571094,80.87886951129,77.3512160138463,49.1305546662351,56.5463693034686,39.9689382850906,24.1271707759685,49.4387248045913,116.735405557427,110.204362572571,71.2993423793727
"RBMS1",8485,"ENSG00000153250",333.980808535325,0.174901917368539,0.0919795767590028,1.901529921439,0.0572326371542364,0.422847846649637,264.866618224846,312.405183667124,325.873429149749,337.111701920039,311.704760570787,382.463791226572,321.675611470602,249.386704400169,248.245754907457,329.12122706474,331.861479039237,285.355499326538,379.445982415339,390.486189224254,277.056561983638,383.159837243342,363.954912800805,306.226046958926,345.29137485055,292.001743124469,388.269686198023,323.131751463864,488.805456535718,393.981993756318,372.819013809335,278.798710586009
"TIA1",4086,"ENSG00000116001",370.449229329808,0.212083748947134,0.112080558008572,1.89224387097461,0.0584584955844716,0.427563557939825,276.445486781124,316.932795024619,374.611097439008,282.101842610911,453.388742648417,293.903473156297,261.218847612652,453.572068627807,266.919108152708,406.393167332114,540.915461597853,467.694572903424,449.713756936698,457.066783700279,281.431139278116,443.96848035534,311.961353829261,329.537372332962,402.227718575906,257.703125678103,333.455142264184,396.37494846234,401.888988734097,404.925938027327,420.88687408035,346.441676433106
"SNX27",7391,"ENSG00000143376",2580.59930857486,0.125575919207524,0.0665071030724097,1.88815800728538,0.0590047413837407,0.428363777463115,2234.72163136155,2599.75444147337,2424.46008725195,2136.92145777765,2821.95407062205,2343.44226278266,2625.87680001889,2641.16106628804,2041.98609899541,2884.81910331529,2936.13037387257,2689.75887632343,2621.52851098917,2404.09930324241,2215.72339965336,3394.82231223111,2516.48825422271,2727.4250687622,2647.08081916678,2602.98696728098,2488.35190066321,2386.86653747974,2900.93678772747,2414.96370246928,2805.52169825704,2587.800490718
