"","ravits_control1","ravits_control2","ravits_control3","ravits_control4","ravits_control5","ravits_control6","ravits_control7","ravits_control8","ravits_sALS1","ravits_sALS2","ravits_sALS3","ravits_sALS4","ravits_sALS5","ravits_sALS6","ravits_sALS7","ravits_sALS8","ravits_sALS9","ravits_sALS10","ravits_sALS11","ravits_sALS12","ravits_sALS13"
"PNN",2394.3721014745,1821.69047147268,1722.42999738837,1915.62014332427,2331.042157242,2800.26546889829,2480.17988604847,1722.42999738837,2589.62185906467,2578.27872434587,2423.62209183874,2744.26647616227,3471.02191700253,1703.43303985343,2712.83851628283,2078.76572791672,3574.22614403844,3161.58689400277,3176.30750056092,3760.64841281693,3942.60996830081
"SCAF11",576.919150190697,397.11080780077,427.492364404681,434.736592111934,436.213067479182,703.968174492764,618.352401071229,427.492364404681,823.918322388916,499.14748179925,746.792369483746,593.944599522753,1209.96391303766,445.53030710545,714.601365264744,582.919631814428,568.465390701938,1046.42501996281,832.8621209697,602.716715320155,657.757124387343
"RBPJ",460.27429468766,450.99387279976,230.999237268,403.636714137412,388.659441674324,283.39442263711,661.230852240402,230.999237268,806.669508940439,541.393036899447,454.889556750889,521.21668937711,1269.54009632908,485.982685735671,279.223866797891,445.370565506171,550.700847242503,563.745675289132,615.12038999723,820.505108250967,559.437673806275
"PLEKHB1",460.27429468766,56.8355617112627,113.103360985992,487.672554621758,215.820301729742,239.037034746084,549.521203141767,113.103360985992,787.120853698832,807.864999839151,393.194009580222,101.819074203901,1919.20419031648,200.045324459039,1040.14198721868,95.3969330847589,407.400196669722,820.331767604107,1410.78496525913,584.989753104856,794.421160695027
"FOSL2",226.984583681586,242.842854584486,300.969960589843,141.603699713781,341.105815869465,170.036653582266,410.730426988918,300.969960589843,321.977851038237,202.778664480945,223.761462126449,414.549087830166,1836.93231815214,241.051845262277,619.321183229445,363.284832386727,1295.6273696415,211.962424086283,340.221454644485,673.624564181349,225.151541830645
"SLC16A7",160.780746774456,237.675985338008,220.455703616764,195.201361754978,168.266675924884,161.822322491335,147.817818504254,220.455703616764,72.4450164836033,96.1898793050638,142.728504648558,133.334501933679,116.315405473726,219.440300514625,58.2267779104606,198.558732815952,49.7407216864196,120.483904217466,74.3950914155941,172.204775805758,70.7900044183687
"RPL35A",165.509592267823,612.643067796727,462.956977595204,304.381784431491,276.176826789755,232.46556987334,356.56817288049,462.956977595204,754.348108146726,482.249259759171,355.440018028022,467.882888603638,712.077238387933,607.893963799352,513.454314301335,467.555898781696,441.744980691298,335.421239518996,642.338106368788,587.52217627847,551.57211775979
"C1orf61",70.9326824004955,25.8343462323921,36.4231162497262,107.195324082395,220.39276574944,48.4645534364913,220.034157315492,36.4231162497262,243.208269623525,254.773193835034,172.195034640519,53.3338007734717,150.358938783109,89.2168898556934,275.253859213087,65.4467331627997,461.878129945325,294.516210309362,247.681218981185,93.6996574237215,216.302791278349
"RPS29",11.0339728178549,14.7624835613669,12.4605397696432,5.95529578235526,11.8884064512146,24.6429932727922,10.1554226453304,12.4605397696432,44.8469149660401,35.7462389309359,17.4957521827265,21.818373043693,12.7663249910187,12.191127806368,41.0234117096427,6.65559998265759,17.7645434594356,12.6433726647958,22.6814303096324,37.9863476042114,90.4538945345822
"TMED10",753.462715276374,790.530994711199,880.864311407851,724.560986853223,1080.01600145265,960.255304529802,819.204093389986,880.864311407851,1074.02611739183,1012.59345917087,1038.6951822166,955.159886579448,1495.07850450375,835.646396909228,989.855224477831,970.608330804233,991.261525036505,1046.42501996281,1203.0230636229,949.658690105286,1255.53938392023
"RBFOX2",3346.44632747227,1301.31292593449,1813.48778801268,1670.79131671634,1580.2435652076,1724.18809598636,1610.19867943183,1813.48778801268,1210.86670408308,1049.63956133566,1833.37066293729,1949.10799190324,1100.74091033672,1342.68648521953,975.298530000216,1841.93729520049,1279.04712907936,1263.59353867577,1113.20459959676,1314.32762710572,1480.69092575088
"NACA",632.089014279971,1020.08761409045,1010.2622244003,1103.71481832984,940.098602449894,1329.90020362169,988.461137478826,1010.2622244003,1578.84139098392,1229.67061922419,1082.89497720454,906.674613149019,1635.50807940495,1501.17114670232,1184.38559613323,1013.86973069151,1332.34075945767,985.439340050264,1680.24035733757,1276.3412795015,1606.53982249465
"POGZ",554.851204554987,284.177808556313,191.700611840664,359.302845535434,468.220315617068,205.358277273268,497.61570962119,191.700611840664,485.841578798768,433.504388489713,354.519188965774,482.428470632767,608.528157905225,241.605987435294,1007.05859067865,343.318032438754,592.151448647852,889.498453358578,584.27364477613,539.406135979802,418.840859475348
"SREK1",2214.67597272658,1096.85252860956,728.462324994524,1458.38576714567,1255.59861980905,2707.44352757077,1629.38114442857,728.462324994524,1610.46421563947,2062.88295212346,2138.16508254163,2945.48036089855,2011.40542636273,1093.87664953502,2630.79169286354,1162.51146363753,2766.53156808277,3575.09955292198,1987.80055233618,3494.74397958745,2106.98582595228
"TIA1",66.2038369071291,46.5018232183058,40.2571284865395,80.7273428274824,96.0217444136564,62.4289162910735,120.736691450039,40.2571284865395,124.191456829034,170.932015251566,102.212025909613,46.0610097589074,181.565510983377,53.197648609606,84.6934951424882,58.7911331801421,104.218654962022,142.052010528,130.645038583482,134.218428201547,111.100979156606
"PPIC",110.339728178549,126.219234449687,57.5101835521992,113.812319396123,108.824643668811,119.107800818496,146.689438210328,57.5101835521992,179.38765986416,157.283451296118,88.3995899758812,201.21388473628,222.701447065549,157.376377136751,354.654010909169,132.557366321264,74.6110825296294,194.856684598618,149.697440043574,146.880544069618,79.6387549706648
"SF3B1",561.156331879475,704.170465877202,574.143332462789,630.599653398285,621.855106678918,689.182378529088,789.86620574792,574.143332462789,745.148740974205,925.502622502776,639.97619826289,656.97545498231,1187.26822416474,722.047251440798,919.718423812958,1008.87803070451,914.281836712284,638.118455670284,595.160731324753,1124.39588908466,685.286570550042
"CIAPIN1",209.645483539242,399.325180334975,236.75025562322,309.013681151101,167.352183120944,202.072544836896,180.540847028096,236.75025562322,127.066259070447,233.325450476472,164.828402142528,237.577839809101,80.8533916097852,261.000963490879,173.356997869781,212.424566113155,139.747741880893,91.478519868817,141.532125132106,179.802045326601,87.5043110171502
"RBMS1",668.34349639578,575.73685889331,784.055502428316,719.929090133613,885.229034213518,888.790624038705,513.413033736148,784.055502428316,506.54015493694,503.047071500807,700.750916371308,625.460027252532,557.46285794115,565.225016477064,477.724246038098,674.988764907858,786.377123804348,363.682896063833,389.213344113291,638.170639750752,517.160310056416
"HCFC2",69.3564005693734,86.3605288339965,49.8421590785727,99.9166292372938,64.014496275771,87.0719095638657,47.3919723448752,49.8421590785727,106.942643380557,79.291657264985,81.0329574778911,80.0007011602075,228.375369283779,59.8473546858067,148.213616499354,79.8671997918911,53.2936303783067,113.046626179351,150.604697255959,75.9726952084229,144.529592354169
