"","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"C1orf61",51.0544463,51.31187571,53.26430892,34.67085023,44.85133382,42.68174761,69.52930523,56.61508435,55.59493407,36.02382366
"NAV2",98.49882395,63.14566279,47.33383952,123.6910449,60.47286522,91.31414016,24.75542647,40.51715729,32.26894059,64.09189473
"PNISR",55.26280852,45.65707602,81.04208587,48.94382282,43.26262822,77.08390135,81.31773044,71.60605669,81.10955444,64.04440626
"MOB1A",41.22264266,52.15507244,30.10760335,122.5325526,49.75749981,63.34692647,28.6889728,38.72847892,26.09288026,48.24767426
"TARDBP",75.59927361,69.23181477,42.11424576,146.6538533,100.0806072,148.707983,30.96938663,52.3783845,46.59349637,66.46477443
"CST3",55.81117411,63.62815536,56.28249062,105.0090911,59.3815707,92.894044,50.04657949,77.64713472,55.05544962,40.46395169
"RAP1GDS1",333.6894986,617.9784371,176.6150701,754.2984226,371.3043753,763.8150701,38.73444766,109.9925421,59.42890171,580.8425791
"PFDN1",58.37461431,131.9866681,65.40225396,145.1150701,104.5150701,129.9421934,84.63151877,53.94567003,62.76237584,90.41330804
"PHTF2",11.8083687,18.83177972,18.44674324,11.90958426,14.7553121,20.30135273,12.89161337,13.27124861,14.8872627,17.1315291
"SKIV2L2",189.9211946,127.7887205,123.771304,285.3769726,120.5156463,198.7186569,18.09701984,79.50343516,66.8925165,283.8329921
"RANBP2",57.42402961,71.80849927,71.59605759,101.6493801,53.84908177,58.79236587,40.67732359,65.1686978,54.85778287,66.61410745
"TIA1",66.54304356,53.14924377,78.10917588,76.45063469,54.96011133,80.5285069,57.75881117,42.782728,50.597189,68.05223824
"TBCB",57.7150769,261.4150701,30.45170432,220.2150701,204.7676665,395.4472323,39.31850159,49.22188045,46.31545899,81.84988413
"SUN1",82.02558433,45.62314679,44.13489784,224.328135,129.7013343,218.0911827,15.0021227,80.37359349,24.71753641,56.96945265
"RPS29",499.7144328,723.0395365,552.2787539,1283.238874,838.0539894,790.615775,234.1150701,846.0300392,659.7884113,574.5710783
"OSBPL3",10.05175423,12.00048389,10.95927309,8.806989159,10.39564377,25.42102035,10.1496685,11.68256211,10.05175423,13.69541037
"PLEKHB1",17.74802763,59.14343754,16.09103917,33.79253911,46.24495295,83.97859002,17.81713325,42.22402165,17.88925792,15.96203795
