"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"MTDH",-0.648019093,7.292920645,-0.675946872,0.513389089,0.999972288,-4.653893562,-1.567015112,241.3892308,316.8919692,129.475672,366.7477155,282.4453699,456.3442595,23.93857158,93.16409183,27.45424537,313.6971956,8
"MYOF",0.173746548,4.345843466,0.670147456,0.516936265,0.999972288,-4.654636226,1.127983957,20.94429103,13.9046893,22.41943318,16.1656609,17.11811068,15.73568463,33.99319302,25.90519907,21.44290417,22.51351876,4
"JAG1",-0.243316733,6.774383766,-0.650192581,0.529251929,0.999972288,-4.65714971,-1.183710868,153.3563019,99.34239308,122.7037218,155.129755,168.8611615,109.1257874,112.1150701,72.47478889,44.39057606,128.2150998,9
"JMJD1C",0.495652489,5.042306589,0.645302689,0.532295759,0.999972288,-4.657755654,1.409958294,30.17323642,21.51973057,26.78333829,91.8926668,37.75077159,135.5150701,8.191171459,23.67636425,14.4360614,65.95198048,8
"ANKRD40",0.18385777,7.087664976,0.641119449,0.534907755,0.999972288,-4.658270894,1.135917273,137.5800128,134.4461849,104.1039874,166.2612944,190.6015526,247.6217605,109.4723326,124.5698778,108.2388342,97.18952548,10
"KPNA6",-0.237726916,5.687581777,-0.638001287,0.536859527,0.999972288,-4.658653063,-1.179133376,57.33944368,90.57689119,37.25713244,65.86385458,52.53260893,94.87294389,31.6686348,42.96098038,29.73975773,51.4502422,4
"RAB31",-0.271384148,8.008974562,-0.630847476,0.541352813,0.999972288,-4.659523739,-1.206965257,347.8290172,308.4317795,236.5150701,348.6606097,317.8313233,436.4488376,90.01507012,245.9845091,152.8762379,309.6963854,9
"PLA2G16",-0.116255487,6.645099539,-0.626699883,0.543967724,0.999972288,-4.660024622,-1.083917901,94.37580335,101.2124767,124.3141483,71.30921317,84.05408275,93.10531375,107.2553821,117.1565245,121.0587339,100.0614876,10
"RPL22",0.20872035,9.056482002,0.626046544,0.544380287,0.999972288,-4.66010326,1.155662672,468.2202039,459.0624618,518.2639515,907.753682,802.5739981,612.0045546,243.5150701,556.6563832,509.6895062,533.6149123,8
"FOSL2",0.215329827,4.823963577,0.623951371,0.54570452,0.999972288,-4.660354959,1.160969304,31.82318515,26.93650832,19.37602615,28.55607549,47.14785004,58.46211498,20.04739255,26.45803041,20.11070434,23.831428,8
"C1orf61",-0.135517729,5.601898523,-0.623639313,0.54590191,0.999972288,-4.660392385,-1.098486949,51.0544463,51.31187571,53.26430892,34.67085023,44.85133382,42.68174761,69.52930523,56.61508435,55.59493407,36.02382366,10
"NAV2",-0.289264328,5.853330431,-0.62038075,0.547965505,0.999972288,-4.660782211,-1.222016977,98.49882395,63.14566279,47.33383952,123.6910449,60.47286522,91.31414016,24.75542647,40.51715729,32.26894059,64.09189473,10
"PNISR",0.143290023,5.980837331,0.574172597,0.577696792,0.999972288,-4.666116191,1.104420845,55.26280852,45.65707602,81.04208587,48.94382282,43.26262822,77.08390135,81.31773044,71.60605669,81.10955444,64.04440626,10
