"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"128655","false","4.01828925","0.0","NA",,,"0.24886212","0.0","false","1","6","false",,"SUPT6H","SUPT6H","102.0","1","0",,"0","0.69817107","false","0","SUPT6H","0","0.0"
"128656","false","4.10467079","1.78E-6","NA",,,"0.2436249","0.0","false","3","8","false",,"GABARAPL1","GABARAPL1","7.66666667","3","0",,"0","0.68953292","false","0","GABARAPL1","270","0.41666667"
"128657","false","3.71947102","1.0463E-4","NA",,,"0.26885544","0.0","false","2","7","false",,"TPP2","TPP2","144.0","2","0",,"0","0.7280529","false","0","TPP2","16342","0.5088968"
"128658","false","3.95301069","1.764E-5","NA",,,"0.25297174","0.0","false","2","6","false",,"PSMC2","PSMC2","39.5","2","0","false","0","0.70469893","false","0","PSMC2","4100","0.52027027"
"128659","false","4.18964547","0.00249082","NA",,,"0.23868368","0.0","true","16","7","false",,"TIMP2","TIMP2","3.0","16","0",,"1","0.68103545","false","0","TIMP2","858260","0.1"
"128660","false","3.98564997","0.0","NA",,,"0.25090011","0.0","false","1","8","false",,"PHAX","PHAX","22.0","1","0",,"0","0.701435","false","0","PHAX","0","0.0"
"128661","false","4.07709623","0.0","NA",,,"0.2452726","0.0","false","1","6","false",,"PPME1","PPME1","55.0","1","0","false","0","0.69229038","false","0","PPME1","0","0.0"
"128662","false","3.83173889","1.2358E-4","NA",,,"0.26097812","0.0","false","2","7","false",,"PSMA7","PSMA7","134.0","2","0","false","0","0.71682611","false","0","PSMA7","47804","0.51153846"
"128663","false","4.08975802","0.0","NA",,,"0.24451324","0.0","false","1","8","false",,"RPL8","RPL8","50.0","1","0","false","0","0.6910242","false","0","RPL8","0","0.0"
"128664","false","3.94316263","0.0","NA",,,"0.25360354","1.0","false","2","7","false",,"CD79A","CD79A","62.0","2","0",,"0","0.70568374","false","0","CD79A","0","0.5210084"
"128665","false","4.84608891","0.0","NA",,,"0.20635197","0.0","false","1","8","false",,"RGS9","RGS9","24.0","1","0",,"0","0.61539111","false","0","RGS9","0","0.0"
"128666","false","4.84608891","0.0","NA",,,"0.20635197","0.0","false","1","8","false",,"GNG13","GNG13","24.0","1","0",,"0","0.61539111","false","0","GNG13","0","0.0"
"128667","false","3.92346652","0.0","NA",,,"0.25487665","0.0","false","1","8","false",,"RGS14","RGS14","186.0","1","0",,"0","0.70765335","false","0","RGS14","0","0.0"
"128668","false","3.92346652","0.0","NA",,,"0.25487665","0.0","false","1","8","false",,"SYAP1","SYAP1","186.0","1","0",,"0","0.70765335","false","0","SYAP1","0","0.0"
"128669","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"EIF4EBP1","EIF4EBP1","213.0","1","0",,"0","0.69873382","false","0","EIF4EBP1","0","0.0"
"128670","false","4.20483962","0.0","NA",,,"0.2378212","0.0","false","1","8","false",,"PDCL2","PDCL2","8.0","1","0",,"0","0.67951604","false","0","PDCL2","0","0.0"
"128671","false","3.20512099","0.00152375","NA",,,"0.3120007","0.0","true","8","7","false",,"CXorf56","CXorf56","24.875","8","0",,"0","0.7794879","false","0","CXorf56","178490","0.14737654"
"128672","false","3.98564997","0.0","Neurons",,,"0.25090011","0.0","false","1","8","false",,"RAB24","RAB24","42.0","1","0",,"0","0.701435","false","0","RAB24","0","0.0"
"128673","false","3.98396173","1.792E-5","NA",,,"0.25100643","0.0","false","2","7","false",,"CCM1","CCM1","24.0","2","0",,"0","0.70160383","false","0","CCM1","2292","0.51111111"
"128674","false","4.06949916","0.0","NA",,,"0.24573048","0.0","false","1","8","false",,"SDF4","SDF4","29.0","1","0",,"0","0.69305008","false","0","SDF4","0","0.0"
"128675","false","3.89926843","6.195E-5","NA",,,"0.25645836","0.0","false","3","6","false",,"ATXN1L","ATXN1L","46.0","3","0",,"0","0.71007316","false","0","ATXN1L","10390","0.34615385"
"128676","false","4.12999437","0.0","NA",,,"0.24213108","0.0","false","1","6","false",,"IPPK","IPPK","23.0","1","0",,"0","0.68700056","false","0","IPPK","0","0.0"
"128677","false","3.75576815","1.7865E-4","NA",,,"0.26625712","0.0","false","2","6","false",,"FHL2","FHL2","129.0","2","0","false","0","0.72442319","false","0","FHL2","21690","0.50592885"
"128678","false","3.97439505","0.0","NA",,,"0.25161062","0.0","false","1","6","false",,"ROR2","ROR2","124.0","1","0",,"0","0.7025605","false","0","ROR2","0","0.0"
"128679","false","4.11395611","0.0","NA",,,"0.24307503","0.0","false","1","8","false",,"RNF219","RNF219","34.0","1","0",,"0","0.68860439","false","0","RNF219","0","0.0"
"128680","false","4.01772651","0.0","NA",,,"0.24889698","0.0","false","1","7","false",,"COPS2","COPS2","94.0","1","0","false","0","0.69822735","false","0","COPS2","0","0.0"
"128681","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"TMEM268","TMEM268","213.0","1","0",,"0","0.69873382","false","0","TMEM268","0","0.0"
"128682","false","4.45441756","0.0","NA",,,"0.22449624","0.0","false","1","8","false",,"ASB4","ASB4","19.0","1","0",,"0","0.65455824","false","0","ASB4","0","0.0"
"128683","false","3.77377603","0.00117155","NA",,,"0.26498658","0.0","false","5","6","false",,"KRT18","KRT18","68.0","5","0","false","0","0.7226224","false","0","KRT18","134206","0.20552147"
