"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10424","false","3.1775","6.4062E-4","NA","0.31471282","0.0","false","5","4","false","UBB","UBB","135.6","5","0","0","0.5645","false","0","UBB","118652","0.22211221"
"10425","false","3.41388889","0.00130479","NA","0.29292107","0.0","false","3","4","false","HSPA9","HSPA9","151.33333333","3","0","0","0.51722222","false","0","HSPA9","66242","0.34089191"
"10426","false","3.65138889","4.798E-5","NA","0.27386839","0.0","false","2","5","false","DLG4","DLG4","86.0","2","0","0","0.46972222","false","0","DLG4","9250","0.51204819"
"10427","false","3.94888889","0.0","NA","0.25323579","0.0","false","1","5","false","MRE11A","MRE11A","33.0","1","0","0","0.41022222","false","0","MRE11A","0","0.0"
"10428","false","3.94888889","0.0","NA","0.25323579","0.0","false","1","5","false","FEZ1","FEZ1","33.0","1","0","0","0.41022222","false","0","FEZ1","0","0.0"
"10429","false","3.77666667","1.647E-5","NA","0.26478376","0.0","false","3","5","false","PPP2R5D","PPP2R5D","36.5","3","0","1","0.44466667","false","0","PPP2R5D","1542","0.50714286"
"10430","false","3.61027778","1.4681E-4","NA","0.276987","0.0","false","2","5","false","TRAF4","TRAF4","143.5","2","0","0","0.47794444","false","0","TRAF4","23668","0.51258993"
"10431","false","3.58305556","5.42E-6","NA","0.2790914","0.0","false","2","5","false","BAK1","BAK1","60.5","2","0","0","0.48338889","false","0","BAK1","796","0.50854701"
"10432","false","3.80722222","0.0","NA","0.26265869","0.0","false","1","5","false","HSF1","HSF1","70.0","1","0","0","0.43855556","false","0","HSF1","0","0.0"
"10433","false","3.38805556","1.619E-4","NA","0.29515455","0.0","false","3","4","false","APLP1","APLP1","153.66666667","3","0","0","0.52238889","false","0","APLP1","36424","0.34935164"
"10434","false","3.76972222","0.0","NA","0.26527153","0.0","false","1","5","false","PARD3","PARD3","55.0","1","0","0","0.44605556","false","0","PARD3","0","0.0"
"10435","false","3.63555556","5.73E-6","NA","0.27506112","0.0","false","2","5","false","PARD6A","PARD6A","65.0","2","0","0","0.47288889","false","0","PARD6A","1044","0.52459016"
"10436","false","3.76972222","1.142E-5","NA","0.26527153","0.0","false","2","5","false","GIT1","GIT1","49.0","2","0","0","0.44605556","false","0","GIT1","1264","0.52173913"
"10437","false","3.47611111","0.0","NA","0.2876778","0.0","false","1","5","false","RFC2","RFC2","282.0","1","0","0","0.50477778","false","0","RFC2","0","0.0"
"10438","false","3.70416667","0.0","NA","0.26996625","0.0","false","1","5","false","WIZ","WIZ","100.0","1","0","0","0.45916667","false","0","WIZ","0","0.0"
"10439","false","2.13305556","0.11985231","NA","0.46881104","0.09166667","false","160","3","false","UBC","UBC","53.43125","160","0","0","0.77338889","false","0","UBC","14007078","0.018045"
"10440","false","3.81805556","0.0","NA","0.26191342","0.0","false","1","5","false","RPS10","RPS10","106.0","1","0","0","0.43638889","false","0","RPS10","0","0.0"
"10441","false","3.38555556","3.634E-5","NA","0.2953725","0.5","false","4","5","false","CSNK2A2","CSNK2A2","56.75","4","0","0","0.52288889","false","0","CSNK2A2","4796","0.27163462"
"10442","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","RPS13","RPS13","311.0","1","0","0","0.47105556","false","0","RPS13","0","0.0"
"10443","false","4.02694444","0.0","NA","0.24832724","0.0","false","1","5","false","HELZ","HELZ","63.0","1","0","0","0.39461111","false","0","HELZ","0","0.0"
"10444","false","3.14277778","9.6902E-4","NA","0.31818985","0.06666667","false","10","4","false","YWHAG","YWHAG","76.2","10","0","0","0.57144444","false","0","YWHAG","139142","0.12516556"
"10445","false","3.80833333","0.0","NA","0.26258206","0.0","false","1","5","false","CEBPE","CEBPE","34.0","1","0","0","0.43833333","false","0","CEBPE","0","0.0"
"10446","false","3.48916667","1.812E-5","NA","0.28660139","0.33333333","false","4","4","false","IGBP1","IGBP1","46.25","4","0","0","0.50216667","false","0","IGBP1","3322","0.27878788"
"10447","false","3.30583333","9.436E-5","NA","0.30249559","0.1","false","5","4","false","USP21","USP21","70.6","5","0","0","0.53883333","false","0","USP21","17428","0.23489933"
"10448","false","3.7225","0.0","NA","0.26863667","0.0","false","1","5","false","TRIM34","TRIM34","69.0","1","0","0","0.4555","false","0","TRIM34","0","0.0"
"10449","false","3.57166667","1.168E-5","NA","0.27998133","0.33333333","false","3","5","false","DNM2","DNM2","43.33333333","3","0","0","0.48566667","false","0","DNM2","2100","0.36752137"
"10450","false","4.12555556","0.0","NA","0.2423916","0.0","false","1","5","false","PCGF3","PCGF3","17.0","1","0","0","0.37488889","false","0","PCGF3","0","0.0"
"10451","false","3.5325","8.959E-5","NA","0.28308563","0.0","false","2","4","false","HSPA2","HSPA2","219.5","2","0","0","0.4935","false","0","HSPA2","33344","0.52147971"
"10452","false","3.54222222","1.3186E-4","NA","0.28230866","0.0","false","3","4","false","TBP","TBP","110.33333333","3","0","0","0.49155556","false","0","TBP","26370","0.34930777"
"10453","false","3.37111111","4.0615E-4","NA","0.2966381","0.0","false","5","4","false","RACK1","RACK1","85.0","5","0","0","0.52577778","false","0","RACK1","50664","0.22047244"
"10454","false","3.82694444","0.0","NA","0.26130507","0.0","false","1","5","false","CHD4","CHD4","56.0","1","0","0","0.43461111","false","0","CHD4","0","0.0"
"10455","false","3.47333333","4.832E-5","NA","0.28790787","0.16666667","false","4","5","false","WDR5","WDR5","49.0","4","0","0","0.50533333","false","0","WDR5","6834","0.26944444"
"10456","false","3.52194444","1.18E-5","NA","0.28393406","0.0","false","3","5","false","HDAC3","HDAC3","49.33333333","3","0","0","0.49561111","false","0","HDAC3","1766","0.374677"
"10457","false","3.5525","2.401E-5","NA","0.28149191","0.0","false","2","5","false","CBX4","CBX4","91.0","2","0","0","0.4895","false","0","CBX4","4688","0.52023121"
"10458","false","3.52305556","8.657E-5","NA","0.28384452","0.33333333","false","3","5","false","UBE2D2","UBE2D2","76.66666667","3","0","0","0.49538889","false","0","UBE2D2","7832","0.35339506"
