"","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","C9","VCP"
"3869",130526,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","UBASH3A","UBASH3A",213,1,0,0,0.69873382,"false",0,"UBASH3A",0,0,FALSE,FALSE
"3870",130527,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","CGGBP1","CGGBP1",213,1,0,0,0.69873382,"false",0,"CGGBP1",0,0,FALSE,FALSE
"3871",130528,"false",3.93894204,0,NA,"","",0.25387528,0,"false",1,7,"false","","SARAF","SARAF",78,1,0,0,0.7061058,"false",0,"SARAF",0,0,FALSE,FALSE
"3872",130529,"false",3.97439505,0,NA,"","",0.25161062,0,"false",2,6,"false","","MAP3K7IP1","MAP3K7IP1",124,2,0,1,0.7025605,"false",0,"MAP3K7IP1",0,0,FALSE,FALSE
"3873",130530,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","KRTAP9-4","KRTAP9-4",213,1,0,0,0.69873382,"false",0,"KRTAP9-4",0,0,FALSE,FALSE
"3874",130531,"false",3.85903208,0,NA,"","",0.25913234,0,"false",1,7,"false","","SRP14","SRP14",253,1,0,0,0.71409679,"false",0,"SRP14",0,0,FALSE,FALSE
"3875",130532,"false",4.17191896,0,NA,"","",0.23969785,0,"false",1,8,"false","","SORBS2","SORBS2",15,1,0,0,0.6828081,"false",0,"SORBS2",0,0,FALSE,FALSE
"3876",130533,"false",4.17191896,0,NA,"","",0.23969785,0,"false",1,8,"false","","NCKIPSD","NCKIPSD",15,1,0,0,0.6828081,"false",0,"NCKIPSD",0,0,FALSE,FALSE
"3877",130534,"false",3.97861564,0,NA,"","",0.25134371,0,"false",1,6,"false","","KRTAP5-6","KRTAP5-6",120,1,0,0,0.70213844,"false",0,"KRTAP5-6",0,0,FALSE,FALSE
"3878",130535,"false",3.97861564,0,NA,"","",0.25134371,0,"false",1,6,"false","","ADAMTSL4","ADAMTSL4",120,1,0,0,0.70213844,"false",0,"ADAMTSL4",0,0,FALSE,FALSE
"3879",130536,"false",4.45441756,0,NA,"","",0.22449624,0,"false",1,8,"false","","RLF","RLF",19,1,0,0,0.65455824,"false",0,"RLF",0,0,FALSE,FALSE
"3880",130537,"false",4.17923467,0,"Astrocytes","","",0.23927826,0,"false",1,8,"false","","CLU","CLU",15,1,0,0,0.68207653,"false",0,"CLU",0,0,FALSE,FALSE
"3881",130538,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","COMMD1","COMMD1",213,1,0,0,0.69873382,"false",0,"COMMD1",0,0,FALSE,FALSE
"3882",130539,"false",4.16938661,0,NA,"","",0.23984343,0,"false",1,8,"false","","ARID4A","ARID4A",29,1,0,0,0.68306134,"false",0,"ARID4A",0,0,FALSE,FALSE
"3883",130540,"false",3.9853686,0,NA,"","",0.25091782,0,"false",1,6,"false","","PIK3R3","PIK3R3",62,1,0,0,0.70146314,"false",0,"PIK3R3",0,0,FALSE,FALSE
"3884",130541,"false",5.22931908,0,NA,"","",0.19122949,0,"false",1,8,"false","","SOCS7","SOCS7",13,1,0,0,0.57706809,"false",0,"SOCS7",0,0,FALSE,FALSE
"3885",130542,"false",4.01266179,0,NA,"","",0.24921114,0,"false",1,7,"false","","CLTC","CLTC",213,1,0,0,0.69873382,"false",0,"CLTC",0,0,FALSE,FALSE
"3886",130543,"false",4.16938661,0,NA,"","",0.23984343,0,"false",1,8,"false","","RSRC2","RSRC2",29,1,0,0,0.68306134,"false",0,"RSRC2",0,0,FALSE,FALSE
"3887",130544,"false",4.02841868,0,NA,"","",0.24823636,0,"false",1,6,"false","","C12orf52","C12orf52",37,1,0,0,0.69715813,"false",0,"C12orf52",0,0,FALSE,FALSE
"3888",130545,"false",3.97861564,0,NA,"","",0.25134371,0,"false",1,6,"false","","KIAA1683","KIAA1683",120,1,0,0,0.70213844,"false",0,"KIAA1683",0,0,FALSE,FALSE
"3889",130546,"false",4.04023635,0,NA,"","",0.24751027,0,"false",1,8,"false","","REPS1","REPS1",68,1,0,0,0.69597636,"false",0,"REPS1",0,0,FALSE,FALSE
