Gene.Symbol,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
SEL1L2,6.73394758491573,9.26048958611587,7.45745798819008,4.47388355598092,8.33493947251569,7.09826933659372,9.05675132524756,8.37769254565017,7.89216094378312,6.82713282514948
TPSAB1 ,28.2755424362212,31.6526690371742,32.9393223365855,23.2656426036313,29.1599170540886,24.4755595381747,40.9434322534577,30.0033384230158,37.2246225422082,23.5882709678889
ANXA7,287.533184650047,260.415070123755,294.39409619774,539.160384976087,299.359526824019,720.418088707698,27.4718825261499,174.730710568727,114.456116027369,392.830600912403
SYNPR-AS1,14.4114431587317,14.8457183235991,16.8311490583201,10.8823608881545,20.5211326700616,10.1903213865439,36.3539664646151,21.1485333352487,17.4774271356961,13.1657889574079
FAM193A,67.515070234517,82.5776776503973,63.4367893728272,78.923308245213,80.1317176251102,140.416805942373,48.8029393862031,71.8574969768965,58.0762870192234,85.3882649438224
USF2,214.761527761748,186.620102912735,166.555137505031,142.586493567769,151.234423379981,147.292975990838,261.615070123755,197.081865480444,196.471715542495,174.180452967728
FAM156A ,95.2956572407634,95.6504899679088,89.0893905659402,167.222220626886,85.8687127673104,111.605452713815,81.8342517426844,105.845873848937,70.4379762794049,100.756442182127
ADIPOR1,41.7977963283647,44.3131843600683,40.8342144933856,30.6511984432351,47.9998921324961,53.212124943431,43.8162733541181,49.1152810132202,45.1877503678252,44.7087312452894
GZF1,27.2213677339267,46.2410796462298,44.1355558993834,35.8156017019649,28.0037386947874,24.1301783287641,39.606875307629,43.0409299958075,44.9710246006604,39.2727544433103
CFP,10.5829295441336,18.4777748984833,16.3481616128455,14.1718528996802,12.9215926735764,14.830498160826,22.3672107380388,18.0639992053103,14.6432149867137,14.4549776856492
ID4,20.7572214696055,7.63353867503177,24.2947720106497,66.5030393073667,16.3933837172968,8.91995044090432,7.08896516735387,9.89275129218123,11.6736361802403,7.97968904468115
AMHR2,66.3920912157305,69.3699158246046,70.8964945666775,37.8838553272157,61.6150715424074,49.1412489678258,101.720542660086,75.8702588318386,77.7420410967866,62.7234183285087
DMBT1,58.3438288033929,45.7959837911287,44.0056798098013,42.9142781041102,35.2909903098149,47.7633939129777,63.3834379144356,49.2329223817853,57.139313443719,34.2922231481376
TNNT1,16.8653785551813,18.9629861646848,21.9185552482334,11.1113256480613,16.081144517354,10.2646485402843,27.8687281543373,21.7973016637009,21.7751586045554,21.0093823719323
HOOK3,24.4888817110927,14.7911608843157,16.4418123560051,20.264239804445,10.2134053011843,18.1984551642925,17.9535484052335,18.8450262656615,18.6723754225136,16.9529670157583
RNF185,65.8462126579382,60.3538334181059,48.6664171465908,80.2702889559655,56.2892783681631,69.1150701685916,59.1150732679638,58.4375749578764,54.7600471127187,51.4606053209359
ZNF418,40.2871312243098,31.9553427026967,45.1575987263725,38.6771921690667,33.1130963172774,48.1388162493133,59.3823930549863,39.6016541858365,37.2206811566832,36.0949473395273
CD160,8.55502123241643,8.64312284112451,9.19257264591913,6.60732797254424,6.58657336545235,9.20115921551718,10.4555505518998,8.54773870829027,9.81528044991592,8.17510710872417
CECR5-AS1,4.70520328781992,4.57925245977364,5.15578074376401,3.5970563760911,4.00726585322217,4.21255543891473,5.43365826317408,5.6418905916484,5.20123128766883,4.37773419133202
SPINT2,107.914263848332,147.429337222722,93.8966228959733,132.43525931707,124.152264448925,161.475496869996,122.415070123755,98.7150701237552,89.246245509159,135.290401664751
SCRN1,83.276013093887,202.615070123755,58.8203143956703,230.95641814541,159.044628458624,273.840249218265,54.8415480990913,79.4139528887158,68.38276029738,99.0619626790961
DMTN,75.4206650178288,75.9150701262818,61.2562573976139,75.4252716295148,69.3246744796531,93.0253752786255,67.2789220858021,71.0301310272236,69.4009212317634,71.7371821503963
RDH8,35.3856092780048,37.0032469486929,32.1788559530266,24.4606977071169,41.5186183997463,27.9753651007381,66.4917513026404,37.7248616715657,47.1154573993757,31.9705574590207
MRPL13,6.46278908368472,6.1742557489154,6.35714904959613,14.5028863640445,6.27229139593939,6.07672629309738,5.55993564669627,4.99798819894252,6.5776814063724,7.09281758147099
KCNJ6,32.3285681767786,30.6644318703106,29.1474697714982,25.4073428329934,30.3287697091845,30.7534117815975,32.4824578677042,27.3724913407706,30.682830148266,30.8437207268059
SHC3,69.4595622500195,85.6140488962509,62.1457477603483,68.9150701685917,59.3500438699702,98.0971565784238,87.1016078657857,83.3995153868805,77.4543016234252,63.0238144773848
LINC01010,24.4738975940918,25.9575132749759,27.6059415744554,18.280474681902,20.2632989859979,20.4670277761611,33.2829420252107,27.5383435029367,33.945768949295,21.9060666754594
CXorf22,6.53161695021126,5.99369755364889,6.3687425750158,5.8083148090024,6.80021317072045,4.93267394981899,7.80643581391312,7.26387503010034,9.38171452383447,5.59422500820155
KLK11,40.2344038146513,43.255776309222,36.4773957238803,22.0682446582848,30.413888758591,22.1856852334528,63.3070537126499,47.9709315692126,54.2457187237523,33.4174835483136
UBXN7-AS1,22.9129903678369,23.6444701792308,28.1349289516063,12.5856791384563,19.029888429516,11.538809130358,49.8636811228653,31.8305839564884,24.969941538066,23.5667614893775
LIME1 ,18.1459594731976,27.5838946271149,17.7745891905827,23.0052449547367,27.5120349056286,17.4690063320628,23.2643365747238,19.2774339011325,22.1815806235569,21.6143465133994
RNF168,75.1150701262817,67.8614759966239,35.8903237075304,181.521777515501,76.8150701246726,149.917869320169,7.99445652454754,19.3072262347651,12.5141363447894,70.2979828754207
