Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL
DMPK,213.273337031005,164.088100435982,173.526471214483,180.603831847028,218.318763490487,221.483615262389,256.233444984441,257.335064334812,282.539214239946,255.763442655863,192.809583085363,189.527741115138,174.907474228229,254.556591272064,287.615473389075,222.092658637915,220.02195962023,258.614124831291
BEST1,180.05217956614,150.486747335895,253.976161252541,175.934376063329,259.983907207848,107.026208446692,210.28632100049,137.319938697052,225.108550071918,241.773533078884,145.362876193111,172.164957740955,267.17596512464,219.779378015856,361.72112188558,146.732796201174,183.866915738603,203.949891560556
LYST,349.20856946207,167.037153566292,108.343851827396,117.885530350434,127.015483288975,214.06516026667,177.734984166211,160.829441750077,308.461078557039,166.204243391914,166.270081141436,314.231853420131,239.44047733227,170.376408078628,98.0739273612555,154.074916574442,253.380929300088,331.739390149593
KIR3DL1 ,34.8467048859078,31.8139171471476,38.1335893055825,34.4392124750159,35.5683039046211,34.1856248260004,33.4375134137981,30.1849047690868,31.1130045858817,31.417375748168,28.9876570660302,29.7876719329069,26.2615148969349,41.9428870093222,35.964135608739,29.3246978894211,28.7627273452039,34.7760948278173
IFI27,401.896721743813,225.128341280826,370.821508051449,247.903403979974,247.096056062209,95.8779180388979,348.355101054263,283.279280857768,362.255682139572,478.577041963847,270.054450219,285.527405359798,207.460621858582,217.457049380537,710.7938973822,303.292128172475,296.51350604253,321.688619666405
SDC4,806.766771881493,860.779678576508,1324.70157856286,1075.61088281415,1858.36757805247,403.382841165278,1542.40793236206,498.583916203068,1674.51236196241,1813.55408683438,948.434783781753,949.642251453826,1219.6685674654,1671.36008259049,1962.90986634119,918.908455742489,673.830354820736,889.573808816842
SERPINE1,48.4499804858754,458.467164794688,80.5935206943482,43.3210469018248,83.620935053724,307.511321040277,54.4978361346902,38.0402061087009,209.419453633129,67.0608113206829,42.6171385590409,42.5834354000697,42.703954041095,55.8311028410508,92.8266513234143,49.5717754856569,48.5130717291102,45.4900124535401
GPR176,46.7457269886443,84.8654398612825,62.1729855406772,93.7198019246198,46.191943877189,101.9608729654,55.985849923596,88.1750395478442,48.9579899808706,50.9048927837157,82.9388940159769,59.6712081696588,50.764885422826,55.678901849023,57.4953057622125,76.9963422024399,69.9944762075965,56.6876792460219
CTNNA3,35.3240760456939,43.4499961506462,37.6380498597242,44.7978297986821,42.2827044697573,41.6961521293744,44.7755849610862,40.8649882805172,42.6924051890044,41.8565229118978,46.125740733397,40.406958787752,53.5495601433973,52.034987055001,53.5909215417683,34.7221578128826,37.8165269561539,48.8213784103346
ATN1,372.756304783914,340.518954982123,330.360207307805,337.485863932922,397.56143591587,344.784860543147,442.610524972024,341.658366886961,334.008916148365,473.429433159734,343.580011809406,434.060656525482,276.75308443335,533.214360591919,466.57107105607,516.470025230405,355.676016733534,367.072265019601
DNAJA1,1479.33604484534,1429.78613562177,571.389681513107,1163.36508135001,820.605049529026,2070.45534456873,868.666354501676,1477.49490230145,1310.83844839361,1116.17398398205,2561.09680985926,1720.5330619605,1557.60663497877,1068.48253765502,726.05744511508,1304.27967857651,1256.37296301818,3667.72412302095
STAB2,33.6467046130563,32.9701721678054,55.2422043225173,36.0656731403458,42.9307739607652,36.1014639416759,35.1569530628576,30.8585578050234,30.8309798807755,25.9003852120824,28.2838726554091,23.8686216389156,32.5002868762427,46.5545777609923,46.4386843396161,30.0690312163311,32.9405852684043,40.1346020916897
LAMP3,14.165453216839,17.8879597171224,22.3797467448557,16.6713466138354,18.27864693022,18.1962906754575,17.6612251463057,14.5197038317821,86.247990539817,15.5298375550954,17.0455223440243,15.6925922620643,18.1364060997202,23.78860088418,22.4787348608276,17.7854518897718,17.2852825824201,20.1694976350981
ETNPPL,2640.76203548431,61.7151644227747,3039.90103944438,2722.34777052108,4584.0267075544,33.2417870095426,3321.07456631155,1016.99132044553,1875.95080975474,3481.43353890514,1188.60192749421,975.734098241133,1177.76617471207,2848.49049196897,3738.1158245457,2082.41501651382,3045.8381110168,1562.00900210177
