Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL
RTEL1,190.565298923186,171.340520704468,301.677163577266,208.470131586939,217.614919186719,187.38745632689,189.8781602111,166.810174068075,247.652134266809,204.069196141508,179.911043583909,207.129394663223,213.447458639259,251.017813575234
MYH9,167.235577463416,350.768937734896,176.025846190135,178.68833079942,240.874969423735,387.479258092265,194.051383562193,205.782306379015,272.315941734272,152.621104858373,286.935903442274,288.097279508667,266.030806481807,301.91415548241
GPR87,13.3640430630629,12.4487916364687,14.1940144754434,12.1061811108097,12.1198297375866,13.7013014078167,11.1934088911234,11.8333734097006,11.2052307863085,13.4896494112478,12.2475614364785,12.2042693795378,10.0208212531076,13.1284653662169
VPREB1,13.5382409768151,14.478930650224,15.4064556441482,13.7759472080533,13.8408047334952,13.1235940908383,14.0778838548557,13.5780018802345,13.3715600991663,13.9901359568801,13.742086718821,11.7762813534148,14.0701869884084,13.8010533112757
GJB1,115.044225090032,135.28785588941,202.291863781307,124.241304030682,174.783677024047,105.179739821171,165.453098165467,133.288551786757,281.537203044553,186.737308069027,87.1450192209232,116.623630883267,170.743633835982,186.620444508156
VGLL1,25.0040488171149,23.8137215148621,33.0129928609415,24.5485948425074,28.7279637510884,22.8750302522755,23.8447514648012,20.5401182414736,24.7629444723457,21.7924413852942,23.9979484879236,21.6964911833603,24.6369556747323,25.4932354982777
ZNF556,35.3756951453402,36.9889394865175,68.1410860956174,42.4010841352055,51.80382801629,33.8191029140033,37.9908715698472,32.0147338516323,45.7636611115353,41.3833736867922,31.0558005457989,34.5773728619829,33.2868179454363,41.0858803163733
HYMAI,27.4493467441611,25.706512951688,31.2779600549313,26.3490230527989,27.0912046361819,27.1907684827027,26.0066031422931,26.2296545633127,26.5236173984602,26.8949320912108,26.5980323734658,27.4960891593711,23.0279166582942,26.0581497581313
ST8SIA2,21.9452758693182,23.9536901110691,33.8957562808472,25.7537283987561,26.7753815827439,26.9537623130162,24.2025438560898,23.7300619999373,25.3133549818963,21.7921290830529,23.3513218456389,26.2418154195214,22.5590537937529,27.1744278296701
STAP2,67.3965642493359,65.3475974692173,69.3444689855424,67.4802482032055,89.5418857706407,65.3980776860327,67.772856933269,62.9420723568968,78.3540958652405,71.8625522638933,78.5446883805317,66.4291469942443,60.1013673173601,85.4119483626845
