"SUID","name","selected","shared name"
"115691","RPL24","false","RPL24"
"115693","RPL5","false","RPL5"
"115697","C12orf43","false","C12orf43"
"115699","GJA9","false","GJA9"
"115701","ZNF483","false","ZNF483"
"115703","IMPDH2","false","IMPDH2"
"115705","MYH9","false","MYH9"
"115707","PSMD3","false","PSMD3"
"115709","FABP1","false","FABP1"
"115711","RBM15B","false","RBM15B"
"115713","PABPC4","false","PABPC4"
"115715","PRDX6","false","PRDX6"
"115717","SKP1","false","SKP1"
"115719","FBXO21","false","FBXO21"
"115721","NIFK","false","NIFK"
"115723","OTUB2","false","OTUB2"
"115725","TERT","false","TERT"
"115727","CDK19","false","CDK19"
"115729","PRKN","false","PRKN"
"115731","BAIAP2L1","false","BAIAP2L1"
"115733","PLOD2","false","PLOD2"
"115735","PLOD1","false","PLOD1"
"115737","ACLY","false","ACLY"
"115739","HSP90B1","false","HSP90B1"
"115741","RING1","false","RING1"
"115743","PCMT1","false","PCMT1"
"115745","RAD50","false","RAD50"
"115747","TBX1","false","TBX1"
"115749","RSBN1L","false","RSBN1L"
"115753","CDK13","false","CDK13"
"115755","MCM2","false","MCM2"
"115757","ABI3BP","false","ABI3BP"
"115759","EIF5A","false","EIF5A"
"115761","MAU2","false","MAU2"
"115763","ZNF620","false","ZNF620"
"115765","MAP4K1","false","MAP4K1"
"115767","MYL12B","false","MYL12B"
"115769","STAG1","false","STAG1"
"115771","AKAP8L","false","AKAP8L"
"115773","ACD","false","ACD"
"115775","IRF5","false","IRF5"
"115777","AKR1A1","false","AKR1A1"
"115779","RPL22","false","RPL22"
"115781","PRKDC","false","PRKDC"
"115783","CRYBB1","false","CRYBB1"
"115785","NOMO1","false","NOMO1"
"115787","ZDHHC17","false","ZDHHC17"
"115789","RPS5","false","RPS5"
"115791","DYRK1A","false","DYRK1A"
"115792","GLCCI1","false","GLCCI1"
"115796","HSPA1L","false","HSPA1L"
"115798","OSBPL8","false","OSBPL8"
"115801","ACTN1","false","ACTN1"
"115803","E2F1","false","E2F1"
"115805","MAGEB2","false","MAGEB2"
"115807","TOX4","false","TOX4"
"115812","KRT73","false","KRT73"
"115814","YY1","false","YY1"
"115817","HSPA9","false","HSPA9"
"115821","CCT3","false","CCT3"
"115825","CTTN","false","CTTN"
"115827","DOK3","false","DOK3"
"115829","HSD17B4","false","HSD17B4"
"115831","FGD6","false","FGD6"
"115833","AGER","false","AGER"
"115835","FLNA","false","FLNA"
"115837","HGS","false","HGS"
"115839","MLXIPL","false","MLXIPL"
"115841","SMU1","false","SMU1"
"115843","AP2M1","false","AP2M1"
"115845","TP53BP2","false","TP53BP2"
"115847","ERBB3","false","ERBB3"
"115849","SH3BP2","false","SH3BP2"
"115851","RASA1","false","RASA1"
"115853","VAV2","false","VAV2"
"115855","PTPN22","false","PTPN22"
"115857","MAP2","false","MAP2"
"115859","OCRL","false","OCRL"
"115861","ADAM15","false","ADAM15"
"115863","BLNK","false","BLNK"
"115865","DNM1","false","DNM1"
"115867","SKAP1","false","SKAP1"
"115869","MAPK9","false","MAPK9"
"115871","OTUD5","false","OTUD5"
"115873","ABL1","false","ABL1"
"115875","PLXNB1","false","PLXNB1"
"115877","RBBP6","false","RBBP6"
"115879","ASAP2","false","ASAP2"
"115881","UBA52","false","UBA52"
"115883","DLGAP1","false","DLGAP1"
"115885","WDR44","false","WDR44"
"115887","SHC1","false","SHC1"
"115889","MYO18A","false","MYO18A"
"115891","AGT","false","AGT"
"115893","ITIH4","false","ITIH4"
"115895","TFG","false","TFG"
"115897","CFH","false","CFH"
"115899","CUTA","false","CUTA"
"115901","CD164","false","CD164"
"115904","VIM","false","VIM"
"115906","RASGEF1C","false","RASGEF1C"
"115908","ANXA8L1","false","ANXA8L1"
"115910","ZNF569","false","ZNF569"
"115912","RARA","false","RARA"
"115914","PRMT8","false","PRMT8"
"115916","PML","false","PML"
"115918","KRT35","false","KRT35"
"115920","TP53","false","TP53"
"115922","RUNX1","false","RUNX1"
"115924","MMS19","false","MMS19"
"115927","PFKM","false","PFKM"
"115929","APP","false","APP"
"115932","G6PD","false","G6PD"
"115935","PPP1CA","false","PPP1CA"
"115937","CAPN2","false","CAPN2"
"115939","ERP70","false","ERP70"
"115941","NEDD8","false","NEDD8"
"115943","AGO4","false","AGO4"
"115945","PNMT","false","PNMT"
"115947","EGFR","false","EGFR"
"115949","PLCG1","false","PLCG1"
"115952","ZNF649","false","ZNF649"
"115955","ARRB1","false","ARRB1"
"115958","STAT5B","false","STAT5B"
"115960","GHR","false","GHR"
"115962","ATL1-alpha","false","ATL1-alpha"
"115964","HIST3H3","false","HIST3H3"
"115966","PGLS","false","PGLS"
"115968","PLA2G4C","false","PLA2G4C"
"115970","TRIM21","false","TRIM21"
"115972","AP2A2","false","AP2A2"
"115974","FTH1","false","FTH1"
"115976","AHDC1","false","AHDC1"
"115978","EPPK1","false","EPPK1"
"115980","NOL3","false","NOL3"
"115982","RANBP2","false","RANBP2"
"115984","RPS19","false","RPS19"
"115988","DOK1","false","DOK1"
"115990","POLR3A","false","POLR3A"
"115991","POLR1D","false","POLR1D"
"115993","APOH","false","APOH"
"115995","UBE2B","false","UBE2B"
"115997","HSPA4","false","HSPA4"
"116000","GIT1","false","GIT1"
"116002","GNMT","false","GNMT"
"116006","ARHGAP35","false","ARHGAP35"
"116008","CCT8","false","CCT8"
"116010","TSN","false","TSN"
"116012","HDLBP","false","HDLBP"
"116014","STAM","false","STAM"
"116016","ZNF324","false","ZNF324"
"116018","USP20","false","USP20"
"116020","KRT17","false","KRT17"
"116022","SP100","false","SP100"
"116024","POT1","false","POT1"
"116026","PPM1G","false","PPM1G"
"116029","SNCG","false","SNCG"
"116031","ZNF790","false","ZNF790"
"116033","SH2D5","false","SH2D5"
"116035","HNMT","false","HNMT"
"116037","KIF1BP","false","KIF1BP"
"116039","SH3GL2","false","SH3GL2"
"116041","SF1","false","SF1"
"116045","RPL19","false","RPL19"
"116047","TNPO2","false","TNPO2"
"116049","PEPD","false","PEPD"
"116051","MGC3731","false","MGC3731"
"116053","TUBB3","false","TUBB3"
"116056","CFL1","false","CFL1"
"116058","FKBP8","false","FKBP8"
"116060","CRYM","false","CRYM"
"116063","PTPN5","false","PTPN5"
"116065","TBL1X","false","TBL1X"
"116067","RTN4","false","RTN4"
"116069","PRKCB","false","PRKCB"
"116071","DDX23","false","DDX23"
"116073","EPB41L1","false","EPB41L1"
"116075","NUDT14","false","NUDT14"
"116077","PACSIN2","false","PACSIN2"
"116079","GAMT","false","GAMT"
"116081","SRSF6","false","SRSF6"
"116083","PTMA","false","PTMA"
"116085","HSPA6","false","HSPA6"
"116087","APEX1","false","APEX1"
"116089","MYCBP2","false","MYCBP2"
"116091","INPP5D","false","INPP5D"
"116093","AURKB","false","AURKB"
"116095","ARF4","false","ARF4"
"116099","DCX","false","DCX"
"116101","PCP4","false","PCP4"
"116103","PSMB5","false","PSMB5"
"116105","SBDS","false","SBDS"
"116107","AFAP1L2","false","AFAP1L2"
"116109","TBPL1","false","TBPL1"
"116111","RPS7","false","RPS7"
"116113","SEC16A","false","SEC16A"
"116115","CCNT1","false","CCNT1"
"116117","DST","false","DST"
"116119","IRS4","false","IRS4"
"116121","RNF40","false","RNF40"
"116123","CDC37","false","CDC37"
"116125","RNF2","false","RNF2"
"116127","SYNE2","false","SYNE2"
"116129","TDRD6","false","TDRD6"
"116131","NARS","false","NARS"
"116138","JUP","false","JUP"
"116142","CAND1","false","CAND1"
"116144","SKP2","false","SKP2"
"116149","ZNF585A","false","ZNF585A"
"116151","TRIM74","false","TRIM74"
"116152","USP32","false","USP32"
"116155","SARS","false","SARS"
"116157","MYBPC3","false","MYBPC3"
"116159","SIRPD","false","SIRPD"
"116162","GNL3L","false","GNL3L"
"116164","TERF2IP","false","TERF2IP"
"116166","ARL1","false","ARL1"
"116168","UTRN","false","UTRN"
"116171","PPP2CB","false","PPP2CB"
"116173","HSPC152","false","HSPC152"
"116176","MSH3","false","MSH3"
"116178","LRRC47","false","LRRC47"
"116180","YWHAB","false","YWHAB"
"116183","FARSLA","false","FARSLA"
"116186","TRIP13","false","TRIP13"
"116188","USP6","false","USP6"
"116190","SUB1","false","SUB1"
"116192","MAP1LC3A","false","MAP1LC3A"
"116194","EEF1A1","false","EEF1A1"
"116196","KPNA6","false","KPNA6"
"116199","TRIP10","false","TRIP10"
"116201","CFAP58","false","CFAP58"
"116203","CSE1L","false","CSE1L"
"116205","HIST1H4L","false","HIST1H4L"
"116207","SNRPD1","false","SNRPD1"
"116210","SIRPA","false","SIRPA"
"116212","FAM175B","false","FAM175B"
"116214","NDUFA1","false","NDUFA1"
"116216","WASF1","false","WASF1"
"116218","PPIP5K1","false","PPIP5K1"
"116220","ZPR1","false","ZPR1"
"116222","HUNK","false","HUNK"
"116224","IMMT","false","IMMT"
"116226","KRT82","false","KRT82"
"116228","WDR57","false","WDR57"
"116230","ZMAT3","false","ZMAT3"
"116232","STAU1","false","STAU1"
"116234","PRKRA","false","PRKRA"
"116237","RPS4X","false","RPS4X"
"116239","SH2B1","false","SH2B1"
"116241","ELF3","false","ELF3"
"116243","CHD3","false","CHD3"
"116245","USP53","false","USP53"
"116247","TERF2","false","TERF2"
"116249","MCCC2","false","MCCC2"
"116251","TXNRD1","false","TXNRD1"
"116252","GLRX2","false","GLRX2"
"116254","SFXN2","false","SFXN2"
"116256","ACTA1","false","ACTA1"
"116258","NXNL1","false","NXNL1"
"116260","H3F3C","false","H3F3C"
"116262","STUB1","false","STUB1"
"116264","TALDO1","false","TALDO1"
"116266","SMARCA2","false","SMARCA2"
"116268","UBE2D3","false","UBE2D3"
"116270","TCIRG1","false","TCIRG1"
"116273","ZNF460","false","ZNF460"
"116276","MECP2","false","MECP2"
"116278","NUMA1","false","NUMA1"
"116280","ZNF471","false","ZNF471"
"116282","AMFR","false","AMFR"
"116284","MACROD2","false","MACROD2"
"116286","ZNF195","false","ZNF195"
"116288","WDR6","false","WDR6"
"116290","SF3B6","false","SF3B6"
"116292","CSK","false","CSK"
"116295","UGP2","false","UGP2"
"116297","TXNDC17","false","TXNDC17"
"116299","RPS3","false","RPS3"
"116301","RUVBL1","false","RUVBL1"
"116305","GRK5","false","GRK5"
"116307","UBD","false","UBD"
"116309","ATP6V1B2","false","ATP6V1B2"
"116311","TMED9","false","TMED9"
"116313","PSMC6","false","PSMC6"
"116315","SMARCA1","false","SMARCA1"
"116317","C1orf156","false","C1orf156"
"116320","FBXW4","false","FBXW4"
"116322","URI1","false","URI1"
"116324","PABPC1","false","PABPC1"
"116326","SMG8","false","SMG8"
"116328","SMG1","false","SMG1"
"116330","LMNA","false","LMNA"
"116332","FLJ12886","false","FLJ12886"
"116335","FBXO46","false","FBXO46"
"116339","CDC42","false","CDC42"
"116342","IQGAP1","false","IQGAP1"
"116344","EED","false","EED"
"116346","CEP250","false","CEP250"
"116348","CCDC8","false","CCDC8"
"116350","HLA-B","false","HLA-B"
"116352","GNAS","false","GNAS"
"116355","HSPA8","false","HSPA8"
"116357","PCBP2","false","PCBP2"
"116359","CDK9","false","CDK9"
"116361","MEPCE","false","MEPCE"
"116363","C12orf45","false","C12orf45"
"116365","CAPNS1","false","CAPNS1"
"116367","MLH1","false","MLH1"
"116369","GPN1","false","GPN1"
"116371","TTI1","false","TTI1"
"116373","TELO2","false","TELO2"
"116375","LZTR1","false","LZTR1"
"116377","H2AFX","false","H2AFX"
"116379","PGD","false","PGD"
"116381","NUFIP1","false","NUFIP1"
"116383","MORF4L1","false","MORF4L1"
"116385","INO80E","false","INO80E"
"116387","INOC1","false","INOC1"
"116390","ACTR8","false","ACTR8"
"116392","INO80C","false","INO80C"
"116394","MCRS1","false","MCRS1"
"116396","HDAC5","false","HDAC5"
"116400","BCL3","false","BCL3"
"116403","MAP4K3","false","MAP4K3"
"116405","ZC3H18","false","ZC3H18"
"116409","RBBP4","false","RBBP4"
"116411","HSPC142","false","HSPC142"
"116413","RADIL","false","RADIL"
"116415","KIAA2022","false","KIAA2022"
"116417","NAP1L5","false","NAP1L5"
"116419","WIPF1","false","WIPF1"
"116422","SMN1","false","SMN1"
"116424","IK","false","IK"
"116426","XPO1","false","XPO1"
"116428","RRP1B","false","RRP1B"
"116430","KRT33B","false","KRT33B"
"116432","EMC3","false","EMC3"
"116434","SF3A2","false","SF3A2"
"116437","TRIM65","false","TRIM65"
"116440","ARF6","false","ARF6"
"116443","RPL27","false","RPL27"
"116445","DZIP3","false","DZIP3"
"116447","RAPSN","false","RAPSN"
"116449","ALAS2","false","ALAS2"
"116452","XIAP","false","XIAP"
"116454","YLPM1","false","YLPM1"
"116456","DCTN2","false","DCTN2"
"116458","ACVRL1","false","ACVRL1"
"116460","MAGEA6","false","MAGEA6"
"116462","MED7","false","MED7"
"116464","KIAA1549L","false","KIAA1549L"
"116466","KAT2A","false","KAT2A"
"116468","H1F0","false","H1F0"
"116470","SF3B1","false","SF3B1"
"116472","MAGEH1","false","MAGEH1"
"116474","RPL17-C18orf32","false","RPL17-C18orf32"
"116476","MET","false","MET"
"116478","SH3PXD2A","false","SH3PXD2A"
"116480","IPO5","false","IPO5"
"116483","LDHA","false","LDHA"
"116485","SLX1B","false","SLX1B"
"116487","ZFP1","false","ZFP1"
"116489","POGK","false","POGK"
"116491","GTPBP2","false","GTPBP2"
"116493","ARAP1","false","ARAP1"
"116496","KRT2","false","KRT2"
"116498","MT2A","false","MT2A"
"116502","PAN2","false","PAN2"
"116505","MDH1","false","MDH1"
"116507","IKBKAP","false","IKBKAP"
"116509","TCEAL8","false","TCEAL8"
"116511","AP2A1","false","AP2A1"
"116513","GTF2A2","false","GTF2A2"
"116515","DYNC1H1","false","DYNC1H1"
"116517","FTL","false","FTL"
"116519","POLR2C","false","POLR2C"
"116523","MED1","false","MED1"
"116525","TCF3","false","TCF3"
"116531","RPL11","false","RPL11"
"116534","RPL23A","false","RPL23A"
"116536","RPL7A","false","RPL7A"
"116538","RPS14","false","RPS14"
"116541","RPL9P7","false","RPL9P7"
"116543","RPL35","false","RPL35"
"116545","RPLP0","false","RPLP0"
"116547","EBNA1BP2","false","EBNA1BP2"
"116549","DHX15","false","DHX15"
"116551","RBMX","false","RBMX"
"116553","IFIT2","false","IFIT2"
"116555","UBL4A","false","UBL4A"
"116557","ICAM1","false","ICAM1"
"116559","GPR20","false","GPR20"
"116561","CEP76","false","CEP76"
"116564","TUBGCP3","false","TUBGCP3"
"116566","TCEAL9","false","TCEAL9"
"116568","ASF1B","false","ASF1B"
"116571","BRE","false","BRE"
"116573","HOXA3","false","HOXA3"
"116575","KIRREL","false","KIRREL"
"116577","LASP1","false","LASP1"
"116579","WWP1","false","WWP1"
"116583","MAST4","false","MAST4"
"116585","ZEB2","false","ZEB2"
"116587","NOTCH2","false","NOTCH2"
