GeneSymbol,GeneSymbol.1,INT
PGLS,TERF1,PPI
APP,PLA2G4C,PPI
TRIM21,DCP2,PPI
AP2A2,GRB2,PPI
FTH1,GRB2,PPI
CBX5,AHDC1,PPI
EPPK1,GRB2,PPI
NOL3,TERF1,PPI
RANBP2,TRIM55,PPI
RPS19,SERBP1,PPI
TERF1,ABL1,PPI
PPP1CA,GRB2,PPI
GRB2,DOK1,PPI
POLR3A,POLR1D,PPI
APOH,GRB2,PPI
CBX5,UBE2B,PPI
HSPA4,KAT6A,PPI
SNU13,TRIM55,PPI
TXNDC9,GIT1,PPI
TERF1,GNMT,PPI
TERF1,GIT1,PPI
GRB2,GIT1,PPI
GRB2,ARHGAP35,PPI
CCT8,GRB2,PPI
UCHL3,TSN,PPI
CBX5,HDLBP,PPI
STAM,TRIM55,PPI
ZNF324,CBX5,PPI
UCHL3,USP20,PPI
GRB2,KRT17,PPI
SP100,TERF1,PPI
TERF1,POT1,PPI
PPM1G,TERF1,PPI
PLOD2,GART,PPI
SNCG,TERF1,PPI
TERF1,ZNF790,PPI
GRB2,SH2D5,PPI
HNMT,TERF1,PPI
TERF1,KIF1BP,PPI
TERF1,SH3GL2,PPI
GART,SF1,PPI
GART,SUMO2,PPI
GART,NEDD8,PPI
TERF1,RPL19,PPI
TNPO2,TERF1,PPI
PEPD,TERF1,PPI
MGC3731,TERF1,PPI
TERF1,TUBB3,PPI
PAICS,TERF1,PPI
CFL1,TERF1,PPI
TERF1,FKBP8,PPI
TERF1,CRYM,PPI
-,TERF1,PPI
PTPN5,TERF1,PPI
TBL1X,TERF1,PPI
TERF1,RTN4,PPI
PRKCB,TERF1,PPI
DDX23,TERF1,PPI
TERF1,EPB41L1,PPI
NUDT14,TERF1,PPI
TERF1,PACSIN2,PPI
TERF1,GAMT,PPI
TERF1,SRSF6,PPI
PTMA,TERF1,PPI
HSPA6,TERF1,PPI
APEX1,TERF1,PPI
MYCBP2,MYC,PPI
GRB2,INPP5D,PPI
CBX5,AURKB,PPI
MYC,ARF4,PPI
SF1,SAMHD1,PPI
HSP90AB1,TERF1,PPI
DCX,TERF1,PPI
PCP4,TERF1,PPI
PSMB5,TERF1,PPI
TERF1,SBDS,PPI
TERF1,AFAP1L2,PPI
TERF1,TBPL1,PPI
TERF1,RPS7,PPI
SEC16A,TERF1,PPI
CCNT1,TERF1,PPI
TERF1,DST,PPI
IRS4,TERF1,PPI
