UniProtAccession	GeneSymbol	
Q8TDB6	DTX3L	
Q9BYV6	TRIM55	
P35226	BMI1	
Q99496	RNF2	
Q96SB4	SRPK1	
O95232	LUC7L3	
P63010	AP2B1	
Q96CS2	HAUS1	
P62993	GRB2	
Q96BR5	COA7	
Q4G0J3	LARP7	
Q9UGI6	KCNN3	
Q8N766	EMC1	
P62899	RPL31	
Q9HA84	GAB1	
Q9BYV6	TRIM55	
P62993	GRB2	
P62993	GRB2	
Q8NC51	SERBP1	
Q12962	TAF10	
P45973	CBX5	
P54274	TERF1	
P62993	GRB2	
Q15691	MAPRE1	
P62993	GRB2	
Q9BYV6	TRIM55	
Q9BYV2	TRIM54	
P15374	UCHL3	
Q70CQ2	USP34	
Q13404	UBE2V1	
Q16864	ATP6V1F	
P50225	SULT1A1	
P15374	UCHL3	
P15374	UCHL3	
P15374	UCHL3	
Q8N257	HIST3H2BB	
Q7L5N1	COPS6	
Q9Y2S0	POLR1D	
Q9BYV6	TRIM55	
P45974	USP5	
P63261	ACTG1	
P63261	ACTG1	
Q9HA38	ZMAT3	
Q9H939	PSTPIP2	
P62993	GRB2	
Q9UGI6	KCNN3	
Q9H1J1	UPF3A	
P62993	GRB2	
Q96CS4	ZNF689	
P62993	GRB2	
Q96GG9	DCUN1D1	
P62899	RPL31	
O43818	RRP9	
P06702	S100A9	
P62993	GRB2	
Q9UJ14	GGT7	
P15374	UCHL3	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9UBF9	MYOT	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9Y6X2	PIAS3	
Q9BYV6	TRIM55	
Q9Y692	GMEB1	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q9BYV6	TRIM55	
Q96G03	PGM2	
Q17RB8	LONRF1	
P01106	MYC	
Q9BYV6	TRIM55	
Q8IU60	DCP2	
Q92794	KAT6A	
Q9UQ13	SHOC2	
Q9BVP2	GNL3	
P62993	GRB2	
Q9BXS5	AP1M1	
P54274	TERF1	
P54274	TERF1	
Q9UK99	FBXO3	
Q6SJ96	TBPL2	
Q71DI3	HIST2H3D	
Q92794	KAT6A	
Q9BYV6	TRIM55	
Q14195	DPYSL3	
Q9BYV6	TRIM55	
Q8NC51	SERBP1	
Q8NC51	SERBP1	
Q75VX8	GAREM2	
P62993	GRB2	
Q8NFA0	USP32	
Q71U36	TUBA1A	
P62993	GRB2	
Q86T64	DKFZp451F1115	
Q0VD86	INCA1	
Q8NC51	SERBP1	
Q71UM5	RPS27L	
P62993	GRB2	
Q4VC05	BCL7A	
Q6PIZ9	TRAT1	
P62993	GRB2	
P62899	RPL31	
Q01113	IL9R	
Q8WWW8	GAB3	
P62899	RPL31	
Q8NC51	SERBP1	
