"SrNo","V1","V2"
26085,"A0A024RB85","P54274"
26101,"P05067","Q9Y3Z3"
26250,"O00469","Q9Y3Z3"
26339,"P14923","Q9Y3Z3"
26340,"P22102","Q9Y3Z3"
26371,"Q15843","Q9Y3Z3"
26444,"Q6P5R6","Q86VP6"
26446,"Q13309","Q9Y3Z3"
26454,"Q86VP6","Q8NC51"
26600,"Q99496","Q9Y3Z3"
26605,"P00533","Q9Y3Z3"
26735,"P45973","Q6P3V2"
26738,"Q86UV6","Q8NFA0"
26746,"B0ZBD0","P62993"
26873,"P49591","P54274"
26905,"Q14896","Q9BYV6"
27000,"P54274","Q9H106"
27018,"P01106","P49591"
27019,"A0A024R9Y6","P54274"
27268,"P54274","Q9NYB0"
27306,"P01106","P40616"
27376,"P46939","P54274"
27378,"P54274","P61981"
27564,"P45973","P62714"
27587,"A0A024R565","O95232"
27793,"P54274","P62714"
27810,"P01106","P20585"
27901,"Q8N1G4","Q8NFA0"
27908,"P31946","Q8NFA0"
27911,"P05787","Q8NFA0"
27913,"Q6IBR2","Q8NFA0"
27914,"B7Z3D6","Q8NFA0"
27915,"Q15645","Q8NFA0"
27916,"P35125","Q8NFA0"
27928,"P45973","P53999"
28055,"P45973","Q9H492"
28130,"P62899","P68104"
28147,"O60684","P52292"
28197,"Q8NC51","Q9H492"
28303,"P54274","Q15642"
28460,"P54274","Q5T655"
28552,"P01106","P55060"
28694,"B2R4R0","P45973"
28738,"P15374","P62314"
28778,"P23497","P45973"
29004,"P62993","P78324"
29017,"O14530","Q15018"
29028,"O15239","Q9BYV6"
29223,"O14530","Q92558"
29225,"O14530","Q6PFW1"
29226,"O14530","O75312"
29231,"P57058","P62993"
29249,"O14530","Q16891"
29506,"P62993","Q9NSB4"
29510,"A0MNP2","P62304"
29633,"P05067","Q9HA38"
29634,"O95793","Q9HA38"
29635,"O75569","Q9HA38"
29651,"P62993","Q15018"
29824,"B2R491","P62899"
29899,"B3KNV5","P62993"
29965,"A0A024R974","P23458"
29975,"B3KWV4","O14530"
29985,"P62993","Q70EK8"
30099,"P54274","Q15554"
30102,"P54274","Q9HCC0"
30151,"Q16881","Q9NS18"
30440,"Q8IU60","Q96NB2"
30533,"P68133","Q9BYV6"
30630,"P54274","Q96CM4"
30655,"Q6NXT2","Q92794"
31039,"P54274","Q9UNE7"
31159,"P37837","P54274"
31252,"B1ALF6","Q9HA38"
31279,"P61077","Q9BYV6"
31327,"P54274","Q13488"
31378,"B1ALF6","P45973"
31414,"P45973","Q14592"
31589,"A0A024R4A0","P62993"
31613,"P45973","P51608"
31678,"P54274","Q14980"
31749,"A0A024R4Q9","Q96CS2"
31759,"Q9BZF1","Q9UKV5"
31805,"A1Z1Q3","P54274"
32023,"O14628","P45973"
32102,"A0A087X295","P62993"
32205,"Q9BYV6","Q9Y3B4"
32385,"B2R6Q4","P62993"
32387,"O95232","Q12857"
32526,"P22102","Q16851"
32566,"Q96BR5","Q9BRA2"
32611,"P23396","Q8NC51"
32753,"A0A024R475","Q9Y265"
32754,"Q86VP6","Q9Y265"
32755,"P29353","Q9Y265"
