"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"ARL1",NA,116166,"ARL1","false",FALSE,FALSE,FALSE
"ARL4A",NA,118522,"ARL4A","false",FALSE,FALSE,FALSE
"ARL4D",NA,119819,"ARL4D","false",FALSE,FALSE,FALSE
"ARL5A",NA,116693,"ARL5A","false",FALSE,FALSE,FALSE
"ARPC1B",NA,120734,"ARPC1B","false",FALSE,FALSE,FALSE
"ARPC3",NA,120747,"ARPC3","false",FALSE,FALSE,FALSE
"ARRB1",NA,115955,"ARRB1","false",FALSE,FALSE,FALSE
"ARRB2",NA,117480,"ARRB2","false",FALSE,FALSE,FALSE
"ARRDC3",NA,118576,"ARRDC3","false",FALSE,FALSE,FALSE
"ASAP2",NA,115879,"ASAP2","false",FALSE,FALSE,FALSE
"ASF1B",NA,116568,"ASF1B","false",FALSE,FALSE,FALSE
"ASS1",NA,115402,"ASS1","false",FALSE,FALSE,FALSE
"ASXL1",NA,120758,"ASXL1","false",FALSE,FALSE,FALSE
"ATAD2",NA,116768,"ATAD2","false",FALSE,FALSE,FALSE
"ATF2",NA,118424,"ATF2","false",FALSE,FALSE,FALSE
"ATG10",NA,118649,"ATG10","false",TRUE,FALSE,FALSE
"ATG12",NA,120161,"ATG12","false",FALSE,FALSE,FALSE
"ATG3",NA,119223,"ATG3","false",FALSE,FALSE,FALSE
"ATG4B",NA,118656,"ATG4B","false",FALSE,FALSE,FALSE
"ATG5",NA,120163,"ATG5","false",FALSE,FALSE,FALSE
"ATG7",NA,119219,"ATG7","false",FALSE,FALSE,FALSE
"ATIC",NA,118557,"ATIC","false",FALSE,FALSE,FALSE
"ATL1-alpha",NA,115962,"ATL1-alpha","false",FALSE,FALSE,FALSE
"ATL1-gamma",NA,119430,"ATL1-gamma","false",FALSE,FALSE,FALSE
"ATM",NA,119202,"ATM","false",TRUE,FALSE,TRUE
"ATN1",NA,115436,"ATN1","false",FALSE,FALSE,FALSE
"ATP4A",NA,118103,"ATP4A","false",FALSE,FALSE,FALSE
"ATP5A1",NA,117111,"ATP5A1","false",FALSE,FALSE,FALSE
"ATP5B",NA,117052,"ATP5B","false",FALSE,FALSE,FALSE
"ATP5C1",NA,118026,"ATP5C1","false",FALSE,FALSE,FALSE
"ATP5J2",NA,119110,"ATP5J2","false",FALSE,FALSE,FALSE
"ATP6V1B2",NA,116309,"ATP6V1B2","false",FALSE,FALSE,FALSE
"ATP6V1E1",NA,115359,"ATP6V1E1","false",FALSE,FALSE,FALSE
"ATP6V1F",NA,116989,"ATP6V1F","false",FALSE,FALSE,FALSE
"ATXN1",NA,117309,"ATXN1","false",FALSE,FALSE,FALSE
"ATXN10",NA,117538,"ATXN10","false",FALSE,FALSE,FALSE
"ATXN3",NA,116847,"ATXN3","false",FALSE,FALSE,FALSE
"ATXN3L",NA,115185,"ATXN3L","false",FALSE,FALSE,FALSE
"ATXN7L3",NA,120616,"ATXN7L3","false",FALSE,FALSE,FALSE
"AURKB",NA,116093,"AURKB","false",FALSE,FALSE,FALSE
"AXIN1",NA,119137,"AXIN1","false",FALSE,FALSE,FALSE
"AXIN2",NA,120409,"AXIN2","false",FALSE,FALSE,FALSE
"B2M",NA,115113,"B2M","false",FALSE,FALSE,FALSE
"BAG3",NA,116735,"BAG3","false",FALSE,FALSE,FALSE
"BAI1",NA,118578,"BAI1","false",FALSE,FALSE,FALSE
"BAIAP2L1",NA,115731,"BAIAP2L1","false",FALSE,FALSE,FALSE
"BANF1",NA,115225,"BANF1","false",FALSE,FALSE,FALSE
"BARD1",NA,117663,"BARD1","false",FALSE,FALSE,FALSE
"BAT4",NA,117213,"BAT4","false",FALSE,FALSE,FALSE
"BBS1",NA,119286,"BBS1","false",FALSE,FALSE,FALSE
"BBS10",NA,119282,"BBS10","false",FALSE,FALSE,FALSE
"BBS12",NA,119284,"BBS12","false",FALSE,FALSE,FALSE
"BBS4",NA,119246,"BBS4","false",FALSE,FALSE,FALSE
"BBS5",NA,119314,"BBS5","false",FALSE,FALSE,FALSE
"BBS7",NA,119259,"BBS7","false",FALSE,FALSE,FALSE
"BBS9",NA,119245,"BBS9","false",TRUE,FALSE,FALSE
"BBX",NA,120720,"BBX","false",TRUE,FALSE,FALSE
"BCAR1",NA,115519,"BCAR1","false",FALSE,FALSE,FALSE
"BCAR3",NA,120496,"BCAR3","false",FALSE,FALSE,FALSE
"BCL2",NA,118956,"BCL2","false",FALSE,FALSE,FALSE
"BCL3",NA,116400,"BCL3","false",FALSE,FALSE,FALSE
"BCL7B",NA,115547,"BCL7B","false",FALSE,FALSE,FALSE
"BCR",NA,117958,"BCR","false",FALSE,FALSE,FALSE
"BFAR",NA,120672,"BFAR","false",FALSE,FALSE,FALSE
"BGLAP",NA,119229,"BGLAP","false",FALSE,FALSE,FALSE
"BIRC8",NA,120578,"BIRC8","false",FALSE,FALSE,FALSE
"BLM",NA,119778,"BLM","false",FALSE,FALSE,FALSE
"BLOC1S6",NA,118692,"BLOC1S6","false",FALSE,FALSE,FALSE
"BLVRB",NA,118564,"BLVRB","false",FALSE,FALSE,FALSE
"BMI1",NA,116942,"BMI1","false",FALSE,FALSE,FALSE
"BMP2K",NA,115429,"BMP2K","false",FALSE,FALSE,FALSE
"BMPR1A",NA,120657,"BMPR1A","false",FALSE,FALSE,FALSE
"BPGM",NA,117477,"BPGM","false",FALSE,FALSE,FALSE
"BRAF",NA,115636,"BRAF","false",FALSE,FALSE,FALSE
"BRAP",NA,118105,"BRAP","false",FALSE,FALSE,FALSE
"BRCA1",NA,119321,"BRCA1","false",FALSE,FALSE,FALSE
"BRD3",NA,117824,"BRD3","false",FALSE,FALSE,FALSE
"BRD8",NA,119008,"BRD8","false",FALSE,FALSE,FALSE
"BRDG1",NA,118202,"BRDG1","false",FALSE,FALSE,FALSE
"BRE",NA,116571,"BRE","false",FALSE,FALSE,FALSE
"BRPF1",NA,118596,"BRPF1","false",FALSE,FALSE,FALSE
"BRWD1",NA,115233,"BRWD1","false",TRUE,FALSE,FALSE
"BTBD2",NA,117175,"BTBD2","false",FALSE,FALSE,FALSE
"BTG2",NA,119765,"BTG2","false",FALSE,FALSE,FALSE
"BTK",NA,115638,"BTK","false",FALSE,FALSE,FALSE
"BUD31",NA,118116,"BUD31","false",FALSE,FALSE,FALSE
"C12orf43",NA,115697,"C12orf43","false",FALSE,FALSE,FALSE
"C12orf45",NA,116363,"C12orf45","false",FALSE,FALSE,FALSE
"C1orf156",NA,116317,"C1orf156","false",FALSE,FALSE,FALSE
"C1orf166",NA,120595,"C1orf166","false",FALSE,FALSE,FALSE
"C1orf33",NA,117026,"C1orf33","false",FALSE,FALSE,FALSE
"C1orf94",NA,115513,"C1orf94","false",FALSE,FALSE,FALSE
"C1QBP",NA,117989,"C1QBP","false",FALSE,FALSE,FALSE
"C21orf58",NA,116812,"C21orf58","false",FALSE,FALSE,FALSE
"C3orf62",NA,120301,"C3orf62","false",FALSE,FALSE,FALSE
"C6orf32",NA,120327,"C6orf32","false",FALSE,FALSE,FALSE
"C9orf74",NA,119252,"C9orf74","false",FALSE,FALSE,FALSE
"CA9",NA,116642,"CA9","false",FALSE,FALSE,FALSE
"CAD",NA,115619,"CAD","false",FALSE,FALSE,FALSE
"CADPS2",NA,120684,"CADPS2","false",FALSE,FALSE,FALSE
"CAGE1",NA,118704,"CAGE1","false",FALSE,FALSE,FALSE
"CALCOCO2",NA,117316,"CALCOCO2","false",FALSE,FALSE,FALSE
"CALM1",NA,115485,"CALM1","false",FALSE,FALSE,FALSE
"CALU",NA,116729,"CALU","false",FALSE,FALSE,FALSE
"CAMK2D",NA,118905,"CAMK2D","false",FALSE,FALSE,FALSE
"CAMSAP1",NA,120827,"CAMSAP1","false",FALSE,FALSE,FALSE
"CAND1",NA,116142,"CAND1","false",FALSE,FALSE,FALSE
"CANX",NA,117353,"CANX","false",FALSE,FALSE,FALSE
"CAPN2",NA,115937,"CAPN2","false",FALSE,FALSE,FALSE
"CAPNS1",NA,116365,"CAPNS1","false",FALSE,FALSE,FALSE
"CARM1",NA,118393,"CARM1","false",FALSE,FALSE,FALSE
"CASC3",NA,118111,"CASC3","false",FALSE,FALSE,FALSE
"CASP2",NA,116899,"CASP2","false",FALSE,FALSE,FALSE
"CASP7",NA,117810,"CASP7","false",FALSE,FALSE,FALSE
"CAV1",NA,117015,"CAV1","false",FALSE,FALSE,FALSE
"CBL",NA,119702,"CBL","false",FALSE,FALSE,FALSE
"CBLB",NA,117321,"CBLB","false",FALSE,FALSE,TRUE
"CBLC",NA,119432,"CBLC","false",FALSE,FALSE,FALSE
"CBR1",NA,117343,"CBR1","false",FALSE,FALSE,FALSE
"CBS",NA,116823,"CBS","false",FALSE,FALSE,FALSE
"CBX1",NA,120029,"CBX1","false",FALSE,FALSE,FALSE
"CBX3",NA,117231,"CBX3","false",FALSE,FALSE,FALSE
"CBX5",NA,115108,"CBX5","false",TRUE,FALSE,FALSE
"CBX7",NA,118433,"CBX7","false",FALSE,FALSE,FALSE
"CBX8",NA,117268,"CBX8","false",FALSE,FALSE,FALSE
