"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"13764","false","2.61583333","0.01496512","NA","0.38228735","0.06322625","true","77","4","false","UPF3B","UPF3B","37.68831169","77","0","0","0.67683333","false","0","UPF3B","1855014","0.02888784"
"10713","false","3.32888889","3.308E-5","NA","0.30040053","0.0","false","3","4","false","RPS24","RPS24","151.33333333","3","0","0","0.53422222","false","0","RPS24","16874","0.36577453"
"10755","false","3.16777778","0.00115041","NA","0.31567871","0.0","false","5","4","false","TUBB","TUBB","160.2","5","0","0","0.56644444","false","0","TUBB","231046","0.21426649"
"83958",,,,,,,,,,,,"C2",,,,,,"false",,"C2",,
"10797","false","3.42361111","3.8727E-4","NA","0.29208925","0.16666667","false","4","4","false","AMFR","AMFR","126.5","4","0","0","0.51527778","false","0","AMFR","53602","0.2625"
"83961",,,,,,,,,,,,"ZNF142",,,,,,"false",,"ZNF142",,
"83963",,,,,,,,,,,,"TMEM45B",,,,,,"false",,"TMEM45B",,
"10823","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","OBFC2B","OBFC2B","311.0","1","0","0","0.47105556","false","0","OBFC2B","0","0.0"
"10757","false","3.78277778","0.0","NA","0.264356","0.0","false","1","5","false","ATP4A","ATP4A","79.0","1","0","0","0.44344444","false","0","ATP4A","0","0.0"
"83966",,,,,,,,,,,,"SCARB2",,,,,,"false",,"SCARB2",,
"10846","false","3.365","2.4454E-4","NA","0.29717682","0.0","false","3","4","false","RPL24","RPL24","216.0","3","0","0","0.527","false","0","RPL24","93766","0.35833333"
"10849","false","3.64472222","0.0","NA","0.27436933","0.0","false","1","5","false","BBS4","BBS4","311.0","1","0","0","0.47105556","false","0","BBS4","0","0.0"
"83970",,,,,,,,,,,,"DYNC1LI2",,,,,,"false",,"DYNC1LI2",,
"10932","false","3.78111111","1.804E-5","NA","0.26447252","0.0","false","2","5","false","SKP1","SKP1","58.0","2","0","0","0.44377778","false","0","SKP1","1550","0.50892857"
"83973",,,,,,,,,,,,"WDR12",,,,,,"false",,"WDR12",,
"10490","false","2.79","0.001727","NA","0.35842294","0.07843137","false","18","4","false","SUMO1","SUMO1","84.55555556","18","0","0","0.642","false","0","SUMO1","398196","0.0783767"
"11197","false","2.93","0.00125501","NA","0.34129693","0.06060606","false","12","4","false","NEDD8","NEDD8","88.91666667","12","0","0","0.614","false","0","NEDD8","288232","0.10463511"
"12950","false","3.50666667","2.4E-5","NA","0.2851711","0.0","false","2","4","false","FOS","FOS","113.0","2","0","0","0.49866667","false","0","FOS","5180","0.50909091"
