GeneSymbol,GeneSymbol.1,INT
RNPS1,UPF3A,PPI
CDC25A,EEF1A1,PPI
PFN2,EEF1A1,PPI
SNCA,RALGDS,PPI
SRRM1,UPF3A,PPI
ANXA7,EEF1A1,PPI
SUMO1,EEF1A1,PPI
DOCK4,RNF115,PPI
PDZD2,CTNND2,PPI
AQP1,CEP44,PPI
AQP1,CCDC85B,PPI
SMG1,UPF3A,PPI
HTT,UPF3A,PPI
RCN1,SRXN1,PPI
H2AFX,EEF1A1,PPI
PSEN2,KCNIP4,PPI
UBE2G2,POLR3F,PPI
APPBP2,SELENOI,PPI
RNF5,UBE2G2,PPI
EEF1A1,SRRM1,PPI
CPSF4,RRAGA,PPI
SPP1,EEF1A1,PPI
TUBA1B,RCN1,PPI
EEF1A1,HSPA8,PPI
CUL3,EEF1A1,PPI
EEF1A1,GPX7,PPI
UBE2G2,ARL14,PPI
STAU1,EEF1A1,PPI
CRK,EEF1A1,PPI
EEF1A1,AP2M1,PPI
RPL11,EEF1A1,PPI
RPL7A,EEF1A1,PPI
SUMO2,EEF1A1,PPI
RPL5,EEF1A1,PPI
SMARCA5,CEBPB,PPI
CEBPB,CASP8,PPI
ZP3,OR2L13,PPI
CEBPB,CDK8,PPI
RPL10A,EEF1A1,PPI
CEBPB,RARB,PPI
CEBPB,SUMO2,PPI
RPL15,EEF1A1,PPI
NOS2,RCN1,PPI
NOS2,HACD3,PPI
CEBPB,RUNX1,PPI
CEBPB,RELA,PPI
SUMO1,CEBPB,PPI
CEBPB,RORA,PPI
NCOR1,CEBPB,PPI
CEBPB,SP3,PPI
CEBPB,ATF3,PPI
NRF1,CEBPB,PPI
CEBPB,HDAC9,PPI
EEF1A1,GORASP2,PPI
EEF1A1,HNRNPUL1,PPI
RPL23A,EEF1A1,PPI
RPS14,EEF1A1,PPI
RPS3A,EEF1A1,PPI
RBMX,EEF1A1,PPI
NOP56,EEF1A1,PPI
DDX1,EEF1A1,PPI
EEF1A1,FUS,PPI
EEF1A1,RPL18A,PPI
EEF1A1,THRAP3,PPI
EIF4A1,EEF1A1,PPI
NBN,UBE2B,PPI
RPS26,PRUNE2,PPI
PHGDH,EEF1A1,PPI
HNRNPL,EEF1A1,PPI
SART1,EEF1A1,PPI
CEBPB,SMARCB1,PPI
EEF1A1,DCUN1D1,PPI
CEBPB,MAPK1,PPI
MYB,CEBPB,PPI
CEBPB,KAT2B,PPI
RPL12,EEF1A1,PPI
UBR5,UBE2B,PPI
HSPD1,SCARB2,PPI
FAM107A,LZTS2,PPI
FARP2,UBE2G2,PPI
NCOR2,CEBPB,PPI
BHLHB3,CEBPB,PPI
