"SrNo","V1","V2"
66277,"P16220","P17676"
66463,"A0A087WW39","P60604"
66501,"P08047","P17676"
66518,"A8K7B7","P68104"
66581,"P17676","P37231"
66583,"P17676","Q9H3D4"
66587,"P17676","P29466"
66588,"B1ALF6","P17676"
66916,"P68104","Q9BYG3"
66932,"P68104","Q6P1L8"
67260,"P13639","P68104"
67342,"P29972","Q9UGC6"
67956,"P13612","P15559"
68349,"A0A090N7U0","P68104"
68428,"Q15293","Q96GA3"
68480,"P68104","Q9BXB1"
68537,"Q9BXB1","Q9P035"
68597,"P27694","P68104"
69099,"P68104","Q9NS56"
69100,"Q9H1J1","Q9NS56"
69816,"A0A024R475","Q15293"
70502,"Q14108","Q15233"
70678,"Q14204","Q8WUY3"
70861,"P04818","P63146"
70982,"Q12967","Q14790"
71104,"A0A024R3Z2","P49716"
71134,"A0A024R274","P49716"
71140,"A0A024R8W0","Q8N1I0"
71216,"P49716","P61956"
71229,"A0A024R8W0","P68104"
71244,"P50225","Q15293"
71275,"Q15293","Q8NE63"
71356,"P13612","P68104"
71781,"P60604","Q8WU17"
71807,"P06748","Q8N1I0"
71814,"P62993","Q8N1I0"
71879,"P14866","Q8N1I0"
71909,"P31946","Q8N1I0"
72017,"Q13868","Q9H1J1"
72420,"O95990","P63151"
72539,"P0CG48","Q9H446"
72644,"P09668","P0CG48"
73246,"P29972","Q15323"
73247,"P15884","P29972"
73248,"O76081","P29972"
73249,"O43597","P29972"
73250,"P29972","Q9UKT9"
73251,"P29972","Q8N8K9"
73336,"A0A024R8N4","P63146"
73678,"P36551","P60604"
73771,"P26641","P68104"
73813,"A8KAH9","Q12967"
74200,"P30533","Q12967"
74237,"P63146","Q6ZT12"
74460,"P20671","P68104"
74746,"Q9NZZ3","Q9UBT2"
74829,"P0CG48","Q6ZU35"
74983,"O60729","Q9UM11"
75105,"P0CG48","P81877"
75207,"P68104","Q9BV73"
75212,"P0CG48","Q8NB37"
75269,"P0CG48","Q14108"
76091,"P35498","Q13424"
