"SrNo","V1","V2"
39671,"Q9C0C9","Q9H8V3"
39675,"O00463","Q9C0C9"
39676,"Q9C0C9","Q9Y4K3"
39679,"O43541","Q9C0C9"
39697,"Q14181","Q9C0C9"
39701,"Q8IY81","Q9C0C9"
39765,"O95886","Q9UPX8"
39803,"A0A024RAN7","Q9UKV0"
39857,"O15205","Q9UBB6"
39898,"P00533","Q9UBB6"
39902,"P04424","Q9UBB6"
39907,"Q02809","Q9UBB6"
39908,"B7Z7Q6","Q9UBB6"
39928,"Q08117","Q9UBB6"
39931,"Q9H0W5","Q9UBB6"
39940,"Q05586","Q8TCU5"
39941,"Q99698","Q9UBB6"
40162,"Q96PU8","Q9NVV9"
40310,"P08247","Q9C0H9"
40436,"Q14494","Q969H0"
40655,"O43251","P05423"
40685,"O43251","P09234"
40841,"O00220","O15519"
40884,"Q969H0","Q9Y3C7"
40938,"A4D105","O43251"
41233,"Q8N5N7","Q93050"
41497,"Q969H0","Q9BTT4"
41578,"Q96NC0","Q9NQ86"
42351,"Q9H0W5","Q9NRL2"
42677,"P13473","Q9NR30"
42800,"P21145","Q16849"
42985,"Q63ZY3","Q9H8S9"
42999,"P62258","Q9UKV0"
43017,"Q969H0","Q96HR3"
43168,"A0A024R3J1","Q9UKV0"
43525,"O43251","P35226"
43722,"Q6UXB0","Q92561"
44218,"Q15014","Q9UKV0"
44450,"Q96AH0","Q96PU8"
44765,"B2R6F3","Q93050"
44782,"O94915","Q9NSC5"
44862,"O43251","Q9NW64"
44947,"P22681","P28223"
45046,"Q71DI3","Q9UKV0"
45090,"P14635","Q9H2G4"
45554,"Q96MU7","Q9P0V9"
45802,"A0A024R5X1","O94818"
45812,"Q63ZY3","Q8IYA8"
46058,"P62269","Q93050"
46065,"Q969H0","Q9NWA0"
46075,"O43251","Q9BTD8"
46205,"P29466","P51811"
46286,"A0A024R8H5","O15519"
46548,"O15031","Q9GZT8"
46842,"Q16650","Q9H2G4"
47029,"P50222","Q14119"
47251,"A8MZ54","P08247"
47321,"O14682","P60709"
47466,"O43294","Q14289"
47814,"P61978","Q96PU8"
47817,"Q969H0","Q9Y6Q9"
47897,"O75182","Q9NV56"
47946,"Q6R327","Q969H0"
48358,"P24863","Q969H0"
49180,"Q96PU8","Q9BTT4"
49332,"A0A024R244","Q14289"
49336,"P63167","Q9UPX8"
49343,"A0A024R244","Q9UKV0"
49426,"Q15648","Q969H0"
49646,"Q14571","Q9H0W5"
49690,"O15031","Q9H0W5"
49869,"Q15648","Q96PU8"
50225,"O15357","P51811"
50374,"C4P096","O14578"
50721,"Q13363","Q9UKV0"
51007,"B4DV00","Q92561"
51243,"Q9NRL2","Q9UIG0"
51320,"O43759","Q969F0"
51383,"P07900","Q96NX5"
51451,"O75419","Q96NX5"
51934,"P41212","Q9UKV0"
51949,"A0A024RBM3","Q96PU8"
52470,"P01375","P13473"
52497,"O75182","Q9BXK1"
52682,"P13473","Q92542"
53002,"O75182","Q01538"
53146,"O95219","Q93050"
53260,"Q8TAD4","Q93050"
53513,"P08247","P19235"
53602,"Q71F56","Q969H0"
53921,"Q96PK6","Q9UKV0"
54313,"P62841","Q93050"
54494,"P13473","P68363"
55324,"P17676","Q9UKV0"
55336,"Q14289","Q8WUM4"
55527,"O43251","Q96FF1"
55778,"Q13526","Q969H0"
55787,"O15519","Q13191"
56110,"Q96SQ5","Q9NQ86"
56242,"O43251","P0C7T5"
56298,"O43251","P61978"
56325,"Q96AP0","Q9UBB6"
56442,"Q9NUX5","Q9UBB6"
56779,"O15519","Q13158"
56827,"P17600","P54132"
56972,"A0A024RBX9","Q9UBB6"
57105,"P13473","P53999"
57834,"O43251","Q7LCB3"
57847,"Q93050","Q9Y3E5"
57860,"A0A024RAW0","Q969H0"
57991,"P10242","Q969H0"
57992,"Q969H0","Q9P086"
57994,"P42345","Q969H0"
57996,"Q07820","Q969H0"
58240,"P46087","Q9UKV0"
58503,"O15519","O43353"
59456,"A0A024R475","Q9P0V9"
59979,"O14578","O14964"
60088,"O95182","Q96PU8"
60117,"O43251","Q13111"
60220,"O43567","P13473"
60939,"P50222","Q9H2X0"
60941,"P60331","Q9H2X0"
60949,"B7Z3D6","Q9H2G4"
61195,"Q9GZX9","Q9H2X0"
61206,"O15519","P42574"
62026,"Q96FF1","Q96PU8"
62159,"Q05586","Q9Y698"
62161,"O43251","Q9BZE0"
62403,"Q13191","Q14289"
62584,"O43251","P55795"
62646,"A0A024RA73","O15519"
62920,"Q04206","Q9NYL4"
62954,"P63167","Q63ZY3"
63009,"O60307","P62258"
63187,"A7E2C5","Q9P1A6"
63190,"Q14129","Q9P1A6"
63433,"Q8TER5","Q9BXB1"
63567,"O95067","Q9H2G4"
63708,"P41236","Q9UBB6"
63831,"A0A024R0H7","Q96PU8"
64323,"O43251","Q9Y5V3"
64557,"P17600","P17844"
64658,"O15031","Q9NRD1"
65092,"P48065","Q96RT1"
66278,"Q00653","Q969H0"
66450,"O15519","Q96J02"
66598,"Q15233","Q93050"
66896,"P13473","P37108"
67175,"Q8WVM8","Q93050"
67354,"Q9NSC5","Q9NYB9"
67380,"O75182","Q01664"
67481,"P62195","Q9NSC5"
67530,"O75182","Q16695"
67540,"Q96JC9","Q9NSC5"
67598,"Q96HA1","Q9NSC5"
67624,"Q06455","Q9NSC5"
67709,"Q92990","Q969H0"
67712,"P36543","Q93050"
67728,"P55795","Q96PU8"
67820,"P43146","Q14289"
67957,"O75182","Q9UBU8"
68026,"P49006","Q93050"
68373,"P36956","Q969H0"
68456,"P11387","Q9UKV0"
68571,"O43251","P27694"
68758,"P05412","Q9UKV0"
68861,"A0A024R473","Q93050"
68994,"P05067","Q8TER5"
69018,"Q969H0","Q9H204"
69111,"O14763","O15519"
69221,"O43251","P17844"
69470,"A0A024RBH7","Q9UKV0"
69473,"Q8N1F7","Q9UKV0"
69539,"O43251","Q08AM6"
70083,"A0JLT2","Q969H0"
70084,"O75448","Q969H0"
70085,"P07900","Q969H0"
70090,"Q13887","Q969H0"
70231,"P04637","Q9UKV0"
70331,"Q92585","Q9UKV0"
70573,"B2R4P9","Q9UKV0"
70767,"P17655","Q16849"
70981,"O15519","Q14790"
71026,"O15031","Q99622"
71268,"Q8NA61","Q8TER5"
71497,"B7Z647","Q9P1A6"
71783,"O75182","Q92769"
71941,"P04196","Q9H2X0"
71943,"A4D1B1","Q9H2X0"
71981,"A0A024RAL7","Q9UKV0"
71983,"P49639","Q9H2X0"
71989,"O43597","Q9H2X0"
71990,"P60369","Q9H2X0"
72095,"P13497","Q9H2X0"
72118,"O75182","P61201"
72545,"O43251","P0CG48"
73435,"P63027","Q93050"
73587,"Q05193","Q14289"
73721,"Q96PU8","Q9Y3C7"
73761,"A1A5C9","Q14289"
73799,"A0A024RBD2","Q14289"
74211,"P13224","Q14289"
74484,"Q15466","Q9H2X0"
74562,"O14578","P0CG48"
74852,"P0CG48","Q9UJ99"
75131,"O75052","Q59EX7"
75200,"B4DG68","O75052"
75255,"A0A024R240","P49802"
75362,"O95402","Q96CJ1"
75506,"A4D0W0","Q9P0V9"
75813,"O43251","Q15717"
75967,"Q16849","Q9UBY8"
76060,"O15519","Q15393"
76102,"P0CG48","P28347"
76107,"A0A024R9Q9","Q969H0"
76147,"O75052","P05067"
76178,"O95402","Q96PU8"
76346,"P62877","Q969H0"
76908,"O14682","P0CG48"
76940,"A0A024R4S0","O94818"
76985,"Q969H0","Q9NVC6"
77014,"O14578","P61587"
77190,"A0A024QZ59","Q9C0C9"
77205,"Q6NYC8","Q9NSC5"
77301,"A0A024RAP7","Q9H2X0"
77437,"Q13127","Q969H0"
77473,"A0A024QZ59","Q14289"
77543,"O60359","P05067"
77698,"Q5VWQ8","Q969H0"
77738,"O15519","O60496"
77829,"P11388","Q969H0"
78187,"P06241","Q05586"
78368,"P06241","Q14289"
78934,"O43251","Q8NDC0"
79057,"P62324","Q969H0"
79535,"Q643R0","Q9UKV0"
79593,"O15371","Q9NSC5"
