GeneSymbol,GeneSymbol.1,INT
CFLAR,ITCH,PPI
NONO,ATP6V0A1,PPI
LAMP2,SRP14,PPI
SCFD1,ATP6V0A1,PPI
HOMER3,ABI2,PPI
SIN3B,TFAP4,PPI
PSMC5,HOMER3,PPI
SIN3B,HIST3H3,PPI
EAF1,HOMER3,PPI
POM121,HOMER3,PPI
RUNX1T1,HOMER3,PPI
GLMN,FBXW7,PPI
ATP6V1E1,ATP6V0A1,PPI
HNRNPH2,QKI,PPI
DCC,PTK2B,PPI
SIN3B,MORF4L1,PPI
MARCKSL1,ATP6V0A1,PPI
SREBF1,FBXW7,PPI
TOP1,HDAC9,PPI
RBFOX2,RPA1,PPI
JUN,HDAC9,PPI
MRPL44,ATP6V0A1,PPI
APP,ARHGEF40,PPI
FBXW7,MED28,PPI
TNFRSF10B,CFLAR,PPI
RBFOX2,DDX5,PPI
TMPO,HDAC9,PPI
NUP93,HDAC9,PPI
RBFOX2,VAC14,PPI
MED19,FBXW7,PPI
MED24,FBXW7,PPI
HSP90AA1,FBXW7,PPI
KLF5,FBXW7,PPI
TP53,HDAC9,PPI
MAML1,HDAC9,PPI
H3F3A,HDAC9,PPI
CAPN2,PTPRN,PPI
CFLAR,CASP8,PPI
PLXNB2,C12orf57,PPI
SPERT,ARHGEF40,PPI
DLG4,DLGAP2,PPI
SIN3B,HDAC2,PPI
HRG,CHRD,PPI
CD36,CHRD,PPI
MEF2C,HDAC9,PPI
HOXA1,CHRD,PPI
SPRY2,CHRD,PPI
KRTAP10-3,CHRD,PPI
BMP1,CHRD,PPI
SIN3B,COPS2,PPI
RBFOX2,UBC,PPI
VAMP2,ATP6V0A1,PPI
DNM1,PTK2B,PPI
QKI,MED31,PPI
PITPNM3,PTK2B,PPI
SOCS2,PTK2B,PPI
GP1BB,PTK2B,PPI
NR0B2,CHRD,PPI
CIT,UBC,PPI
UBC,CDH22,PPI
NOS1AP,SYN3,PPI
NOS1,NOS1AP,PPI
GNAQ,RGS7,PPI
MED26,EAF2,PPI
LSM8,SEPT10,PPI
RBFOX2,ELAVL1,PPI
PTPRN,CLN8,PPI
CFLAR,SF3B3,PPI
UBC,TEAD1,PPI
PPARGC1A,FBXW7,PPI
NOS1AP,APP,PPI
MED26,QKI,PPI
RBX1,FBXW7,PPI
ENC1,UBC,PPI
CHMP2A,NOL4,PPI
FBXW7,MED17,PPI
CIT,RND3,PPI
TRAF4,UBE2O,PPI
PPP1R18,HOMER3,PPI
F2R,CHRD,PPI
REST,FBXW7,PPI
TRAF4,PTK2B,PPI
CACNG3,APP,PPI
DAB2IP,FBXW7,PPI
CFLAR,DOK2,PPI
TOP2A,FBXW7,PPI
FYN,GRIN1,PPI
FYN,PTK2B,PPI
RBFOX2,MAPK1IP1L,PPI
BTG1,FBXW7,PPI
HCTP4,HDAC9,PPI
EIF3D,HOMER3,PPI
PTK2B,CD2AP,PPI
UBC,QKI,PPI
RBFOX2,DEDD2,PPI
EWSR1,PTK2B,PPI
MYC,FBXW7,PPI
CYP2E1,GATM,PPI
QKI,DEPP,PPI
MKL1,SUPT16H,PPI
TRAF4,ISYNA1,PPI
CIT,RHOB,PPI
PCBP2,QKI,PPI
RBM14,QKI,PPI
QKI,USH1C,PPI
PCBP1,QKI,PPI
RBFOX2,QKI,PPI
FUBP3,QKI,PPI
MED24,QKI,PPI
RAD21,UBE2O,PPI
BCL6,HDAC9,PPI
UBC,ATP6V0A1,PPI
CCT5,RGS7,PPI
QKI,PTBP2,PPI
HSP90AA1,RGS7,PPI
LAMP2,PDS5B,PPI
GNB5,RGS7,PPI
GNAI3,RGS7,PPI
HIF1A,FBXW7,PPI
SYP,UBC,PPI
CCNE1,FBXW7,PPI
FBXW7,USP28,PPI
UBC,BAZ1A,PPI
NOS1AP,RASD1,PPI
CIT,USP28,PPI
SIN3B,HDAC9,PPI
SIN3B,SAP30,PPI
SIN3B,IKZF3,PPI
SIN3B,IKZF2,PPI
GRIN3B,GRIN1,PPI
SMARCE1,SIN3B,PPI
SIN3B,MXI1,PPI
SIN3B,CIITA,PPI
SIN3B,TP53,PPI
YWHAZ,HDAC9,PPI
APP,HOMER3,PPI
SRPK2,HOMER3,PPI
PSMA1,HOMER3,PPI
USP2,HOMER3,PPI
HOMER3,TRPC4,PPI
CFLAR,TRAF1,PPI
SIN3B,UBC,PPI
TTF1,PTRF,PPI
PTRF,TRIM72,PPI
FLOT2,PTRF,PPI
PTRF,FAM162A,PPI
NOP56,PTRF,PPI
PTRF,GTF3C4,PPI
TMED10,PTRF,PPI
HNRNPH1,PTRF,PPI
LIPE,PTRF,PPI
MYC,PTRF,PPI
BAG3,PTRF,PPI
EGFR,PTRF,PPI
NKX2-1,PTRF,PPI
CARM1,QKI,PPI
UBC,PTRF,PPI
SYN1,SRRT,PPI
ERG,SYN1,PPI
SUV39H1,HDAC9,PPI
SYN1,KAT5,PPI
SYN1,GRB2,PPI
CRK,SYN1,PPI
SYN1,SH3GL2,PPI
SYN1,AMPH,PPI
CFLAR,DEDD2,PPI
UBC,ARHGEF40,PPI
PLXNB2,UBC,PPI
ITSN2,SYN1,PPI
POLE3,BAZ1A,PPI
EIF3A,FBXW7,PPI
PRKN,FBXW7,PPI
MAGEA11,NOL4,PPI
NOL4,FAM9B,PPI
UBC,UBE2O,PPI
TRAF4,NOS1AP,PPI
CASK,TSPYL2,PPI
UBE2O,APPL1,PPI
CDK2,TSPYL2,PPI
NOS1AP,LRP1,PPI
NOS1AP,SYN2,PPI
QKI,MED17,PPI
TNS1,OSGEP,PPI
PTK2B,DLG3,PPI
BAP1,UBE2O,PPI
TRIM27,UBE2O,PPI
