"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"DKFZp686J11229",NA,169106,"DKFZp686J11229","false",FALSE,FALSE,FALSE
"DLC1",NA,169215,"DLC1","false",FALSE,FALSE,FALSE
"DLG2",NA,170002,"DLG2","false",FALSE,FALSE,FALSE
"DLG4",NA,167959,"DLG4","false",FALSE,FALSE,FALSE
"DLGAP2",NA,168258,"DLGAP2","false",TRUE,FALSE,FALSE
"DLGAP3",NA,168459,"DLGAP3","false",FALSE,FALSE,FALSE
"DLGAP4",NA,168254,"DLGAP4","false",FALSE,FALSE,FALSE
"DMRTB1",NA,170029,"DMRTB1","false",FALSE,FALSE,FALSE
"DNM2",NA,167835,"DNM2","false",FALSE,FALSE,FALSE
"DNPEP",NA,170171,"DNPEP","false",FALSE,FALSE,FALSE
"DOK2",NA,168876,"DOK2","false",FALSE,FALSE,FALSE
"DRD1",NA,169871,"DRD1","false",FALSE,FALSE,FALSE
"DUSP14",NA,169192,"DUSP14","false",FALSE,FALSE,FALSE
"DUSP4",NA,169861,"DUSP4","false",FALSE,FALSE,FALSE
"DYNLL1",NA,168577,"DYNLL1","false",FALSE,FALSE,FALSE
"DYNLL2",NA,168102,"DYNLL2","false",FALSE,FALSE,FALSE
"DYRK1A",NA,169627,"DYRK1A","false",FALSE,FALSE,FALSE
"EAF1",NA,168743,"EAF1","false",FALSE,FALSE,FALSE
"EAF2",NA,168841,"EAF2","false",TRUE,FALSE,FALSE
"EBNA1BP2",NA,167845,"EBNA1BP2","false",FALSE,FALSE,FALSE
"ECT2",NA,168447,"ECT2","false",FALSE,FALSE,FALSE
"EDEM2",NA,167849,"EDEM2","false",TRUE,FALSE,FALSE
"EEF1A1",NA,169629,"EEF1A1","false",FALSE,FALSE,TRUE
"EEF1AKMT3",NA,168157,"EEF1AKMT3","false",FALSE,FALSE,FALSE
"EFHC2",NA,170412,"EFHC2","false",FALSE,FALSE,FALSE
"EFS",NA,169366,"EFS","false",FALSE,FALSE,FALSE
"EGF",NA,169901,"EGF","false",FALSE,FALSE,FALSE
"EGFR",NA,168464,"EGFR","false",FALSE,FALSE,FALSE
"EIF3A",NA,169026,"EIF3A","false",FALSE,FALSE,FALSE
"EIF3D",NA,168889,"EIF3D","false",FALSE,FALSE,FALSE
"EIF3E",NA,168003,"EIF3E","false",FALSE,FALSE,TRUE
"EIF3F",NA,169510,"EIF3F","false",FALSE,FALSE,FALSE
"EIF4A2",NA,168169,"EIF4A2","false",FALSE,FALSE,FALSE
"EIF4E",NA,168091,"EIF4E","false",FALSE,FALSE,FALSE
"EIF6",NA,168060,"EIF6","false",FALSE,FALSE,FALSE
"ELAVL1",NA,168845,"ELAVL1","false",FALSE,FALSE,FALSE
"ELL",NA,169492,"ELL","false",FALSE,FALSE,FALSE
"ELL2",NA,169055,"ELL2","false",FALSE,FALSE,FALSE
"ENAH",NA,169768,"ENAH","false",FALSE,FALSE,FALSE
"ENO1",NA,170280,"ENO1","false",FALSE,FALSE,FALSE
"EPB41L3",NA,170169,"EPB41L3","false",FALSE,FALSE,FALSE
"EPHB2",NA,169844,"EPHB2","false",FALSE,FALSE,FALSE
"EPHB4",NA,169850,"EPHB4","false",FALSE,FALSE,FALSE
"EPOR",NA,168617,"EPOR","false",FALSE,FALSE,FALSE
"EPRS",NA,168438,"EPRS","false",FALSE,FALSE,FALSE
"EPS8",NA,169255,"EPS8","false",FALSE,FALSE,TRUE
"ERBB2",NA,169327,"ERBB2","false",FALSE,FALSE,FALSE
"ERBIN",NA,168723,"ERBIN","false",FALSE,FALSE,FALSE
"ESPN",NA,169290,"ESPN","false",FALSE,FALSE,FALSE
"ESR1",NA,169794,"ESR1","false",FALSE,FALSE,FALSE
"ESR2",NA,168653,"ESR2","false",FALSE,FALSE,FALSE
"ETHE1",NA,169948,"ETHE1","false",FALSE,FALSE,FALSE
"ETV6",NA,168601,"ETV6","false",FALSE,FALSE,FALSE
"EWSR1",NA,168896,"EWSR1","false",FALSE,TRUE,FALSE
"EXOC8",NA,168007,"EXOC8","false",FALSE,FALSE,FALSE
"F2R",NA,168867,"F2R","false",FALSE,FALSE,FALSE
"FADD",NA,168645,"FADD","false",FALSE,FALSE,FALSE
"FAM131A",NA,168516,"FAM131A","false",FALSE,FALSE,FALSE
