Genes,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
GAS2,10.13628779,6.257707061,7.200188576,10.33679388,9.825789269,7.796551574,8.673224416,8.481714057
PMP2,57.24673065,86.54200635,69.72647265,51.37725676,66.41824202,65.14589057,180.3729039,224.4847103
METTL7A,19.62130749,56.78695317,28.7247633,24.19115828,25.95090598,27.28315903,42.13174034,43.03016485
HBS1L,7.655397409,6.257707061,6.257707061,5.54988063,6.169997132,5.254553948,5.471182257,4.357627256
CDC27,14.62458737,15.48353806,17.6722906,15.8229173,18.53203999,17.15865345,12.78026709,15.81127803
C12orf5,3.822226199,2.302009476,3.465838858,2.632812074,2.946792759,2.146141082,2.353044755,2.367241083
TMEM176B,1.800930399,1.850508244,1.595814168,2.382747723,2.193893386,2.028835,2.162944936,1.675599543
APOLD1,11.65513318,45.93252392,21.67106708,12.03614616,10.55385009,15.93619646,40.45686203,68.57561939
SRD5A3,3.652814407,6.123742039,5.74188066,5.122483692,6.232723109,3.912259256,4.221073938,4.301946015
MGST1,3.999219629,6.257707061,3.738025802,4.981449118,3.908131465,3.999219629,6.189599259,6.925500016
AHSA2,7.981171759,12.45379494,8.06669694,8.475125148,7.981171759,7.521195064,8.023212154,10.37395086
TMEM42,10.82884629,13.1091133,13.53645508,13.1091133,11.82923577,11.01836965,11.23515128,12.32034949
NTM,28.91361378,16.85156884,23.95159433,10.25982991,20.67421362,20.2458335,24.66621184,37.57561944
ACTG1P4,10.30163013,7.756787871,7.756787871,13.2133025,8.236854179,8.715073162,8.600576717,9.509828037
ZNF565,2.438640923,1.600550142,1.961459793,1.716561219,1.70121647,1.990194101,2.353044755,1.722699118
FAM221A,7.612092859,7.602766609,8.706390135,6.369283597,8.050852598,6.392668283,6.549695289,7.612092859
KIAA1377,5.690719508,4.525033542,4.110670329,5.489281433,5.489281433,3.592990128,3.03117047,3.115303138
KCNJ3,3.456565637,4.37626448,4.151388163,3.000871008,3.629180386,2.563244076,3.091657425,4.199550234
RAP1GDS1,68.87069854,90.75794582,78.9038974,91.73488354,92.82911808,75.76223175,61.72116076,72.4847103
DHX33,5.198197604,4.578243843,5.472712555,3.419893171,4.760734129,3.645121391,3.735103483,4.467147781
RBAK,7.52406622,5.337527573,8.279825245,6.157411479,5.061813758,4.287785258,5.230587039,5.337527573
STAG3L4,2.225733344,1.58253136,1.973375053,1.973375053,1.37216198,1.590453586,1.37216198,1.909912547
MRPL32,4.836766533,4.836766533,4.836766533,4.31014089,4.836766533,3.8969977,3.715648382,4.405085529
SYAP1,11.69700887,13.37854444,11.66791942,16.80463522,13.37854444,10.26208961,10.46467815,13.93999476
GABRG2,42.0951589,40.59708044,47.38416411,46.53103565,56.57477168,39.83713235,25.66723221,49.40528109
YAP1,2.056444471,4.298970975,2.414635028,2.270313137,2.723405002,1.917815288,2.011440698,4.977493465
MOB1A,1.487075225,1.243345329,1.523177708,1.61089878,1.523177708,1.411741697,1.523177708,1.590453586
CORO2A,4.865245231,4.080390422,4.080390422,2.778961694,3.851641722,3.677913792,3.226862829,3.125951615
PARVB,12.54420675,9.608975487,8.929678586,12.41125859,13.11567828,9.133255459,8.783526886,9.133255459
PSMA4,2.9039875,2.783966817,2.524641578,2.783966817,3.026037299,1.781271112,2.337031238,2.491975185
HAMP,6.73799791,8.008163936,6.73799791,9.814208038,6.667156125,4.275346578,15.45327841,12.54415622
FTH1P5,468.0846339,841.4324201,762.4846574,740.976577,580.2177372,556.985296,686.2005896,582.6024662
CHMP3,3.898253476,4.614510634,4.402509023,5.015310621,4.960957434,4.243534838,3.906041966,4.946995957
C11orf87,1.693799728,1.534701508,1.998060277,1.679978375,2.186172287,1.325478339,1.431621433,1.060671202
SUCLA2,32.71754295,41.03016485,41.03016485,41.9820134,43.68901857,27.32334273,28.08925943,41.03016485
TUBB2B,119.3074199,178.2927297,155.4976181,176.9392558,231.211983,148.2488704,149.3028921,227.2304095
SMIM15,1.957726866,1.475746161,1.847754505,1.716365893,1.993572967,1.809141004,1.584776201,1.957726866
RNF24,2.850963751,2.911203546,3.361074059,2.449460771,3.455684124,2.280927572,1.94016384,3.329405042
CIRBP,80.45991324,92.01408103,62.63286283,87.60267789,54.87739614,67.34680599,76.47546819,61.42921696
RBM15,1.70121647,1.487392311,1.245985007,1.696554272,1.265256977,1.41815949,1.364335278,1.236023324
CTD-2292M16.8,9.687709909,9.56048026,8.463165642,19.14416139,18.24840718,8.156628299,4.548304368,10.64033598
PRKAR1A,109.4847103,128.0700618,133.9030013,100.004396,125.9392558,98.02732809,85.67539944,111.4513466
RPS17,35.55291223,65.98527902,68.23407056,55.17800273,57.36491145,53.17966053,85.6401257,60.13631131
TOPBP1,8.247566041,11.73922779,7.186652853,11.31705419,11.31705419,5.77323934,6.157678811,11.31705419
DRG1,13.39310715,12.69968817,12.16409406,14.16750248,15.06875996,11.62996517,9.29992934,10.37052551
YES1,2.509325697,2.999069472,3.195173683,2.716662563,2.716662563,2.40723167,3.702593446,3.999219629
GCA,12.43002963,9.447536773,6.783475853,15.8229173,9.804381285,6.257707061,6.561243952,13.45651294
ANKRD50,19.10718152,14.81456791,17.58541001,19.10718152,20.31285805,13.97289606,9.010369333,15.50369885
SOCS3,4.48426393,2.546601573,2.307218585,2.776293819,2.287745982,2.323837252,5.903683197,11.0486373
