,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_symbol
5084,-0.276938599194445,3.29863413066667,-1.59043793662294,0.125292755371179,0.832443241069437,-4.5601504991863,AK308605
5085,-0.278335053583332,10.1117152729524,-1.70156845085733,0.102222801223157,0.832443241069437,-4.41192769906775,NEFM
5086,-0.200296697638888,8.12574790742857,-1.59912378953435,0.123345429141691,0.832443241069437,-4.5488426859212,NEFL
5087,0.0867855014444444,0.64394091,0.402318961947812,0.69113780299114,0.832443241069437,-5.58091277923106,DOCK5
5090,-0.170832745444445,2.05742737742857,-0.816592102098421,0.422480599390997,0.832443241069437,-5.35371003379786,KCTD9
5091,0.0867855015555556,-1.82076303271429,0.402318962422058,0.691137802647011,0.832443241069437,-5.58091277905728,SNORA38B
5093,0.175399699777778,-2.90361876057143,0.456799489886113,0.652069987124617,0.832443241069437,-5.5596222992523,EBF2
5094,-0.200991871583333,1.60527649628571,-1.3191072180052,0.200025267058683,0.832443241069437,-4.8882958627479,PCNXL2
5097,0.0784590440000001,3.84968919309524,0.67851127203169,0.504170396068479,0.832443241069437,-5.44593911529315,PNMA2
5098,0.0643317649722209,5.67811011533333,0.59458409906742,0.557885151564363,0.832443241069437,-5.49402891640459,DPYSL2
5100,0.284156724111111,-1.97770057852381,0.807885538949433,0.427375521290783,0.832443241069437,-5.36000000341747,AK311558
5102,0.150904141694444,3.03712865866667,0.776532469141058,0.445292168130891,0.832443241069437,-5.38212543523853,BPTF
5103,-0.449168419916667,0.37100379347619,-1.0914717216531,0.286288541817516,0.832443241069437,-5.12337646752483,TRIM35
5104,0.373465825555555,-0.664409350380952,1.09351677933418,0.285408848139758,0.832443241069437,-5.12143815704287,PTK2B
5107,0.58701146625,-0.960184821095238,1.57884653688337,0.127931195809982,0.832443241069437,-4.57516630196581,EPHX2
5112,0.0867855015277776,-3.09301416761905,0.40231896224876,0.691137802772762,0.832443241069437,-5.58091277912078,PBK
5113,0.114589748777778,0.0761119816666667,0.411329648976624,0.68461170462021,0.832443241069437,-5.57757469428309,SMYD4
5115,0.402398279472222,-2.77534544990476,1.1668191499455,0.255155629959746,0.832443241069437,-5.04984740795641,SCARA5
5116,0.0867855013333337,-3.00697703795238,0.402318961459519,0.691137803345462,0.832443241069437,-5.58091277940998,C8orf80
5119,-0.312190217361111,-0.712046900809524,-0.941546964852416,0.356141126007678,0.832443241069437,-5.25654510270371,KCNK1
5120,0.335427786666666,-1.61748219438095,0.542534342003806,0.592632504558366,0.832443241069437,-5.520773270408,ZNF395
5121,0.0867855015277776,-2.58171189928571,0.402318962285651,0.691137802745993,0.832443241069437,-5.58091277910727,FBXO16
5122,-0.147847557777778,1.27629590104762,-0.836727110313877,0.411295328040657,0.832443241069437,-5.33892197026044,FZD3
5123,0.318359382666667,-0.864758544428571,0.935733145758011,0.359064214356476,0.832443241069437,-5.26134870196439,BC043205
5124,-0.238200843805555,-0.256944542,-1.07679093975615,0.292660880817354,0.832443241069437,-5.13719602461828,EXTL3
5126,-0.178525938638889,-0.429625264190476,-0.764017668333278,0.452569448144052,0.832443241069437,-5.39072643107634,INTS9
5127,-0.0860834846666669,3.742086432,-0.741854995263166,0.465631195713387,0.832443241069437,-5.40563376678497,HMBOX1
5129,0.0867855014444448,-2.73603283533333,0.402318961871473,0.691137803046534,0.832443241069437,-5.58091277925903,AF086219
5130,0.1445477665,-3.56753930228571,0.706322911389708,0.487031650703501,0.832443241069437,-5.42866432707435,DUSP4
5131,0.0867855014444444,0.64394091,0.402318961947812,0.69113780299114,0.832443241069437,-5.58091277923106,PRAMEF6
