"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"ATP10D","ATP10D",0.0662717320660125,"ATP10D",4.30421770853109e-06,FALSE
"NCR3","NCR3",0.000235699629668993,"NCR3",0.666609571336142,FALSE
"GLE1","GLE1",0.313450227215006,"GLE1",0.0168004566931265,FALSE
"PRPF38B","PRPF38B",0.865977681153871,"PRPF38B",0.0181178263158154,FALSE
"PTGS1","PTGS1",0.473347807559662,"PTGS1",0.00113106462875279,FALSE
"RHBDF2","RHBDF2",0.319228809068597,"RHBDF2",0.00288165877172641,FALSE
"MAPK13","MAPK13",0.050513102726268,"MAPK13",0.598802174429867,FALSE
"TMEM63A","TMEM63A",0.591167950466873,"TMEM63A",0.386439910147263,FALSE
"HDAC6","HDAC6",0.442178617746556,"HDAC6",0.455184687130399,FALSE
"MTMR3","MTMR3",0.01097764080816,"MTMR3",0.445746970677265,FALSE
"WASF1","WASF1",0.00017975798027642,"WASF1",0.000807795811198523,FALSE
"ZMAT3","ZMAT3",0.183387634633805,"ZMAT3",0.0229044600213822,FALSE
"POP1","POP1",0.200574835403285,"POP1",0.0335460713783703,FALSE
"PTPRO","PTPRO",0.027071432287798,"PTPRO",0.00089257225795207,FALSE
"COCH","COCH",0.146690278139418,"COCH",0.0548030163909858,FALSE
"SLC15A2","SLC15A2",0.302584598575591,"SLC15A2",4.49482626177436e-05,FALSE
"SPTAN1","SPTAN1",0.0333845698685275,"SPTAN1",0.228570594749491,FALSE
"FCER2","FCER2",1.54034914052157e-06,"FCER2",0.0119232072951092,FALSE
"LHFPL2","LHFPL2",0.488627041022754,"LHFPL2",0.000350736006648019,FALSE
"LRPPRC","LRPPRC",0.0783459370145397,"LRPPRC",0.133418162588266,FALSE
"FIG4","FIG4",0.238761209768204,"FIG4",0.00780552855851576,FALSE
"LMO2","LMO2",0.0376303211081744,"LMO2",2.03693123267459e-10,FALSE
"GTF2E1","GTF2E1",0.389315927307701,"GTF2E1",0.141901823862435,FALSE
"PLEKHF2","PLEKHF2",0.919746103296693,"PLEKHF2",0.0526619509566429,FALSE
"MTRF1","MTRF1",0.939770021873564,"MTRF1",0.0364125686832351,FALSE
"PENK","PENK",0.133017720773615,"PENK",0.966793498687857,FALSE
"SYNPO","SYNPO",0.000618168078509373,"SYNPO",0.970019189797879,FALSE
"IL21R","IL21R",0.000148586163350398,"IL21R",1.91129745144157e-07,FALSE
"TSPYL5","TSPYL5",0.775179476708711,"TSPYL5",0.110341949720133,FALSE
