Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
UBE2D2,-0.186567859,8.531692117,-1.21179516,0.23703641,0.480085471,-5.333640897,-1.138053089,296.9797751,481.0813264,209.4314166,490.2614301,309.4807263,451.5210838,385.1232378,617.7499813,274.1884105,366.9416595,363.0719267,250.3688099,339.1861573,338.3890349,362.0319202,463.7171303,536.7656949,408.5101817,422.7785112,257.47546,351.763304,549.7017906,376.5137536,273.9965783,24
CCNE2,0.107249097,3.966500115,1.211553339,0.237127364,0.480226027,-5.333911534,1.077172345,14.30191607,14.1362189,14.24308361,13.74788405,16.80972307,15.1612735,14.86630927,15.99667115,17.18797206,16.01243659,15.03721439,13.66303812,17.22164735,14.60197978,20.77909063,13.76146186,13.07199552,13.26521901,23.08987489,15.91316058,16.83793831,14.82607762,16.54047112,17.68008024,8
URGCP,-0.165205241,8.738055682,-1.211021932,0.237327331,0.480456285,-5.334506098,-1.121325589,469.3014803,477.5321188,368.3752061,517.0377459,497.4901014,429.4737963,483.740746,461.2855865,314.5174016,439.9592754,319.1246699,324.3505818,345.763842,267.0875017,412.2790916,469.359538,743.2983729,487.3518864,403.1499928,403.563378,356.9681807,608.1148086,425.2482361,476.0249928,23
DNM3,-0.450323775,8.994283539,-1.21074843,0.237430298,0.48057739,-5.334812015,-1.366346863,1010.348202,679.6001465,272.0157038,684.4553938,570.9191705,1014.348028,601.9191409,542.5271203,211.0778786,588.5350914,106.7942413,257.930648,681.5045934,216.3667333,670.1875858,412.7020652,631.1627972,962.4537329,844.5727912,383.3831991,185.858509,686.9557018,1199.409494,942.2499053,24
ANKRD17,-0.263572371,8.351044761,-1.209662368,0.237839506,0.481003679,-5.336026196,-1.200447551,440.645724,427.9935972,179.9443058,502.864361,250.1083322,429.7579014,413.9365343,450.9016639,173.5903391,329.1245545,214.835285,177.9941541,233.6386349,217.7334846,343.6016094,314.5824192,433.9833261,488.3089024,386.212076,294.4322453,213.5289205,438.6083261,457.7339463,507.8009429,24
CCDC69,0.251549525,6.311488384,1.209616429,0.237856827,0.481003679,-5.336077533,1.190485067,60.25121592,78.38825261,133.828119,72.48119002,74.46175382,47.1063072,85.04491361,45.71590627,141.4062599,77.4904473,144.6136778,125.0650432,118.376363,122.3455694,57.63413013,82.85948935,93.95763419,53.60886623,61.19317487,75.626582,87.26375696,69.19461035,63.95237891,51.49580261,23
FKBP5,0.411242312,6.662313269,1.209240467,0.237998613,0.48109287,-5.336497608,1.329830445,82.94030634,86.04764925,96.43411247,109.1205286,100.5664675,88.29271226,110.7882835,32.7860134,96.64188909,58.43643198,383.0982641,320.9076274,177.1442568,202.7709655,73.01763095,150.4977069,73.01151854,93.18528158,146.237247,114.6161267,105.3433591,34.87482418,52.814368,92.55532877,6
GNB3,0.130663362,6.979191662,1.209323805,0.237967179,0.48109287,-5.336404502,1.094796982,101.0442506,117.4344216,136.8872817,122.9951889,136.9720819,124.3181782,108.0341359,107.7713173,204.6887622,112.5108649,119.9772016,143.4125827,154.4938039,166.3592554,115.5448247,112.8812307,109.2651825,114.2522826,103.7298858,148.8331947,118.2248701,115.2498156,119.8501931,159.8353373,5
RABAC1,-0.232131108,9.731812991,-1.209208244,0.238010768,0.48109287,-5.336533607,-1.174568708,754.0249928,1120.807559,525.8583261,1231.451076,670.2134367,1034.739234,1164.700321,1458.024993,465.5950738,1057.733326,724.5790386,592.6708261,711.8617511,603.8789811,918.3454065,1112.420998,1539.774993,748.0249928,704.9129461,683.2070667,711.8611031,1263.956539,823.2237186,829.4416595,24
CLNS1A,0.142453899,9.417576104,1.209049846,0.238070526,0.481130102,-5.336710552,1.103780955,778.2477044,616.8184267,684.2687357,729.5947386,709.9380633,341.0898375,717.9833261,678.0897673,799.6083261,781.770966,684.7184097,551.9928188,646.3203215,595.5626149,774.2884436,895.7749928,703.0980809,732.8166595,658.381643,657.4641661,818.5909235,855.9861421,678.3894607,579.4581248,24
