Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
ANKRD40,0.23391482,7.7679976,1.563626891,0.167037652,0.640905992,-4.383336929,1.177355598,334.7289044,346.5128223,288.5286107,416.3269463,357.4298755,451.4464541,366.4316658,267.6152969,357.5313253,366.8810796,10
RAD17,0.184462817,7.428929702,1.473690736,0.167077195,0.644732195,-4.496206622,1.136393762,167.9924218,160.9924218,155.4537079,196.0046231,188.885538,217.8117662,166.2046566,164.2617584,172.1216175,168.9522883,10
BIVM,0.215363846,7.244701204,1.476946699,0.167167769,0.643794447,-4.492008665,1.162069874,131.392389,146.7000624,132.9985826,142.4582143,181.0836081,203.1098145,161.1625813,125.2964513,171.5455406,143.2104378,10
FRRS1L,-0.133937018,3.014646962,-1.473213354,0.167203692,0.644732195,-4.496668751,-1.097284034,9.444910557,8.61042728,7.887601468,8.016697342,7.712860687,7.405983491,7.353320574,7.705471063,9.091950953,7.853994924,3
MAD2L1BP,0.179633546,7.380940413,1.473049293,0.167247184,0.644732195,-4.496827549,1.132596162,137.992987,171.3374644,150.7947947,157.3029882,163.0270207,200.1320892,156.9575956,178.5763661,152.5689343,211.525718,10
LOC102723661,-0.123090781,5.261400396,-1.472984272,0.167264423,0.644732195,-4.496890482,-1.089065542,39.97026206,38.46055463,43.91156475,37.81213762,38.00983949,34.66892656,34.59730753,39.81778173,36.84568155,40.37274827,3
SLC30A6,0.193927899,7.790283429,1.472920286,0.16728139,0.644732195,-4.496952411,1.143873804,207.2954478,188.1986007,209.6653989,242.9081191,266.1309015,278.6843741,224.2442424,208.413692,234.255312,175.1338104,10
RRM1,0.275696446,8.049685573,1.472874481,0.167378361,0.645078242,-4.496903621,1.211762709,260.2761321,274.1879386,251.2671707,302.0471055,314.2777759,451.8146182,342.7168406,284.092583,240.9262881,278.3313934,10
ADRBK2,0.653301411,4.996604086,1.472085127,0.167502975,0.64497113,-4.497760575,1.572763135,32.14670839,17.72283385,22.06584017,127.9924218,25.88482767,46.06778264,27.89700011,28.4969434,29.15311844,24.72972422,9
ASAP3,0.308587573,6.730131073,1.762015542,0.16754599,0.640190919,-4.136620442,1.242175447,145.938557,122.5327951,147.185802,193.2179137,129.6706622,196.2230284,149.1160544,143.8188844,126.1261772,218.5824907,10
