Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
CHCHD10,-0.971237195,5.059393601,-1.879297062,0.0917337,0.503084632,-4.444840514,-1.960521135,26.83487273,115.7153044,36.49475311,37.58168842,54.38254971,22.81191975,12.16207431,37.0045735,21.43293214,6
ID1,-0.953796856,1.361462341,-1.878984136,0.091780019,0.503084632,-4.44527319,-1.936963619,2.511330596,2.419127533,4.427465723,1.766687648,2.123703394,10.69836593,1.633848664,1.804958078,1.533208201,4
SRSF10,-0.693758908,2.041460796,-1.878970339,0.091782062,0.503084632,-4.445292266,-1.617492372,5.614879589,8.260681658,4.28868197,7.581087775,7.022086123,4.314146352,3.517864873,4.061905479,4.16824661,5
PDE7A,0.085380442,2.475748859,0.418655113,0.099790881,0.503361164,-4.32126928,0.090908528,11.32082925,4.734429422,6.275359641,4.810637537,5.603228911,6.62839968,6.302984025,4.696801031,6.713322488,6.5
CDC123,-1.327150357,4.533046327,-1.876892378,0.092090203,0.503377518,-4.448164663,-2.50906589,21.30520344,57.37313292,43.15622026,99.8303905,11.65220629,15.79839775,9.834293982,27.80708762,7.208184996,7
FBXO46,-0.348282233,1.205426828,-1.877370793,0.092019173,0.503377518,-4.447503457,-1.273043955,2.265019953,2.265019953,2.930430069,2.478108278,1.961906592,3.334498792,2.265019953,1.986692505,1.681587286,3
HCG8 ,-0.611951415,1.468841817,-1.877125783,0.092055543,0.503377518,-4.447842089,-1.528325051,3.008942807,3.084596249,4.695987658,5.306299895,2.396663344,1.895335546,1.887907999,2.726636722,1.763830173,6
LOC102725451 ,0.392008842,0.658451671,1.876790861,0.092105281,0.503377518,-4.448304959,1.312219297,1.544228027,1.166847724,1.324453501,1.391876617,1.421001679,1.902443302,1.525288948,1.668049716,2.661293891,3
ZMYM5,0.119700573,0.927534904,-0.415548095,0.099752837,0.503619967,-4.323672805,0.115562299,1.843587386,2.298098362,1.714933054,2.282034857,1.800086569,1.505502473,1.588944903,2.997908424,2.091778562,5.5
VGLL3,-0.696029294,2.073687984,-2.118717869,0.116833434,0.503860618,-4.039405424,-1.647387054,5.228267723,9.348432094,5.00572014,4.713053671,10.35515173,5.460712159,2.622825893,3.31363263,5.079852322,6
