Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
SPATA7,-0.562802797214663,1.7137837328397,-1.62927089799697,0.127753430810717,0.816158651655951,-4.54465680132024,-1.47713613922413,4.4191496301253,2.63136438097353,7.10928638452482,1.46928165516251,3.54746973023393,1.81745318134712,4.37647029963673,3.25052730600961,4.01869707128767,3.25052730600961,3.25052730600961,3
MBTPS2,-0.333969732942166,4.51333694831017,-1.62863349186863,0.127889372498817,0.816386624795423,-4.54545969382202,-1.26047694709696,19.5182024684986,27.583436106645,36.6614898518926,15.9835250054259,22.2603722124066,22.1742551249102,25.5852212191789,28.1335219877779,20.4655408907106,15.9268130354456,24.1229330179402,11
PRSS3,-0.349234354526964,2.42930912443727,-1.54683163651147,0.181217629567807,0.816428458100569,-4.59431421980624,-1.28157203743834,4.10830714027058,7.20522169693433,9.39682203339864,4.68508287280914,4.50352423013648,5.29444110379728,5.99564714729793,6.20084043535925,4.71217809454878,5.45867010424088,4.97173254360643,5
SPIN1,-0.246291774128668,2.22466998324775,-1.5124329520228,0.252947139512034,0.816502072417028,-4.53851432234444,-1.18967793177371,6.8672893126763,8.36324991907711,8.64618284632547,7.69769739753984,7.28065602251546,9.3102672137071,7.90092777751808,7.01264968773399,5.8048183846066,4.91093304717042,7.79663090902557,6.5
C14orf2,-0.345573108069083,7.03155776552042,-1.51029083009899,0.252270063291014,0.816676069880362,-4.54299768262362,-1.28002127024989,136.017322380013,157.7182680085,265.679221151669,106.487873840412,148.140925184103,119.556890884299,200.049076522969,159.959863926066,118.754609269518,100.467043992354,139.388517334908,11
IKZF4,0.240864865207183,1.60796403788354,1.24714743016996,0.481214313749527,0.817038647227947,-4.44274116278664,0.201383706644198,2.90234591278465,2.78762553372114,2.88921464731438,3.95443742434955,2.57266028953932,3.06335989225225,5.26622688245979,2.61896280932095,2.40033604021017,3.57818763831239,3.52823021161431,8
MIR6789 /// PLEKHJ1,0.297653127028112,3.7053940607376,1.62706272720649,0.128224912675127,0.817102817740069,-4.54743745096716,1.22914330385551,10.1554053998849,10.4549012317068,13.328788250221,15.8989265249685,15.5954972844859,13.328788250221,17.8884732701893,13.2522089444274,8.55445506550357,14.6674293883905,13.3785444447547,9
TIAL1,0.0333587119240321,2.38679012142805,0.277937552581817,0.15036033643777,0.817276030292316,-4.5827729837321,0.0276402523565711,7.20782742823428,7.80224725562592,9.83789051281937,7.00212242494891,7.18488947784298,5.71919179113742,9.70388921325924,8.78061314811561,6.36824494859131,6.97351218883516,8.08334950662567,6
PABPC1 /// RLIM,0.286826882155096,4.81398452709799,1.62582956640091,0.128488872358661,0.81738542082785,-4.54898931439965,1.21995411169694,25.2059097652443,27.795674327203,20.5871308440025,32.702445215808,32.8856331283706,27.795674327203,20.4843133213321,27.3031329947433,28.3838826562389,42.8181849672232,29.7658396570417,11
SPRYD4,-0.329397567169504,0.996012721546938,-1.6263099273177,0.128385994266105,0.81738542082785,-4.54838489254277,-1.25648858721878,1.69255501133429,2.35635379622048,3.27379700983444,2.56378417784471,2.20256273986824,1.70937506480834,1.97983092839312,1.95124808006349,1.62036265830425,1.34968590980589,1.86577414109466,5
FREM3,-0.782714192482712,1.72698769090148,-1.62564230424164,0.128528997424486,0.817415718760473,-4.54922491052065,-1.72036441178867,3.37746580910649,3.85104361264955,9.11038802937767,5.85961013358985,3.13116780412349,3.37746580910649,5.01531062075986,2.91846076546885,1.20471177374851,1.1704829178869,3.4518652966353,7
TMX2,-0.4651454106153,3.62123155706846,-1.62501247010961,0.128664033410776,0.817463435476215,-4.55001718871362,-1.38045648391648,8.56140416338374,23.4865703935028,18.7256747049849,9.09444560893777,14.0056090697403,14.8697896383127,13.0533955566927,15.2853337002815,9.03711892737752,9.16945604782026,8.30874427745646,9
PCLO,0.301296581868372,1.92938130676293,1.52483853062653,0.202005091032746,0.817468836811461,-4.5975936609577,1.24292214521133,3.50734921526275,4.84353713603516,4.78779662038509,6.35639637542227,6.09326452076418,9.98374206775283,4.69231279228621,5.94650959338392,5.90469956584466,4.43088380922888,5.0128873242836,8
RYR2,-0.298051324774488,4.846471039574,-1.47544526490377,0.320506112191803,0.817483723062939,-4.48916438403184,-1.24522934450952,34.7783578200944,47.0596940917665,64.3667191141373,44.601318043637,33.2246432613391,29.8757264181003,43.9552954118853,37.9997491486977,34.722923612182,31.8062509200594,25.0537123146978,11
CTBS,0.267912689171662,0.722988065035978,1.44424422416187,0.347484891119966,0.817552252956695,-4.4942310953793,1.21644654306659,1.39518791020082,1.4679091679831,1.49546741529793,1.86658682442805,2.20838873077733,1.43584969406385,1.47635544834951,1.71787135788875,1.57490948378198,1.91721926192383,2.10001684029666,3.5
GGH,-0.613586347739247,2.38446930631932,-1.62440924902862,0.128793479363224,0.817646601988748,-4.55077581424746,-1.53005800578816,3.37746580910649,6.53027831958805,16.3255096240183,5.5949550224906,3.37746580910649,5.60454061803098,5.28411886133529,6.7430073278496,5.28411886133529,3.04368300205672,3.599560239459,11
MGAT5,0.302926348455278,4.60511884659563,1.62338250554646,0.12901407022924,0.817915763469783,-4.55206667631296,1.23364418898758,18.379528268521,26.3494426670996,18.8265657521034,26.9569550480833,31.5977250462049,27.4441027754736,25.3237474842118,36.2130289627679,18.5048316308879,21.6680239057552,22.64217348375,10
PDCD10,-0.376034816944863,2.8883774356973,-1.62287610032067,0.129122989984034,0.817915763469783,-4.55270316514299,-1.29777008599347,6.2577070608182,8.03997101483798,14.2485922442318,5.39521836623487,7.04681997943413,6.97166682062725,8.29161600280762,6.23250206155682,5.06489804359501,8.73169616805993,8.4453817146597,11
CELF2,0.264286167045067,0.935664123932004,1.62247422080627,0.129209484858521,0.817937777543086,-4.55320819167985,1.20104163753072,1.43071710257231,1.85034410266491,1.77256186900125,1.98776760564362,1.68464041277934,3.36444165646639,1.38697985688854,1.85034410266491,1.74825254069185,3.26938570421481,2.12698949282473,4
SERINC3,-0.368712994792926,4.52865212379238,-1.51555461393103,0.206038311667556,0.817998800647197,-4.60618964749261,-1.29120168460681,34.5969903653747,54.2573710885929,58.5436375114852,44.9337569661902,41.3957970347654,40.9919259381942,44.4054335415832,41.9334394145914,37.994867048799,30.6342476106399,35.4936835024138,8.5
ZNF133,0.0396417925152107,2.21904896495958,0.215021822976062,0.144119134040233,0.818104773682462,-4.5840361388398,0.0322483239277717,5.5550157959659,3.99147609075859,4.65321666474924,4.58812322296588,4.12323815670161,4.11404464551074,5.85168080476834,5.64023373017412,4.32454326831272,4.85269935717269,4.49678799624034,5.5
GLRX2,-0.420837853204514,4.73629954706938,-1.62148149061838,0.129423362227454,0.81812161254998,-4.5544553897215,-1.33870478935761,21.4521826754305,33.7837780482063,49.3774015743883,25.4557590319426,26.8545035776994,25.6672322068423,34.6665287271679,31.7272256749969,22.6370885738214,20.8883164702362,14.7738585662349,11
VEZT,-0.263597733129836,2.85455316271178,-1.62188950086058,0.12933542177353,0.81812161254998,-4.55394285017667,-1.20046865396378,8.0353417506193,10.5699294766133,14.9690689093189,7.11019877342502,7.75678787096142,5.56466180452391,7.75678787096142,16.0860341181365,3.08480459390588,3.85158082002144,4.89887267552163,10
CAPRIN2,-0.438723930244327,4.68860124835655,-1.62080506734569,0.129569269682692,0.818243244171813,-4.55530493396359,-1.35540493579725,18.1404914939085,39.2545591530366,46.7563250255893,24.9399597197475,34.3901960390522,25.1891797224086,26.4627347224197,26.564822853071,21.8032218127749,15.1096105852422,20.1310398669807,11
LOC100507217,-0.333688948099378,4.11929054309623,-1.6192392872178,0.129907564393454,0.818243244171813,-4.55727062073466,-1.26023165036239,20.8560842658415,19.3212910197368,21.5767286197468,9.95597321876671,18.9565546799544,23.9791224783044,15.0577868622097,18.6866498126089,13.068935172223,17.3194718815043,17.431380727676,11
LTB4R,0.308658175271834,0.721167401377648,1.6207574139188,0.129579554128837,0.818243244171813,-4.55536477543154,1.23855520612834,1.58726184574718,1.32240357817379,1.33826470677165,1.32905852591191,1.29864475591748,1.58726184574718,2.35697758107245,1.58726184574718,1.97555159230737,1.75533597796348,2.4475574347304,3
PLEKHB1,0.675818514375891,1.57757137610804,1.62043597225094,0.129648945437023,0.818243244171813,-4.55576840223979,1.5975028603907,3.66713171888605,1.53366372836502,1.70121647024079,2.1333626635935,3.90045080762102,10.0845839587734,2.2927858133168,3.19889706099624,3.31598435538431,3.95467965370484,2.1682936630318,4
UGCG,-0.498304492927277,2.70898644185901,-1.58890462934039,0.144775165122247,0.818399680590317,-4.58279113897193,-1.41387330907181,6.06327349032515,8.72034045835622,11.8288145817023,8.15160062422288,7.12817636090655,5.33191520373461,6.20515694702334,9.58609234808755,3.28883024658105,6.25540918772948,5.63737742235111,9
IRF8,0.293920620234071,0.875789462110618,1.61691109838535,0.130412001536601,0.818650038412641,-4.56019128545418,1.22596740318939,1.65096963974515,1.59045358598276,1.50873054991571,2.06265535055659,2.66989473440414,1.7404827758605,1.44788295113689,2.1226865876742,2.62786604577079,1.62862845068124,1.59045358598276,3
PWP1,-0.351285435299155,3.68898384296158,-1.58527272578985,0.144928695410921,0.818997536071538,-4.58830983606995,-1.27778303819916,15.056324989947,17.0194679787151,17.8815561060815,19.6058879130528,13.1823525157579,13.2124304084235,14.1676850850517,14.400993571816,9.09070401525373,12.4706680719767,12.499926168573,8.5
