Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
VPS33A,-0.253633371171511,5.0357443934371,-1.10197621173405,0.358575616813674,0.99997228760791,-4.57038630916872,-1.19324240548722,34.1030392998466,48.2218805200263,32.502614894099,50.0450748285886,33.8398113927073,42.3708979759116,24.5666975720091,25.3136598913989,25.2200173205283,32.851511154973,6.5
VPS33B,0.0123526254513544,6.83326016970553,0.0243532176222804,0.981018155439856,0.99997228760791,-4.69894889540471,1.00859894787304,101.059622004796,165.409271439939,87.1169068055585,341.678841651172,136.93076484131,145.61790270651,54.249538840844,71.0506365662957,65.9349524434392,147.403981518794,8
VPS35,-0.571992497518757,8.38095347435243,-0.696700163121301,0.502045403048835,0.99997228760791,-4.65074333132073,-1.48751078230449,607.862348173629,528.977218237223,265.036719264794,1008.22886444614,617.762641697822,965.756257771911,61.8028466600888,176.086528220397,54.8502805168429,632.584546759078,10
VPS36,-0.293775389897167,6.7770079345468,-0.329672569936534,0.747997616939163,0.99997228760791,-4.6879650186406,-1.2258439961681,123.906413182195,178.542010024036,91.4382133368501,400.759687909333,85.3023805373977,396.615070123755,21.8843858318299,58.0342211909287,33.3904893996132,216.375982975728,10
VPS37A,0.17431138576365,4.99841228180522,0.305311476318731,0.765973795143002,0.99997228760791,-4.68952471522638,1.12842566624173,35.1214009488555,32.4916620998104,22.2064489857583,75.6422208192806,40.8526430045725,84.6552275378011,13.276118867948,17.2141882605413,17.9917037960109,40.8534949161948,10
VPS37C,-0.526717339654574,6.68255286881064,-1.48110189393651,0.170259251346862,0.99997228760791,-4.50875277881691,-1.44075913748425,145.63147409021,152.656681195489,106.281368849527,128.775363240541,92.6537260771569,141.821320044273,66.1150708554626,58.5799795618231,57.4974507439792,157.861850247651,9
VPS37D,-0.0526491013934072,6.67601358243652,-0.274924321556994,0.788599359027204,0.99997228760791,-4.69130742436228,-1.03716764142833,110.008424331319,97.9860075510448,107.086278435288,75.2111492218275,107.086278435288,76.2208794479032,132.169686567362,114.602096795005,112.752159727954,103.261936654641,3
VPS41,0.188520364886707,3.17418160207845,0.570334216207291,0.580205202473999,0.99997228760791,-4.66654278711348,1.13959434276356,7.88323251838549,8.15031366432131,6.2218537696559,58.4056307711183,6.36999441099457,16.5809415300347,6.11688024337844,7.0626218214224,5.22513156012551,14.2000469110053,8
VPS4B,-0.608921059594417,7.14593689865243,-0.784424621250416,0.449773393646365,0.99997228760791,-4.63902390071927,-1.5251182005932,204.272812430567,213.416453152875,158.096753874543,303.170419520575,146.245526599416,412.540344140995,23.0820325500039,96.3680072522125,50.4691854819794,229.394526844955,10
VPS54,0.253290841405665,5.19993156722298,0.483807952422632,0.638251194009511,0.99997228760791,-4.67547016004371,1.19192283711273,33.205393646589,32.0226172396598,25.375363210091,76.8150701246726,75.0188008060433,75.0742596782247,14.5902228884355,28.2074267045817,31.1458113715309,30.0845414010426,8
