ensembl_gene_id,hgnc_symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL
ENSG00000141279,NPEPPS,1013.920826,987.6729255,545.5425115,1043.441659,631.8840778,869.4071978,871.8822349,1041.603792
ENSG00000106236,NPTX2,257.7835001,5345.037921,262.5541591,532.4860416,636.5317716,7512.274993,210.9002782,1780.24028
ENSG00000088833,NSFL1C,275.2897573,359.1802694,416.2333261,357.2814456,339.6083396,274.0249932,352.9168909,394.6519324
ENSG00000102898,NUTF2,112.2835221,128.9545731,152.0784293,158.1482179,141.7274332,142.6793627,106.8325118,201.8826957
ENSG00000160991,ORAI2,104.2884129,182.1296498,107.7642341,99.79139545,95.84264532,109.7383161,84.81903415,166.9326158
ENSG00000167770,OTUB1,190.4526096,431.7944284,127.6016537,650.2202766,213.4059134,419.4416595,380.0249928,699.7852361
ENSG00000070756,PABPC1,2040.224555,2634.778361,2336.395454,1743.46361,2251.536581,1418.589154,2438.734021,2067.244826
ENSG00000070756,PABPC1,1015.38341,1280.984738,1386.535303,799.5874928,1363.256103,641.2624841,1084.379496,1003.119644
ENSG00000184226,PCDH9,5421.822582,3349.19646,3414.443553,2783.490576,3315.762127,2813.960878,2603.577034,3296.874774
ENSG00000115539,PDCL3,186.7184016,222.1972444,178.8123568,222.1620906,113.8797089,241.4974723,163.7312387,158.8682459
ENSG00000113068,PFDN1,393.0339532,383.9581306,294.1757265,510.6671883,438.9428378,354.6458533,432.6290373,422.1012402
ENSG00000123349,PFDN5,2288.39209,2452.546849,2388.867165,2409.780902,2022.07053,1428.462493,2656.206855,1923.818823
ENSG00000241973,PI4KA,900.0746943,1099.771145,369.7440499,1563.411395,499.412153,939.1753277,989.3375255,1337.268568
ENSG00000241973,PI4KA,2422.14058,2873.909282,1559.740593,3234.728303,1643.303516,2033.799799,2374.054321,3197.144143
ENSG00000131788,PIAS3,157.6506673,162.2061008,163.6162466,168.0383982,142.1898823,112.9684513,199.1980271,162.761234
ENSG00000180957,PITPNB,1027.434322,987.6240413,560.561464,1254.002752,737.8394864,1097.42403,954.9994516,946.7730002
ENSG00000021300,PLEKHB1,2023.360575,1541.40305,3577.15768,2113.899993,2843.039863,648.3014625,3368.734426,1443.327755
ENSG00000152952,PLOD2,109.211141,261.4469974,90.05506908,38.69837987,76.91094944,163.3020347,58.79223319,37.88041006
ENSG00000143442,POGZ,788.2310404,518.3891146,367.3938023,494.3406252,423.243873,519.1049122,613.8166595,488.0204899
ENSG00000131626,PPFIA1,150.3159399,150.3044349,125.3445437,135.3926037,131.7150002,140.5073991,124.8502237,126.6974972
ENSG00000115685,PPP1R7,121.1575931,119.6640675,107.0358865,154.4866465,134.1464734,133.5501638,125.2546938,135.0043951
ENSG00000113575,PPP2CA,1711.358326,1904.509863,624.853241,1623.588317,1420.788083,2268.065426,1750.041219,2460.167386
ENSG00000104695,PPP2CB,31.68943404,36.69901801,35.48693528,48.7196626,31.89629605,43.67608709,32.83631889,29.43996801
