ensembl_gene_id,hgnc_symbol,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL
ENSG00000142864,SERBP1,89.05058879,48.95513026,39.09013727,38.14566666,49.44604567,56.61892225
ENSG00000140264,SERF2,44.61339596,38.23117266,40.70032134,32.92394559,42.73544223,35.39413182
ENSG00000140264,SERF2,17.70524119,26.33911038,23.66590723,34.33503944,18.24086127,8.422965392
ENSG00000099995,SF3A1,35.85940626,37.0130091,36.43472845,37.50895734,37.0130091,37.0130091
ENSG00000115524,SF3B1,18.52017517,6.923178979,8.969445069,10.96402187,14.17628694,18.25609919
ENSG00000039123,SKIV2L2,5.110588574,8.781495771,5.110588574,17.14579964,5.110588574,5.873437835
ENSG00000117394,SLC2A1,18.52017517,15.44706382,15.3618349,14.22750657,30.44883745,22.55052441
ENSG00000174446,SNAPC5,8.995052551,15.18836354,18.08532801,44.9467293,8.995052551,6.845349914
ENSG00000139343,SNRPF,2.394357273,5.074248608,3.642375356,3.575839425,2.796470203,3.82369052
ENSG00000159140,SON,43.5195524,20.23247478,20.23247478,17.95371828,21.85786311,39.72897827
ENSG00000113140,SPARC,130.9340677,131.0486378,44.92894513,43.17988667,92.78032123,115.1597489
ENSG00000153037,SRP19,33.11756101,59.02592195,74.18939546,88.19096276,33.58154178,12.84330463
ENSG00000116754,SRSF11,14.17774675,9.414923426,9.887352757,7.153238147,17.24228151,10.10795453
ENSG00000157216,SSBP3,8.567765547,5.463775273,5.390519832,4.538576027,7.195603933,6.266579441
ENSG00000168610,STAT3,28.32546768,83.43343574,72.60785239,83.1162852,23.92038169,17.96461962
ENSG00000117632,STMN1,4.660651567,4.191804073,4.180530102,2.917845402,3.718401872,3.326331626
ENSG00000117632,STMN1,10.63403764,18.81350689,13.15929191,16.57054379,12.47435471,11.69574934
ENSG00000164828,SUN1,131.97824,42.32308353,27.4805659,26.13512518,59.4903203,65.60419344
ENSG00000132718,SYT11,32.61963233,42.54675077,45.39226722,82.04863776,24.40067311,19.63070229
ENSG00000055208,TAB2,37.02565158,17.16297873,13.78731073,14.75532815,17.16297873,17.16297873
ENSG00000120948,TARDBP,40.98840583,62.66214406,36.34634243,58.15327713,19.86112938,43.62433112
ENSG00000113407,TARS,10.10385868,15.20535062,13.87928499,18.40906406,8.090909535,6.113294098
ENSG00000105254,TBCB,70.79192029,220.3819711,183.4670142,231.6041933,107.9375267,53.49345934
ENSG00000196628,TCF4,168.1597489,18.30520605,22.70931239,17.97389016,50.26507978,94.41590699
ENSG00000166848,TERF2IP,65.302633,158.3955652,195.8361956,246.6736618,72.13709503,37.9271472
ENSG00000169908,TM4SF1,18.98352905,22.90912179,17.30609934,6.796726496,35.29370642,35.40496829
ENSG00000070269,TMEM260,6.379200818,4.905944804,8.818171956,5.760858123,9.657114116,5.390519832
ENSG00000170876,TMEM43,22.20034302,25.47232829,22.70805818,23.77689879,25.11485827,17.25980239
ENSG00000139921,TMX1,30.16156302,14.71295974,11.6092085,9.745400948,19.18684173,16.21869476
ENSG00000156298,TSPAN7,44.77862121,125.5926435,145.0933243,220.9215113,38.68133873,11.33618791
ENSG00000253352,TUG1,11.76328905,4.762767095,6.869490316,5.407397383,3.810875201,7.078421999
ENSG00000185651,UBE2L3,5.681047207,20.78747273,13.02301131,15.82651457,13.17656187,7.836726943
ENSG00000132549,VPS13B,22.73528343,12.38387872,8.607937746,12.0710188,14.79786904,16.80663125
ENSG00000184575,XPOT,85.87480514,185.27086,128.7153044,255.8413306,129.3819711,40.42668886
ENSG00000119596,YLPM1,21.43114779,40.31076608,31.08768216,45.22295075,21.67480331,21.67480331
ENSG00000136758,YME1L1,9.724657725,22.4081238,21.98713365,27.67244372,12.66098336,5.026459648
ENSG00000128016,ZFP36,36.23884728,26.1575875,64.84823508,20.45807074,17.40865257,41.00421454
ENSG00000072121,ZFYVE26,8.669228775,5.676762476,7.087328109,6.150193724,8.403421069,6.516444811
ENSG00000015171,ZMYND11,103.0753463,42.87876675,33.22233972,33.71264669,46.82480238,98.82641554
ENSG00000172466,ZNF24,26.85036747,16.26134655,8.503527356,8.263107384,17.02457401,23.78188262
ENSG00000198039,ZNF273,20.71842631,5.306299895,4.476905673,4.452777436,8.016577804,11.76532645
ENSG00000198039,ZNF273,5.110588574,10.05918962,5.833507826,7.826221702,11.53488448,4.421311912
ENSG00000081665,ZNF506,1.351298342,1.639137116,1.324138893,1.362992849,1.527065805,2.04444242
ENSG00000177853,ZNF518A,11.76328905,7.509543202,3.597888171,7.01923114,8.085869519,6.910886185
