"","corRvec"
"ALDH3A2:COL4A1",-0.5
"ALPK1:COL4A1",-0.5
"ANKRD17:COL4A1",1
"ANXA1:COL4A1",0.5
"AP2S1:COL4A1",0.5
"ARHGAP29:COL4A1",0.5
"ARIH1:COL4A1",0.5
"ATM:COL4A1",1
"ATP2C1:COL4A1",-1
"ATP5C1:COL4A1",0.5
"ATP5E:COL4A1",-0.5
"AURKAIP1:COL4A1",-1
"BBIP1:COL4A1",-1
"BGN:COL4A1",0.5
"BPTF:COL4A1",0.5
"BTN3A3:COL4A1",1
"C14orf1:COL4A1",-1
"C1orf61:COL4A1",0.5
"C6orf106:COL4A1",1
"CCDC53:COL4A1",-1
"CCDC93:COL4A1",-0.5
"CCT3:COL4A1",-1
"CDC16:COL4A1",-1
"CDH11:COL4A1",0.5
"CELF1:COL4A1",-0.5
"CEP170B:COL4A1",-1
"CIAPIN1:COL4A1",-0.5
"CLCN5:COL4A1",0.5
"CLNS1A:COL4A1",-0.5
"COA3:COL4A1",-0.5
"ACTN1:COPG1",-0.5
"ADGRF5:COPG1",0.5
"AHCTF1:COPG1",-0.5
"ALDH3A2:COPG1",-0.5
"ALPK1:COPG1",-0.5
"ANKRD17:COPG1",1
"ANXA1:COPG1",0.5
"AP2S1:COPG1",0.5
"ARHGAP29:COPG1",0.5
"ARIH1:COPG1",0.5
"ATM:COPG1",1
"ATP2C1:COPG1",-1
"ATP5C1:COPG1",0.5
"ATP5E:COPG1",-0.5
"AURKAIP1:COPG1",-1
"BBIP1:COPG1",-1
"BGN:COPG1",0.5
"BPTF:COPG1",0.5
"BTN3A3:COPG1",1
"C14orf1:COPG1",-1
"C1orf61:COPG1",0.5
"C6orf106:COPG1",1
"CCDC53:COPG1",-1
"CCDC93:COPG1",-0.5
"CCT3:COPG1",-1
"CDC16:COPG1",-1
"CDH11:COPG1",0.5
"CELF1:COPG1",-0.5
"CEP170B:COPG1",-1
"CIAPIN1:COPG1",-0.5
"CLCN5:COPG1",0.5
"CLNS1A:COPG1",-0.5
"COA3:COPG1",-0.5
"COL4A1:COPG1",1
"ACTN1:CREB3L2",0.5
"ADGRF5:CREB3L2",-0.5
"AHCTF1:CREB3L2",-1
"ALDH3A2:CREB3L2",-1
"ALPK1:CREB3L2",0.5
"ANKRD17:CREB3L2",0.5
"ANXA1:CREB3L2",1
"AP2S1:CREB3L2",-0.5
"ARHGAP29:CREB3L2",-0.5
"ARIH1:CREB3L2",-0.5
"ATM:CREB3L2",0.5
"ATP2C1:CREB3L2",-0.5
