"","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"PRPF3",23.1079210543688,11.7400803889426,21.3246873248844,8.89927744272717,11.4434837438922,8.98834670367902,11.2505152815518
"PSAP",951.311851133486,568.483233338403,1161.56507012376,139.27499282053,449.577476214922,503.241007745227,514.615070123756
"PSMD1",68.1718069536604,56.4222686244058,74.7676844570471,54.6293646229367,32.33629140353,36.5387736463487,80.0754556424125
"PSPH",4.42396291077103,4.94437130993947,3.75546102847819,3.37890988300865,8.37769254565017,3.37835349018304,3.6285771666488
"PTEN",32.3517211928472,15.5940577142268,35.223299307887,18.4670728449723,27.1838402620376,21.0082960844129,27.0621909257386
"PTPN13",21.5879757742841,24.9651042997012,20.8197521170659,23.4359296057739,25.7060718306834,26.0084154714757,19.5256790929865
"PTPRC",33.2293885241147,26.3506176880021,26.0348398161343,21.4471702171433,38.1563696079195,41.8747744510857,20.9238148919858
"RAB40B",107.941803954101,86.8635277346045,171.33956691632,15.3392347720171,43.0515822811666,24.0463713548705,38.3402906520919
"RBM15",21.2758396897281,10.5831000374172,37.3437903105231,8.28272005415908,11.7400949998536,7.14947711600724,15.3474078753306
"RGS2",460.494074112403,322.643013701895,577.955468567996,35.2009070344264,73.0924749298839,55.4794159448221,237.938511370032
"RHOA",139.390031329555,112.415070123755,187.815070123755,20.7548229884303,71.5505557572888,48.243916411969,61.3316135877304
"RNF13",97.6153948036432,76.7905395718898,144.549167996935,21.2233934417579,83.3564970909698,45.1911229662462,72.379621438468
"RNF130",60.0084670275616,97.9237347725052,43.1162812872739,159.034008428927,118.522913797424,125.815070123755,88.4150701237564
"ROBO1",680.045348762136,293.93223308527,581.186345107189,27.1344458905084,52.7496045071075,50.9960157849689,298.188100714623
"RPL6",351.140496316882,167.655187625099,256.721557170059,56.1109515077259,139.655902196324,81.3580397417302,160.854294490557
"RPLP2 /// SNORA52",238.886465833954,149.103222097918,211.715070123755,68.0573308294009,69.4150701685915,71.9793744620982,52.4116947930777
"RPS16",101.332530412965,51.6384703103135,107.216577814264,18.1831926111978,19.0589783322526,14.8893804719965,19.2734669855978
"RPS6",155.745238456457,243.824256529187,256.23965547077,76.8611734292142,118.478413725099,115.921539063879,106.854078742738
"RSRC2",112.83945405076,100.980042267219,141.293755658468,28.2792777350708,49.2840650872346,50.4329395232429,97.4764792468221
"RTN1",6428.02881685695,4958.19152969836,6558.73782911662,648.795221280354,2437.44102299908,1290.33493741003,7567.79020067269
"SCN1B",300.812405920038,145.921650774574,246.771554054697,83.6944912204521,173.336199856526,74.8173364856416,324.398457025216
"SDC4",100.363184492479,66.7270007171244,57.0503032243989,64.0084963996449,85.3115350546615,59.7192685897269,51.9313049833259
"SERBP1",78.257861387963,40.3997119600202,55.1818430638287,29.1206076833926,40.0701699244823,38.1205658038688,50.8871642476768
"SLC25A13",93.4150701237553,22.5519053461234,66.2178131869432,9.73604825626821,21.2496299802912,13.7269106669655,16.3886192306103
"SLC26A2",16.1891220352196,24.5126126853613,51.7796068761958,10.3660033274917,11.1128494941392,14.6818797634202,16.0315812773795
"SLC2A3",23.2045398494769,20.7753754457741,26.8307414379379,27.0607423960707,15.3998894521568,17.8767892218787,19.1791065603696
"SLC4A7",117.502401262301,92.3353003778915,137.646351497907,90.9345135842941,70.5895151651784,75.1977040435308,120.469103611911
"SNPH",93.44157782656,96.3150701237552,204.615070123755,93.7150701237552,94.6577932354412,73.915070130527,80.2299942563867
