"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000121335",2846,2668,2884,2678,2528,2182,1525,1584,3442,3071,3334,2427,2529,1895
"ENSG00000121350",306,289,574,654,394,542,588,386,605,524,589,539,389,271
"ENSG00000121351",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121361",62,170,24,134,14,45,393,251,97,141,20,49,1,24
"ENSG00000121377",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121380",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121381",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121388",1,3,0,9,0,4,0,0,0,2,0,1,0,0
"ENSG00000121390",12338,10846,14357,15623,13866,12939,14485,13703,16178,12836,14564,13363,7944,8085
"ENSG00000121406",270,238,458,592,307,422,228,323,438,451,339,316,186,444
"ENSG00000121410",84,72,99,113,183,92,171,53,72,48,98,78,39,25
"ENSG00000121413",344,303,319,474,378,360,461,406,390,349,323,344,318,347
"ENSG00000121417",433,401,849,926,753,780,700,818,884,773,809,727,452,599
"ENSG00000121440",31127,28053,40092,37223,22578,22662,22375,27435,35144,34998,26743,25255,20170,21966
"ENSG00000121446",57,102,96,126,215,312,40,198,262,419,261,277,310,380
"ENSG00000121454",410,555,257,428,300,278,123,169,529,712,160,187,420,589
"ENSG00000121481",1246,1193,1852,2001,1505,1421,1594,1910,1597,1557,1291,1135,1625,963
"ENSG00000121486",881,1056,1270,1625,1098,1226,1473,1166,1418,1231,1482,1451,599,846
"ENSG00000121542",2850,2227,4323,3771,3577,3139,4128,4368,4437,3549,4400,3426,3479,3985
"ENSG00000121552",2,0,2,1,1,1,2,0,2,2,0,0,1,2
"ENSG00000121570",1,0,2,0,1,1,2,3,0,0,1,0,0,1
"ENSG00000121577",64,54,50,121,84,64,16,103,56,87,33,62,107,30
"ENSG00000121578",386,361,725,646,528,621,806,587,681,560,766,589,574,517
"ENSG00000121579",2833,2535,2537,2915,2331,2397,3352,2953,3308,2847,2917,2545,2707,2194
"ENSG00000121594",76,91,140,170,73,59,56,59,130,137,82,103,138,149
"ENSG00000121621",5,10,72,21,167,25,34,25,28,22,112,29,19,30
"ENSG00000121634",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121644",1667,1414,2129,2722,1776,1731,2177,2876,2546,2050,2119,2032,1276,1291
"ENSG00000121653",547,368,666,705,538,342,560,640,602,571,584,545,275,230
"ENSG00000121671",1999,1730,2861,3388,2422,2241,3160,3759,2358,2050,3836,2987,2888,2756
"ENSG00000121680",71,59,77,79,111,86,24,362,70,87,63,39,4,117
"ENSG00000121690",4,9,6,9,11,5,0,1,10,22,4,1,3,1
"ENSG00000121691",445,160,1599,584,1042,344,861,256,823,270,1653,480,454,173
"ENSG00000121716",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121741",11166,11316,15443,17112,12286,11969,13937,14972,15962,14150,14900,12973,7474,8820
"ENSG00000121742",1,6,2,15,6,9,8,1,2,14,8,5,0,0
"ENSG00000121743",2,0,0,0,2,0,0,0,1,1,0,3,0,0
"ENSG00000121749",3216,3338,5943,5954,4365,4124,5084,5662,5416,4916,6305,5942,2953,3362
"ENSG00000121753",1841,1211,2330,1830,1919,1011,1633,1797,1633,1264,1452,1095,1090,976
"ENSG00000121764",5,3,31,64,26,36,101,46,33,28,10,35,148,67
"ENSG00000121766",6255,4894,6516,5422,7167,4916,9690,6149,9101,6080,7225,4936,7629,5770
"ENSG00000121769",1295,1088,1398,1294,1468,1063,2341,1363,1534,1127,1518,935,2527,1381
"ENSG00000121774",1672,1718,2051,2560,1768,1975,3286,3819,2101,1836,2025,1753,1774,1378
"ENSG00000121775",1050,951,1538,1580,1917,1735,2056,2012,1494,1241,1270,1091,1367,1536
"ENSG00000121797",0,0,5,0,10,0,0,0,0,2,6,1,0,0
"ENSG00000121807",0,0,1,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000121851",13,13,48,28,40,41,25,94,17,44,25,44,45,20
"ENSG00000121853",0,0,4,0,1,0,0,0,2,0,0,0,0,0
"ENSG00000121858",9,2,18,15,29,11,4,0,19,7,11,6,17,5
"ENSG00000121864",449,455,467,893,340,472,664,611,808,656,569,668,317,541
"ENSG00000121871",1913,1748,1412,3086,2632,2772,2742,6404,2612,2416,2065,2027,1970,1559
"ENSG00000121879",9628,9637,7812,10054,6887,7464,8278,7980,11847,12379,7184,8698,6308,10537
"ENSG00000121892",7556,7243,9242,10411,10186,10494,11062,11064,11205,10541,9760,9217,8463,8439
"ENSG00000121895",11,18,14,18,14,14,54,40,10,39,19,23,18,23
"ENSG00000121897",325,267,440,614,521,682,482,1156,467,413,552,558,443,419
"ENSG00000121898",472,132,409,294,689,409,351,418,579,332,870,667,509,442
"ENSG00000121900",3,10,4,6,3,4,0,0,19,11,1,12,25,0
"ENSG00000121903",279,355,470,750,331,383,488,287,447,417,282,340,271,348
"ENSG00000121904",42850,36597,31001,39156,28282,29069,40350,47757,35333,37961,29305,28619,25303,27402
"ENSG00000121905",547,321,629,551,400,392,784,626,588,365,492,314,244,312
"ENSG00000121931",346,291,472,401,371,319,274,316,612,414,507,271,283,175
"ENSG00000121933",23,32,12,22,11,6,41,46,15,24,3,8,6,2
"ENSG00000121940",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121957",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121964",21772,18413,27893,25052,21904,19699,20725,21427,23527,20006,32136,28659,19704,20490
"ENSG00000121966",4,13,2,11,0,3,51,36,4,11,13,7,0,23
"ENSG00000121988",3732,3727,8633,8602,8947,8549,7587,8489,8153,7344,12908,11019,6893,7723
"ENSG00000121989",3073,3144,3256,5174,2243,3123,3792,4774,4120,4898,3031,4161,1549,3064
"ENSG00000122008",3315,3197,4215,5233,3391,3611,3911,4259,5701,5433,4325,4118,3222,3575
"ENSG00000122012",2397,2222,1082,2295,1038,1754,929,3587,569,1364,520,1144,2657,3173
"ENSG00000122025",132,247,22,955,76,1096,178,2100,176,386,31,922,315,1238
"ENSG00000122026",79,74,188,194,79,57,117,118,138,105,178,144,9,58
"ENSG00000122033",732,633,870,1017,923,1031,883,945,1350,988,1157,1119,725,994
"ENSG00000122034",816,766,1059,1468,827,1008,1201,1179,1286,1197,1447,1504,691,1083
"ENSG00000122035",8,5,8,4,18,3,0,0,6,3,12,4,9,6
"ENSG00000122042",5704,6013,5164,6848,4471,5843,3919,4897,5891,6641,3842,4867,4196,5177
"ENSG00000122043",0,3,9,26,11,16,4,0,11,12,10,13,4,12
"ENSG00000122068",965,836,1740,1887,918,952,1122,1564,1445,1199,1390,1051,671,495
"ENSG00000122085",428,403,719,789,489,520,488,619,592,680,520,446,311,437
"ENSG00000122121",0,4,2,1,5,5,1,0,2,2,2,2,3,4
"ENSG00000122122",13,13,5,7,3,4,2,3,3,6,2,3,3,3
