"Ensembl_ID","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000197746","PSAP",4671.59098676365,0.0922526627784435,0.277329021570386,0.332646984639615,0.739400772556626,0.932006346975319,2879,3025,3022,5972,5356,6282,11809,14226,3415,3251,3865,3591,2055,2132
"ENSG00000160294","MCM3AP",1039.17373635721,0.0478067914389451,0.143795614008795,0.332463488323232,0.739539305304794,0.932006346975319,772,728,1123,1427,1140,1279,903,1385,1110,1122,1287,1305,699,703
"ENSG00000168936","TMEM129",313.132303536391,-0.079906093578481,0.240364014466186,-0.332437839149679,0.739558670129801,0.932006346975319,182,181,251,381,433,499,678,502,262,304,176,199,293,239
"ENSG00000128039","SRD5A3",223.46545198288,-0.0840669916123003,0.252897779445975,-0.332414906119249,0.739575984438444,0.932006346975319,107,85,132,314,263,323,381,320,159,209,203,222,339,177
"ENSG00000197694","SPTAN1",16574.8059585871,-0.0525065560125117,0.157966546234834,-0.332390352666539,0.739594522303084,0.932006346975319,11779,10692,16259,17994,19576,20283,15448,16525,15451,15505,22006,20203,15051,18088
"ENSG00000219547","RPL17P25",4.94365479632812,-0.118637580084357,0.357001483811578,-0.33231677027699,0.739650077936741,NA,5,6,8,4,1,2,12,5,7,10,6,6,0,0
"ENSG00000281131","SCHLAP1",3937.09941059748,-0.0878008615721846,0.264227146747275,-0.332293114666842,0.739667938509821,0.932006346975319,2923,2397,3724,4401,2886,3870,1835,1672,5721,6238,6539,5635,4045,3383
"ENSG00000225492","GBP1P1",213.483878491172,-0.115358134307457,0.347564247904147,-0.331904489610423,0.739961380170418,0.932006346975319,76,53,212,182,192,214,40,161,102,79,199,231,615,504
"ENSG00000166558","SLC38A8",55.6756364011169,0.114766888900729,0.345909317870347,0.331783166777096,0.740052995949756,0.932006346975319,10,23,79,92,45,30,114,68,83,164,52,54,4,25
"ENSG00000111785","RIC8B",7103.93854493989,-0.0355755617995703,0.10722809277027,-0.331774639280294,0.740059435546286,0.932006346975319,6403,5943,8930,10336,6445,7585,8422,8839,7410,6963,7191,7111,4819,5582
