GeneID,1-TDPneg,2-TDPneg,3-TDPneg,4-TDPneg,5-TDPneg,6-TDPneg,7-TDPneg,1-TDPpos,2-TDPpos,3-TDPpos,4-TDPpos,5-TDPpos,6-TDPpos,7-TDPpos
ENSG00000011105,2317,1432,1919,1255,1950,976,1460,3101,3862,3639,3854,2880,2892,2577
ENSG00000011114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011132,41,30,118,62,54,51,38,62,58,79,59,57,40,161
ENSG00000011143,248,392,380,397,326,440,874,177,312,299,798,283,348,490
ENSG00000011198,1043,1901,1571,1660,1675,1961,1025,1082,2146,1360,1477,1445,1656,810
ENSG00000011201,207,260,290,705,695,353,395,371,1531,986,2376,839,1053,621
ENSG00000011243,1523,2196,2382,3409,1858,2639,2279,1318,2034,2359,3298,1631,2067,1957
ENSG00000011258,3142,3639,3550,3894,3600,3164,2780,2917,4161,3675,4231,3486,3151,3531
ENSG00000011260,1285,1931,1403,1790,1791,2103,801,1074,2146,1256,2078,1517,1702,746
ENSG00000011275,6874,6305,7177,10180,8680,6351,6570,6766,8469,6833,9449,8427,6131,7423
ENSG00000011295,6150,7299,5195,7563,8997,6718,4852,5755,8034,5140,7205,7656,6015,4930
ENSG00000011304,425,682,660,415,612,894,672,295,585,485,559,689,739,588
ENSG00000011332,811,576,727,1475,653,389,556,711,735,765,916,587,320,466
ENSG00000011347,14643,12980,17791,21683,14822,13962,17892,11682,11099,10065,19526,11609,9556,14376
ENSG00000011376,2174,3071,2863,3994,3484,3043,1871,2372,3837,3440,4510,3162,3364,2793
ENSG00000011405,3268,4155,3300,4156,4680,4344,3477,3279,6374,4726,4387,5092,5558,3839
ENSG00000011422,279,128,259,376,269,98,306,299,397,454,438,373,218,521
ENSG00000011426,350,123,98,1251,330,147,147,782,392,295,581,726,282,256
ENSG00000011451,360,345,393,555,371,347,399,331,444,426,756,401,346,180
ENSG00000011454,10746,13780,10340,14517,15482,13985,9190,10207,14597,10239,15551,13519,13941,10853
ENSG00000011465,56,12,2,283,256,11,85,44,242,79,399,180,122,23
ENSG00000011478,123,168,303,332,162,137,411,141,238,332,298,161,110,215
