Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
TRMT5,0.583837415,5.852975805,2.866565169,0.015701106,0.999972288,-4.201370439,1.498830681,46.61738597,40.54861365,43.66761867,88.29058191,79.29427499,73.22392088,50.6523463,70.6836543,56.39620935,48.70255064,8
ZIC2,-0.929800309,3.742994453,-2.860378546,0.015873882,0.999972288,-4.202640506,-1.905012295,19.9295413,15.77163802,29.5577963,10.57952028,12.82128785,5.957519822,11.61689415,10.93685595,9.416231041,20.61423061,5
CBLN2,-0.676011211,5.063992348,-2.847218272,0.016247781,0.999972288,-4.205347973,-1.597716249,58.20647445,47.70820069,36.05999982,38.30368607,22.30707629,32.19091687,31.78195938,21.29261191,24.32159268,38.70149182,6
ZNF496,0.353461456,5.330293376,2.846069355,0.016280839,0.999972288,-4.205584711,1.277622351,37.42552231,30.7783099,33.79688595,44.22615588,44.26724886,38.36848448,47.67258196,44.41405242,40.92918193,43.84641458,5
CEBPD,0.923895349,6.632345789,2.840215458,0.016450324,0.999972288,-4.206791846,1.897231003,100.2143115,48.55506153,52.28635528,153.8745114,115.4248765,126.9895707,89.7348028,148.1617122,181.1356703,66.81324613,9
NEK1,0.735553152,3.751684921,2.837300591,0.016535374,0.999972288,-4.207393495,1.665035748,9.107972097,9.649137933,9.532556753,16.57033145,12.09947969,28.30570022,10.26918447,15.01386813,16.94826699,15.82893536,6
SFN,0.38452593,6.964042942,2.836938651,0.016545966,0.999972288,-4.207468228,1.305430751,105.4857397,99.27560536,106.1788683,126.3470041,135.3439061,157.7968225,128.6405003,117.3216099,128.8572939,157.6947118,5
FAM149A,0.837689574,6.345657357,2.812469098,0.017277994,0.999972288,-4.212534258,1.787185733,61.41507154,42.47599413,60.91507154,59.49783573,66.66501485,86.26368741,101.2130625,160.7614696,130.0543322,110.0064801,10
PTPRO,-0.866684255,12.11269397,-2.81145158,0.017309126,0.999972288,-4.212745493,-1.823467207,7035.151825,8376.441807,5204.81507,1922.297334,4163.11757,3717.81507,4345.828218,6436.81507,3302.620571,3443.297106,10
SLC4A4,-0.671234816,7.502335928,-2.811031333,0.017322,0.999972288,-4.21283275,-1.592435364,328.1473493,173.6150701,277.9444101,108.5797081,144.9940393,162.0071145,214.7242831,177.474304,176.0360726,141.7150701,10
LOC100996747 ,1.110918136,7.592677043,2.81027423,0.017345218,0.999972288,-4.212989968,2.159830559,154.5987964,80.2445986,115.0713912,532.7954302,167.9273973,361.1150701,125.3207758,234.594606,226.6160257,233.7150701,10
PSMF1,-0.494376085,3.610082233,-2.802470382,0.017586359,0.999972288,-4.214611964,-1.408711405,19.19634779,13.82857986,14.08507583,12.57799469,9.720177546,13.50371451,10.59851269,9.772155294,9.056084203,12.72800741,4
SUPT16H,0.445146328,5.982332931,2.799544161,0.017677641,0.999972288,-4.215220856,1.361452197,55.07738886,49.42434559,48.55854493,78.31507012,80.61507012,83.31507012,69.38328834,57.21460226,62.97260707,58.68647869,4
CLTA,0.593491333,5.01291282,2.781633998,0.01824675,0.999972288,-4.218955786,1.508893867,29.99434318,20.87355774,22.66168943,26.23615234,50.78342685,30.90038178,34.50180064,41.05711309,43.80675858,33.96924111,9
RPS17P5 ,0.417003166,6.109080923,2.770441827,0.01861164,0.999972288,-4.22129684,1.335151233,58.26591827,51.8934742,59.28004164,70.05597692,69.52511358,63.17694017,92.79656674,79.84929518,86.59111389,69.39183688,8
