Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
ARHGAP26,-0.317924224,0.797489918,-1.988348189,0.076864002,0.485337718,-4.292375691,-1.24653572,1.741982349,2.585271565,1.77800953,1.585260253,1.800086569,1.874743295,1.39920782,1.493804434,1.616663883
AP1S2,0.57706888,5.670960861,1.987648529,0.076951693,0.485508528,-4.293363993,1.49181525,30.67659438,41.39012421,55.59449855,81.25762014,42.73544223,32.05958256,63.06637806,73.13556162,63.81041424
EPG5,0.979432617,2.396158085,1.987537826,0.076965576,0.485508528,-4.293520355,1.971689831,3.269793253,5.044625188,3.534776951,1.945764031,3.797405747,12.70361046,7.868316144,11.09740351,6.494121173
CCP110,0.312461168,4.320680994,1.987518067,0.076968054,0.485508528,-4.293548263,1.241824387,15.65221945,17.12897328,19.21165794,23.22480837,19.21165794,17.96461962,19.15041949,24.47232829,26.25611882
TMEM120A,-0.719394632,4.00534647,-1.987122181,0.077017724,0.485573367,-4.294107404,-1.646491007,11.49173574,35.97752684,23.32325681,23.70338781,15.92801322,12.77371285,9.699747484,15.92801322,9.888889642
TRIM52,0.397951064,1.54716433,1.987103298,0.077020094,0.485573367,-4.294134073,1.317635257,2.355978741,2.40402613,2.258413131,2.610969142,2.949627771,3.642368833,2.646404016,4.100579787,3.993168304
GINM1,-0.334938091,2.820418597,-1.986988694,0.077034479,0.485573367,-4.294295928,-1.261323282,7.860645351,8.946691452,8.172361825,7.466643746,7.301734409,6.306910984,6.498274961,7.301734409,4.668903033
SNORA29 ,-1.396514058,5.135323811,-1.986378151,0.077111156,0.485888262,-4.295158148,-2.632646941,34.0637421,101.7153044,72.43261712,149.3192794,27.88550275,12.50250588,15.77162012,24.23534585,16.38885989
PARK7,-0.701654479,7.642374492,-1.985985871,0.07716046,0.486072432,-4.295712083,-1.62636884,200.8049682,244.5874265,337.7153044,437.4316273,180.1566629,128.712883,119.5926437,171.3068433,147.1751921
FUT8-AS1,0.667095793,0.662850081,1.985072396,0.077275387,0.48630598,-4.29700184,1.58787329,1.559640462,1.09586191,1.072244191,1.121928497,1.121928497,2.70763718,2.703168172,1.415721382,2.614532842
HIATL1,-0.890789896,4.308510933,-1.984819648,0.077307214,0.48630598,-4.297358664,-1.854191042,52.25916933,22.19657556,21.12136366,28.14988655,19.36732314,15.57895922,8.843189592,27.78827345,9.208600355
ELOVL6,1.476588312,4.023338642,1.984584321,0.077336859,0.48630598,-4.29769088,2.782898541,7.164940973,28.17755404,16.48356877,21.86968258,15.92877736,2.059144686,33.03981362,45.28908898,22.25360704
TSEN2,-0.474672111,2.997915785,-1.984526748,0.077344113,0.48630598,-4.297772155,-1.389602361,7.53235865,8.292309958,6.63181004,9.214745486,15.23536284,8.629423827,5.639827809,6.78365268,6.900446474
SORBS2,-0.467163568,3.410112668,-1.98418628,0.077387026,0.48630598,-4.29825277,-1.382388929,15.00410934,11.09740351,14.84598531,13.25102167,10.51718443,8.004758349,8.465289284,11.09740351,6.69136823
C1orf174,0.747727028,4.557747988,1.984157367,0.077390672,0.48630598,-4.298293582,1.679145246,16.51002289,34.93944971,19.07354605,21.19428554,26.97142716,9.623182637,26.14449583,48.49666781,29.04965166
COG8,0.587234891,1.768878277,1.983850768,0.077429337,0.48630598,-4.298726358,1.502364513,3.519284067,3.303683992,1.5558899,2.651693945,3.635279429,3.97987111,5.232557182,3.410394902,5.005969968
ATP5S,-0.677637718,2.001097771,-1.983450348,0.077479861,0.48630598,-4.299291532,-1.599518544,4.756425156,7.010843985,3.546283012,8.650141892,3.635279429,2.830974039,2.686448153,3.408069131,2.738457104
CEP19,-0.753923052,2.75254706,-1.982112039,0.077648954,0.486723697,-4.301180195,-1.686372274,7.238725724,7.53235865,8.150802848,14.71749319,7.53235865,5.406845356,3.517864873,9.303814637,3.288142114
KCTD20,-0.930916397,1.067700181,-1.981905562,0.077675073,0.486723697,-4.301471541,-1.906486609,2.614840738,8.292309958,2.424182284,1.968884944,2.132899353,1.396527398,1.362127443,1.593411389,1.167390527
BCL2,-1.250984469,3.07311487,-1.980647981,0.077834335,0.487021317,-4.303245797,-2.38003777,28.42895286,7.087328109,4.50948872,5.506160054,14.11010236,28.51126793,4.115225004,3.891971121,6.570045463
MANF,-0.72504869,4.059973176,-1.980374869,0.077868963,0.487055813,-4.303631063,-1.652956421,13.04791677,28.13033934,25.31612457,36.3845773,14.2680186,12.19468759,10.29999747,14.2680186,11.55573383
C11orf74,-0.748742494,2.6472749,-1.978985325,0.078045372,0.48736086,-4.305590935,-1.680327556,7.166855413,9.308240912,7.670468375,12.89258046,6.17109075,4.192980896,2.512601877,6.17109075,5.616347131
