Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
TRBC1,0.044785054,5.83847786,0.321747371,0.753346188,0.928291065,-5.248578145,1.031529481,58.82712088,56.51831839,52.79497822,66.54776723,50.62522579,49.80739917,63.82346726,72.69368774,46.38404243,59.37042946,9
OCRL,-0.042783398,6.751179596,-0.321599058,0.753455714,0.928327925,-5.248616631,-1.030099286,111.6614677,110.8390331,107.4911511,99.83665728,146.3274641,119.1739205,103.8198978,100.4200558,93.23123495,93.46462619,5
UBR7,0.03493473,7.678979787,0.320648118,0.754158095,0.928621801,-5.248862977,1.024510471,217.7530642,213.5550675,175.894053,227.2823453,191.0304317,245.0183473,207.074634,192.7944313,185.5350839,202.6716056,10
LOC101929607,-0.034608474,2.870309511,-0.320596493,0.754196232,0.928626934,-5.24887633,-1.024278811,7.325673119,7.667503344,7.320225591,7.707918633,6.678660045,7.086636268,7.604070212,8.843415003,6.06237553,7.146461536,3
BZRAP1,-0.050520364,5.801531695,-0.320541553,0.754236819,0.928652468,-5.248890538,-1.035638399,58.29697059,61.88871482,51.75887586,45.29457423,80.12380393,46.91708664,54.61574795,56.90184077,59.81917439,49.28161464,7
CTSA,0.049949574,8.255681216,0.320183322,0.754501484,0.928877275,-5.248983124,1.035228739,281.2029288,299.2487925,315.4964843,352.9428655,213.3848762,264.4741133,335.2194391,335.9675292,320.8140586,372.305055,10
DDB1,0.036789555,9.431931055,0.319999345,0.754637422,0.928905669,-5.249030635,1.025828497,704.0194859,650.8794806,681.6167251,822.024133,571.2558769,631.0203292,670.0838806,812.0026366,703.1391156,697.9586241,10
MIR6840 ,0.062691699,7.282680017,0.319657105,0.754890318,0.92892485,-5.249118944,1.04441255,140.5187027,153.2086047,160.0540767,134.6091371,196.6368291,156.0956371,248.5159404,152.3136455,123.4225051,125.9359497,10
TMEM106A,0.031505707,3.284939992,0.31951107,0.754998239,0.92892485,-5.249156597,1.022078288,10.15620845,9.002472246,9.673558803,11.43519102,9.05004646,8.972247511,8.920968799,10.7971546,9.877662049,9.903850168,5
ITGB3,0.037761924,5.187360861,0.3194654,0.755031991,0.92892485,-5.24916837,1.026520133,41.08851201,31.1198773,35.81159565,38.0566975,29.41358615,42.64468565,36.88274493,38.37624174,36.27311557,36.76340124,6
KCNJ14,-0.026762194,4.502135033,-0.319462735,0.755033961,0.92892485,-5.249169057,-1.018723262,22.49915465,24.28236596,22.14593069,24.23559285,23.01958937,19.60321241,22.10471282,23.22643389,22.93444264,22.91879026,4
FAM171B,-0.039535938,4.694851191,-0.319280813,0.755168413,0.928942969,-5.249215933,-1.027783173,28.03611597,25.17077885,26.07664747,32.0465109,26.77628462,29.00114117,23.85389377,23.85575471,20.68797275,25.18996402,10
DUSP26,-0.044843101,9.888580298,-0.318832545,0.755499747,0.929143862,-5.249331328,-1.031570985,867.0924218,1054.150349,994.6219821,919.0057784,968.7107861,697.4060941,1121.092422,863.5878521,950.9700229,1126.818468,10
FAM32A,0.035285606,8.11520298,0.31878694,0.755533458,0.929145461,-5.249343059,1.024759671,254.6334187,293.4924218,270.9817277,289.7200158,240.9717414,341.6375592,253.0771266,275.8965901,263.4924218,302.3188984,10
POLR3D,0.040473446,6.580083485,0.318589278,0.755679577,0.929194884,-5.249393884,1.028451276,87.96150045,97.49242405,96.2849028,85.2106035,101.7025337,74.69457448,113.4913849,102.1924224,93.77648017,110.563899,10
SUCLG2-AS1,0.035451855,4.422051499,0.318549725,0.755708818,0.929194884,-5.249404051,1.024877766,19.70416589,21.5326152,22.05181017,19.93156237,26.71840037,24.69443108,20.31819071,20.31819071,19.84229442,20.33712599,8
ZCCHC11,-0.061960629,5.153496019,-0.318514976,0.755734507,0.929194884,-5.249412982,-1.043883439,44.26949846,36.93554612,30.17802006,29.54288367,46.01918481,46.72294712,39.84958052,29.68478917,33.85029081,25.9948199,10
LENG1,-0.03228818,6.378295523,-0.318026879,0.756095378,0.929368742,-5.249538326,-1.022632782,73.94737864,88.97489486,91.70561895,73.15267669,81.13095361,82.71221536,93.93026948,83.17216502,76.7084564,89.40941409,7
PIAS4,-0.037937134,5.855998914,-0.317503138,0.756482669,0.929539981,-5.249672616,-1.026644808,60.48169244,59.71224258,56.85767772,51.20104141,48.6933821,59.47453119,62.72351783,51.51241865,59.86040661,72.15643488,10
PLA1A,-0.195759483,5.316427254,-0.316869645,0.756951211,0.929574215,-5.249834756,-1.145326941,121.5924218,16.87488102,41.00311883,148.8941019,24.52538391,33.61941294,25.02926002,39.27688767,23.75213962,41.85095402,4
DNAJC2,0.040315541,8.388085299,0.31663701,0.757123297,0.929655862,-5.249894219,1.028338717,321.234013,393.4824834,280.5194146,379.1901385,306.6835801,381.4165059,279.9604296,319.766205,348.3202212,363.1516476,10
