Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
IFI27L1,-0.502912452,4.186238383,-1.878788768,0.083376812,0.767141344,-4.216765712,-1.417071401,14.39536328,31.88625541,28.12114843,21.61914311,19.7819661,12.96441905,25.05618907,17.25991507,15.65004689,11.56194834,12.99559032,11
KLHL20,-0.273168224,1.22665652,-1.877717612,0.083533123,0.767721211,-4.218226654,-1.208458747,2.411659576,2.906654194,2.763673606,1.991785803,2.695421964,2.369055932,1.693494771,2.706718478,2.173781207,1.907363412,2.462336597,4
CKAP5,-0.467919216,4.160061394,-1.876277588,0.08374368,0.767909436,-4.220190031,-1.38311318,16.90785616,29.76158898,23.04045575,18.42988014,20.95826032,18.26827333,18.79811201,24.20029009,11.23515128,11.30376827,12.61211601,10
GOT1,-0.591190551,3.721216897,-1.875696004,0.083828854,0.767909436,-4.220982766,-1.506489431,12.3925205,17.34047164,26.10134073,9.746431063,18.96840158,13.97565823,13.97565823,19.09795283,8.610142401,8.756522872,7.200188576,5
RP11-466P24.7,-0.432924776,7.307061211,-1.872864385,0.084244674,0.76947503,-4.224840658,-1.349967595,124.0301648,258.3639075,238.5154353,160.2042517,177.055604,165.7115562,144.5759702,197.0250527,109.4562365,122.9062858,114.0896667,11
PMS2 ,0.225446153,2.844239653,1.872594467,0.084284408,0.769703671,-4.225208249,1.169138748,7.113658987,5.872906976,6.303573132,7.200188576,8.299395046,8.749125534,7.200188576,7.90425083,8.36141562,6.478182327,6.171496342,7
DCUN1D1,-0.322619396,2.786248299,-1.872213162,0.084340569,0.769703671,-4.225727487,-1.25059911,6.32221442,7.74703928,10.9174706,7.612092859,5.248433367,5.799825912,7.68578332,6.962353125,6.257707061,5.344214544,7.59221359,8
SMARCE1,0.379491041,3.171861648,1.872165342,0.084347615,0.769703671,-4.225792603,1.300882845,5.248295959,6.329878884,12.41125859,8.197525898,9.367369139,9.971856613,8.509693713,9.971856613,10.73020881,10.10569133,10.96251812,10
SMEK2,0.206504297,0.428909217,1.870822098,0.08454574,0.769780769,-4.227621303,1.153888879,1.134088172,1.182087844,1.331731059,1.43118334,1.523177708,1.376586283,1.276055322,1.598851694,1.195158061,1.266699277,1.590453586,3
CDK5R1,-0.47474996,5.65857239,-1.869688627,0.084713253,0.770104994,-4.229163897,-1.389677348,51.1250877,91.93925575,56.2182513,48.56608865,47.82853081,67.07944498,43.30289212,70.96940821,36.43080799,30.02335722,39.46954189,11
PLXND1,-0.17867291,0.597748324,-1.869564483,0.084731618,0.770104994,-4.229332822,-1.13184226,1.819770044,1.453455453,1.716933027,1.331731059,1.483043602,1.483043602,1.4015688,1.685063355,1.453455453,1.436851419,1.453455453,4
SPCS3,-0.388511622,1.366453028,-1.869423059,0.084752544,0.770104994,-4.229525253,-1.309042214,2.646372788,2.85376118,4.08444454,2.627821241,1.839009858,3.050149051,2.646372788,3.073783553,2.122483291,1.588526609,2.684795253,4
MRPL48,-0.401642267,1.776640907,-1.869219041,0.08478274,0.770104994,-4.229802841,-1.321010805,3.468072627,4.931497952,4.317131609,3.006284919,2.617519913,2.903913746,4.681733676,4.512957193,2.579081936,2.292868047,3.62381446,5
CCNY,-0.342817821,0.640636963,-1.868715018,0.08485738,0.770182149,-4.230488549,-1.268231241,1.523177708,1.410193811,2.962672836,1.523177708,1.523177708,1.557321488,1.461540034,1.499521396,1.200373377,1.40434778,1.556730569,3
MCC,0.526572722,3.962669392,1.868134552,0.084943415,0.770753477,-4.231278139,1.440503057,8.332186355,14.77385857,13.884972,28.11018685,14.77385857,20.71795638,9.77436689,14.86471164,24.57747846,14.40597519,17.4935613,10
IK,0.290227604,2.895255727,1.866675566,0.085160009,0.771118065,-4.233262203,1.222833181,5.098390376,6.848430624,7.603839369,8.696092422,9.05621588,9.814208038,8.509508394,7.552530342,6.75067415,6.683154255,6.495882727,9
AUTS2,0.439815086,1.609553924,1.866403934,0.085200389,0.771118065,-4.233631506,1.356430459,2.206379771,2.871215317,2.306527609,3.978017058,3.642082636,5.20860339,2.146688354,2.357133474,4.279012138,2.985305808,2.998031466,6
NGB,0.968968324,2.878496663,1.866378255,0.085204207,0.771118065,-4.233666417,1.957440323,5.151979148,3.115303138,5.723421964,3.208981697,10.93376578,4.826065473,19.95342047,21.21420975,11.11203414,9.814208038,4.73694987,5
P4HTM,-0.406325739,3.065178624,-1.866120304,0.085242571,0.771118065,-4.234017091,-1.325306218,8.546722377,13.88474914,9.134110812,5.63106875,9.479385498,7.469497872,10.21821479,11.01787152,6.238393658,6.434889119,7.228777852,11
ARMC7,0.230811119,2.752851884,1.864178568,0.085531861,0.772179885,-4.236656015,1.173494532,5.243336913,5.794875854,7.109286385,6.302443492,8.662101309,7.175762052,7.075565128,6.504442665,6.429518642,6.504442665,8.012406362,3
RABIF,-0.487205711,3.247543224,-1.86373041,0.085598756,0.772179885,-4.237264886,-1.401727304,11.19793593,8.619716058,18.54325594,8.915132148,8.341561439,10.38257004,10.52098932,12.45885922,5.62830588,5.903683197,9.42224985,7
VPS33B,-0.344204486,5.00316231,-1.863658099,0.085609554,0.772179885,-4.237363122,-1.269450804,31.48981012,38.74596292,45.49674059,37.88027441,28.11921665,27.12852267,40.89603211,36.88764054,25.98559739,25.37463092,23.13169516,11
ALDH1B1,-0.265324646,4.176330853,-1.863647836,0.085611087,0.772179885,-4.237377065,-1.201906481,23.86300617,24.765912,14.93779145,18.47001762,16.09564458,16.89070825,16.25196935,16.65421634,20.4951924,16.88619648,16.25196935,7
EFR3A,-0.370956644,6.843067115,-1.863532667,0.085628288,0.772179885,-4.237533519,-1.293210067,127.1558354,189.2264763,110.211983,120.4621423,95.03016485,153.1139031,86.0201049,128.0500232,96.88327199,83.54532512,110.211983,11
NDUFB4,-0.624800017,6.069816182,-1.863331857,0.085658287,0.772240386,-4.237806302,-1.541997063,52.20413109,105.6377339,141.3938012,48.57561939,79.53652999,66.03016485,112.6665285,71.206367,44.94326923,39.11842999,44.78397345,11
GOLGA8CP ,-0.167649561,3.276818628,-1.862952664,0.08571496,0.772261832,-4.238321362,-1.123227032,11.04666953,10.69372562,9.931450996,9.078654283,8.66718093,9.764899473,10.63098057,10.02454396,8.696415356,9.605868319,8.834309242,10
NEK7,-0.642595043,4.19203858,-1.862770642,0.085742177,0.772315245,-4.238568585,-1.561134721,17.81633266,14.86471164,60.93474665,22.39783672,16.77097385,17.43138073,16.27849476,12.44927623,18.36951789,11.09427845,17.43138073,10
TICAM2 ,0.258705493,0.879920603,1.86163278,0.085912493,0.772532528,-4.24011375,1.196404708,1.837398787,1.437851389,1.595196453,1.786536822,1.90482902,2.547726244,1.696747392,2.024632916,1.579923378,2.22643714,1.856714663,7
MAML1,0.198925146,1.603182167,1.861575528,0.08592107,0.772532528,-4.240191483,1.147842857,2.896678263,3.043188956,2.35470223,3.043188956,3.043188956,3.694449415,3.436627569,2.996629206,2.79832235,3.12190538,3.185733441,3
TIAL1,0.290703735,1.06993903,1.861521219,0.085929208,0.772532528,-4.240265219,1.223236818,1.925472673,1.572474065,1.968784935,2.112055516,2.846531142,1.968784935,1.968784935,3.04722799,2.198998733,1.90482902,1.968784935,3
LOC101928623 ,-0.370720267,2.270525073,-1.860511823,0.086080577,0.772532528,-4.241635488,-1.2929982,7.490896523,6.848430624,3.83574716,5.580908492,4.557158318,4.463253167,4.148038074,4.843780015,5.555809151,3.40476149,3.886611706,5
STK35,0.378275096,5.394876644,1.86032745,0.086108252,0.772532528,-4.241885735,1.299786885,22.74417431,42.83428925,43.14684153,56.00269117,45.30560339,46.46570927,55.03016485,48.53990119,38.84790517,32.80026302,43.36784584,11
KIAA0247,0.35731848,2.721616385,1.859766541,0.086192495,0.772532528,-4.242646973,1.281042625,4.092396179,5.974579003,6.837468696,6.730341043,7.508573553,7.200188576,6.460095889,7.157314415,5.506515626,6.087639978,10.90777686,5
MFAP1,-0.333909723,3.397915396,-1.858994448,0.086308577,0.772532528,-4.243694626,-1.260424518,8.862846122,14.77647634,14.81797144,9.814208038,9.814208038,9.814208038,8.496587142,12.75653688,9.814208038,11.9821699,7.634003646,11
MANSC1,-0.362760563,4.963545378,-1.858737375,0.086347259,0.772532528,-4.2440434,-1.285884054,33.62118856,50.68928323,30.85015954,28.73424873,26.58432737,27.72585428,27.56064067,39.20758566,30.40555168,37.21198307,20.04214873,11
DPYSL4,-0.419709639,3.249822534,-1.857586156,0.086520676,0.772532528,-4.245604965,-1.337658306,13.37854444,13.19337167,9.199829137,6.21471083,7.042659095,9.469598648,12.78263932,11.18139009,7.70051985,6.794124042,11.46651011,8
VBP1,-0.343092388,5.918485041,-1.85738094,0.086551622,0.772532528,-4.245883276,-1.268472628,55.8648847,67.9087241,97.99427013,55.13136896,66.48884481,61.02465979,67.3757147,70.03016485,43.50100151,48.13323673,48.23983793,11
ZC3H15,-0.423376783,5.873115545,-1.857315456,0.086561499,0.772532528,-4.245972082,-1.341062786,55.04003105,66.96795948,103.6279466,44.09846766,64.56704104,64.77687126,62.2724682,67.11723076,52.68442216,32.90419999,54.93925575,11
PMPCB,-0.329065448,5.203208024,-1.857195706,0.086579563,0.772532528,-4.246134475,-1.256199368,35.29699169,39.59802199,58.84122039,40.8307744,35.29699169,31.14665465,48.54597201,28.76888067,34.03016604,30.39382201,31.8114492,11
PUM2,0.347584354,2.646047581,1.857195603,0.086579579,0.772532528,-4.246134615,1.272428291,5.07876183,4.655694119,6.131770856,5.262520844,7.062663672,8.842798528,5.015310621,7.323945348,5.216873765,8.618664778,7.344514204,9
TMCC1,-0.366188974,1.030749792,-1.856875329,0.08662791,0.772532528,-4.246568914,-1.288943454,3.377465809,2.504180413,1.754338895,2.479815129,2.326519771,1.979830928,1.500818849,1.734297619,2.083932589,1.505612084,1.870595013,4
CRISPLD2,0.306301665,2.672806739,1.855641921,0.086814265,0.772548838,-4.248241082,1.236533791,6.257707061,5.144948196,5.067713623,6.770779194,7.042666291,6.441203792,5.972510177,6.030692796,5.153212889,7.637862864,9.977456978,5
PIM3,0.280178077,4.874795405,1.855622068,0.086817268,0.772548838,-4.248267993,1.214344766,27.30313299,28.88425359,20.96458956,32.31038783,36.93344169,36.9680445,31.58647526,31.09123592,29.96236139,29.21626959,22.11911037,8
GLT1D1,-0.237400894,4.910853494,-1.855365309,0.086856108,0.772548838,-4.248616016,-1.178866944,30.39382201,37.35506276,34.33452231,33.56670673,30.39382201,30.39382201,29.32099781,31.32565303,22.39369649,24.16134577,30.39382201,7
ZFP28,-0.406065937,1.270921435,-1.855258608,0.086872253,0.772566763,-4.248760635,-1.325067577,4.665766859,2.048796579,2.716662563,2.445449881,1.671121749,2.242913373,2.134570709,2.452267698,1.87721339,2.283947674,3.024997824,3
RPA2,-0.426990362,2.766952033,-1.854967608,0.0869163,0.772665008,-4.249155027,-1.344426013,5.649143745,7.59949594,14.01146101,6.478093923,4.893021401,5.148514105,6.879357634,6.478093923,8.614930617,6.009304667,6.415978646,10
EPHB6,0.461324322,1.389036561,1.853327329,0.087164955,0.773278367,-4.251377502,1.376805077,1.90482902,2.265322804,2.072261023,3.552447519,2.963240469,5.177950681,3.215812885,2.898523196,1.900513401,2.085664452,2.208474615,6
ADAM23,-0.381746961,5.423989902,-1.853025048,0.087210848,0.773278367,-4.251786962,-1.302918606,37.66652853,58.02413666,64.49340563,49.76101735,45.21198303,41.67902427,45.21198303,49.36410633,34.72812264,26.64806512,33.45557184,11
FAM65C,0.548982907,1.643848209,1.852818473,0.087242224,0.773278367,-4.252066763,1.463053886,3.926516722,1.683330265,2.012788299,2.852040224,3.999219629,2.050407681,4.906192359,5.612758398,3.151672156,3.261180358,3.151672156,5
TMEM130,-0.412973531,3.322197148,-1.852421218,0.08730259,0.773278367,-4.252604789,-1.331427185,9.958663353,15.11694773,12.41125859,8.973027721,11.76005749,14.72651949,7.833473881,9.206301986,9.547119496,5.903683197,8.490364748,7
DNAJC15,0.383628262,1.354917154,1.852368531,0.087310599,0.773278367,-4.252676141,1.304618744,1.71876407,1.683330265,3.237891324,1.815420124,2.804508482,2.736659006,3.237891324,3.184539002,2.723503219,3.056454103,2.736659006,6
TBC1D19,-0.379183982,4.334878216,-1.8506974,0.087564975,0.774219822,-4.254938771,-1.300605998,20.50145393,19.69016234,36.12404972,17.36202889,17.42520498,20.10100953,26.30936698,21.48723944,17.88353789,13.36301159,18.86846799,7
RGS19,-0.375009309,3.827201785,-1.850414554,0.087608096,0.774219822,-4.255321626,-1.296847923,15.09503357,19.08037414,17.50612493,17.06774436,14.06473536,11.78751088,7.889045372,15.09503357,11.18071855,15.43586742,16.06674188,8
THUMPD1,0.28860587,2.97949627,1.850028174,0.087667031,0.774219822,-4.255844574,1.221459365,5.556495724,7.924660826,7.201406825,11.30203579,6.863966784,9.906807557,7.924660826,8.376594409,7.555796052,8.347537516,7.200188576,8
FMR1,0.174836879,4.932221082,1.849440863,0.087756684,0.774405884,-4.256639366,1.128836763,25.83806048,31.12109474,27.17021705,31.12109474,31.12109474,36.57561944,31.12109474,33.2524419,28.49113572,31.12109474,30.25931262,11
CCDC84,-0.24022144,4.712181399,-1.849232163,0.087788561,0.774515164,-4.256921762,-1.181173947,38.57966771,23.48657039,28.58389741,26.80146271,22.07032469,24.93995972,25.13358945,23.02771058,25.28738231,26.6097124,26.97587713,9
ACADM,-0.279443128,5.945020909,-1.848985242,0.087826291,0.774515164,-4.257255854,-1.213726303,56.87575452,86.79656922,72.27620427,67.61061842,56.91353766,61.45207673,72.12107394,61.45207673,47.48890678,48.3147156,56.55400072,11
MTO1,-0.351748445,3.241122873,-1.84798335,0.087979529,0.774697075,-4.258611212,-1.276106241,9.038286473,10.17753405,15.64309789,9.484425145,7.846877133,7.31213536,11.66563619,11.84596251,7.889625253,7.846877133,8.061051937,7
LOC100996696 ,0.343702362,2.169995445,1.847832583,0.08800261,0.774697075,-4.258815136,1.269009054,2.587690755,4.569885106,4.582920184,4.569885106,4.937503485,6.750097048,4.281390967,4.695897784,4.3764703,4.016556059,5.255413693,7
LIMD1,0.301907591,0.526709635,1.846468665,0.088211658,0.776008664,-4.260659552,1.23277336,1.366386643,1.241681671,1.116327471,1.488068873,1.308854955,1.566168554,1.165313318,1.366386643,2.23880003,1.556578286,1.730526516,5
UBE2L3,-0.570134016,1.795279693,-1.844930201,0.088447997,0.776547028,-4.262739157,-1.484661478,2.431334832,4.633190359,8.790914743,2.693279555,4.46702609,3.518200752,3.424486552,3.518200752,3.214506681,2.084600466,2.602139948,4
CADM2,0.522801713,3.189985643,1.844805823,0.088467129,0.776547028,-4.262907244,1.436742694,6.095925886,5.914967289,9.56048026,10.85612891,9.56048026,18.95937709,9.56048026,8.297728458,5.914967289,8.360684111,13.74078097,11
DAZAP2,0.317004391,3.547351983,1.844140869,0.088569476,0.776547028,-4.263805781,1.245741207,8.099798871,8.305858769,14.70662787,11.51428116,13.28840437,13.6906111,11.11512605,11.82923577,10.27329702,14.19706744,14.03359447,10
CCDC82,-0.384511995,3.108206126,-1.843806756,0.088620941,0.776547028,-4.264257196,-1.305418142,10.61101296,12.46783246,8.669353374,9.897613803,5.503083226,5.753537841,8.82963076,11.53934019,7.452678638,8.284520125,8.669353374,11
FBXO16,-0.469639752,2.268876239,-1.843719494,0.088634387,0.776547028,-4.264375087,-1.384763642,4.1619733,7.697152356,7.109286385,3.960841056,3.251298193,3.512890908,6.535859886,5.070985111,3.592990128,3.892553748,6.822568036,3
MYRIP,-0.356038407,4.120697221,-1.843033752,0.088740116,0.776547028,-4.265301427,-1.279906487,15.15600742,19.33728827,30.77679928,18.39155909,14.0218284,21.03985567,16.55017442,17.28818624,16.14157138,12.58380924,15.52417051,11
ARL6IP5,-0.624166545,2.523071065,-1.842756494,0.088782896,0.776672775,-4.265675913,-1.541320136,4.462724675,8.944972069,12.22726073,9.920317997,6.257707061,5.44004686,5.75834157,5.281934356,3.497903626,4.152750726,3.107670348,7
SMPDL3A,-0.307012574,0.634705849,-1.842018329,0.088896884,0.776956547,-4.26667279,-1.237143262,1.470230079,1.675834129,2.416705809,1.362667729,1.470230079,1.666319522,1.470230079,1.942205736,1.137272254,1.470230079,1.331731059,7
PRPSAP2,0.405797733,1.508833737,1.84168443,0.088948488,0.77700249,-4.267123646,1.324821263,2.413572459,2.138089727,2.417694239,2.17550541,4.899752657,3.785722648,2.501950443,4.151388163,2.72344788,2.655631392,2.621299689,4
KRT10,-0.200005395,1.361783943,-1.839333302,0.089312622,0.778146343,-4.270297113,-1.14870265,2.78070848,2.739501246,3.015425244,2.545991716,2.500249429,2.538833592,2.569809591,2.994440988,2.04284618,2.506450189,2.208789962,4
CNBP,-0.505030188,4.618983625,-1.839052328,0.089356228,0.778146343,-4.27067622,-1.419153052,16.1726376,32.55575171,60.48524295,22.7618866,25.38693072,22.25544275,18.39098913,25.1163083,21.12304149,22.21643597,22.21643597,11
AHI1,0.256256493,5.474182725,1.838975235,0.089368196,0.778146343,-4.270780233,1.194375513,34.55110306,44.62467932,38.66652849,45.88080868,41.84576173,53.95233665,53.01650424,56.65567142,35.72787785,46.25923082,43.68175785,11
FAM120C,0.287362487,1.580094891,1.83868579,0.089413142,0.778146343,-4.27117073,1.220407108,2.701354171,2.735368086,2.342248568,2.957167188,3.638615415,2.854870019,3.735103483,3.0606485,2.377047199,2.783780993,4.244220275,8
MUM1,0.276387456,2.008602105,1.838450953,0.089449623,0.778146343,-4.271487531,1.211158314,2.910967583,3.447666772,4.274216615,3.999219629,4.053879294,5.50189808,4.499260425,3.855409594,3.441545275,3.909887555,5.014609433,7
TIMP2,0.206783007,6.252507683,1.838225915,0.089484595,0.778146343,-4.271791092,1.154111817,60.03016485,73.4847103,73.4847103,73.4847103,77.82863041,73.03461936,79.42591068,95.05492728,73.4847103,73.4847103,91.65507214,11
SYNGR1,0.303922414,4.108901763,1.8375337,0.089592245,0.778146343,-4.272724722,1.234496215,13.77341723,17.61319891,13.37254501,16.16218491,18.16162847,18.95937709,22.47534245,24.08773707,14.18701591,14.64053361,19.87953686,7
DLGAP4,0.44637068,5.785782104,1.837044174,0.089668445,0.778146343,-4.273384863,1.362608093,48.51338612,59.80090717,29.46724354,52.71192212,58.514155,51.78345132,40.95858042,53.24185965,92.43339552,75.57561939,69.27159526,11
MROH1,0.389894893,3.544240477,1.836917884,0.089688112,0.778146343,-4.273555155,1.310297939,10.09592227,8.637657175,10.09592227,15.58728273,16.09564458,11.73286856,17.35014927,14.49649316,8.589740317,8.871034616,10.96625191,7
NOVA1,0.253191651,3.235898483,1.836895821,0.089691549,0.778146343,-4.273584904,1.191840891,8.153741002,9.456737424,7.39460268,9.168800745,9.256008333,13.64621532,9.168800745,11.1442422,8.674051073,9.017135374,9.833595724,9
SMAD4,0.188446711,2.316441034,1.836471918,0.089757596,0.778146343,-4.274156453,1.139536164,4.873245937,4.422405999,4.31228381,5.120117408,5.75515864,5.753537841,5.832290914,4.79756007,4.873245937,4.542870149,4.797730584,7
PPP6C,-0.335931193,6.268470125,-1.836470864,0.08975776,0.778146343,-4.274157874,-1.262191833,79.09497016,85.44486844,112.6665285,87.58618402,65.18162391,78.09235464,84.94356068,93.26700981,63.05586363,49.21790769,68.46469443,11
B3GALT5,-0.277079554,1.560495522,-1.836458304,0.089759718,0.778146343,-4.274174807,-1.211739477,3.80032118,2.837199194,3.618608374,2.6969068,2.783966817,2.383446156,2.980685297,4.043182446,2.707954101,2.415952407,2.6702958,3
SORL1,0.238491433,0.95339959,1.836303816,0.0897838,0.778146343,-4.274383085,1.179758391,1.979830928,1.554300415,1.645140974,2.303663423,1.715875571,2.443621393,1.979830928,2.318787238,1.862408547,1.734297619,1.979830928,3
RPS11 ,0.3308098,6.270591679,1.836049731,0.089823419,0.778162136,-4.274725619,1.257719148,58.90073304,56.03016485,84.54588805,52.79792186,95.03016485,97.91982201,88.12761511,87.03465836,74.7123763,86.42171331,85.54494673,10
ANXA5,0.450802309,4.232212761,1.835408026,0.089923551,0.7783706,-4.275590594,1.366800148,8.50540974,19.86758257,19.86758257,22.99073496,26.51979569,21.79078694,19.86758257,23.10557887,14.67205846,16.37152896,21.01016555,10
NSUN5,0.310676822,1.900000085,1.834714441,0.090031891,0.7783706,-4.276525322,1.240289429,2.751342168,2.58305179,4.572387822,3.735103483,3.735103483,5.282736841,3.622313973,3.790962674,4.409910175,3.735103483,3.612219859,5
MAPK8IP3,-0.369696644,5.446225963,-1.833177996,0.090272308,0.7783706,-4.278595293,-1.292081116,44.28925277,64.39380121,50.82808907,45.098528,35.1835587,30.91522186,43.8236056,66.46871861,32.41144323,38.92663873,41.40566596,10
PSMD14,-0.416449164,6.742664066,-1.832020235,0.090453852,0.7783706,-4.280154484,-1.334638627,91.86571043,129.1210739,194.3580866,98.16545029,109.0938326,102.7574376,139.0038096,124.4796353,79.43370607,74.51867001,81.74576075,11
NFIA,-0.238896535,6.559089844,-1.831944982,0.090465664,0.7783706,-4.280255812,-1.180089709,99.71867002,106.9288816,112.8450114,108.9425856,77.84834666,95.12107394,93.51026534,72.94402695,77.54579613,98.92044656,103.1667206,11
PRPS1,-0.326557034,4.022574255,-1.831665713,0.090509509,0.7783706,-4.280631826,-1.254017111,14.570896,20.13204067,23.9801975,15.29879452,17.24956255,15.72452085,17.36602631,17.24956255,17.36602631,10.37360151,13.26546656,10
FLJ37786,-0.353435855,0.67529212,-1.831580492,0.090522893,0.7783706,-4.280746564,-1.277599679,1.533930838,2.071058619,2.187688469,1.54489693,1.209362395,2.206022971,1.424365931,1.979830928,1.200373377,1.255406024,1.414865412,4
NCOA2,0.25825321,4.234887972,1.831477591,0.090539056,0.7783706,-4.280885101,1.196029696,14.07568169,17.45831504,18.38206648,25.19031109,19.14608391,22.1590459,18.18855825,15.26448645,21.99579015,18.95937709,18.86846799,11
ZNF207,0.387389149,1.545306412,1.831316001,0.090564442,0.7783706,-4.281102644,1.308024124,2.463456231,2.014286185,2.789011791,2.481668579,2.412712198,3.629408446,3.555667028,4.01101792,3.399791162,4.260480586,2.107324252,4
SERPING1,0.265889315,1.330889084,1.831231909,0.090577655,0.7783706,-4.28121585,1.202376998,1.877487783,2.281989491,2.485350706,2.227692845,2.353044755,2.485350706,2.381445543,3.676144603,2.649638557,2.914194795,2.722217463,3
ESF1,0.229315713,1.305553738,1.831133812,0.090593071,0.7783706,-4.281347906,1.172278792,1.999539255,2.571832094,2.076094281,3.013245374,2.734029908,2.651469975,2.522341832,2.85391824,2.050601209,2.686996149,2.274999906,9
BAALC,0.382197039,4.516708333,1.83096364,0.09061982,0.7783706,-4.28157698,1.303325141,17.67834296,14.3723937,26.48495123,24.49994741,22.31467116,32.92984852,24.74531638,16.74834042,23.03461378,24.06538035,32.49061397,11
RRP1B,0.307098874,3.111142277,1.830834619,0.090640105,0.7783706,-4.281750653,1.237217268,9.004709338,6.963621877,6.466008255,7.997379388,8.018061221,7.178944619,8.932352373,8.960063971,10.69920628,13.11872343,9.56048026,7
RP11-190A12.8,-0.409491613,1.713836877,-1.830466806,0.090697957,0.7783706,-4.28224572,-1.328217685,2.610355482,5.148539082,4.878837623,3.199249529,4.006139424,2.532141232,2.716662563,2.230715441,3.374063836,2.719623779,3.999219629,5
MOB4,-0.387339304,3.493692451,-1.830217161,0.090737241,0.7783706,-4.282581707,-1.307978933,11.39953239,14.77894683,15.24016894,9.273663135,11.15075759,11.49555112,13.97565823,12.29890807,9.80539701,5.942468247,12.11969767,9
NRG1,-0.498936476,1.534756407,-1.830111373,0.090753892,0.7783706,-4.282724076,-1.413171419,2.294121123,4.137854936,5.449157778,3.759195731,2.001173106,2.383446156,4.046565572,2.808007989,1.972633515,2.764627866,2.101894532,4
ATP2B1,-0.235603075,3.44789116,-1.830109869,0.090754129,0.7783706,-4.2827261,-1.17739881,14.77385857,11.63819197,10.79242186,11.76185343,10.79242186,12.34391605,8.867914535,8.810355952,10.79242186,9.874303889,10.79242186,6
VPS36,-0.381751464,5.839605422,-1.829821844,0.090799479,0.7783706,-4.283113698,-1.302922673,50.90241736,77.68261688,84.59769139,64.39380121,66.49891559,42.90890648,51.95605459,68.38687411,56.21398353,35.38290246,50.00193032,11
L1CAM,-0.351590231,6.713732438,-1.829696029,0.090819296,0.7783706,-4.283282999,-1.275966304,90.83538028,161.3191925,134.3028921,144.8015811,93.55621625,101.0369847,85.84834666,107.0806773,91.27365903,100.3414207,75.12107394,11
CD24,0.676996941,5.418627706,1.829657797,0.090825318,0.7783706,-4.283334444,1.598808271,13.25857842,33.9989062,62.3591026,47.97360729,62.66929436,57.20121258,52.10127369,30.79927683,62.96470209,32.63119094,55.00739874,11
EXT2,-0.218166912,3.295264362,-1.829021347,0.090925627,0.778719656,-4.284190769,-1.163254616,9.651388516,9.857502424,13.83101326,10.70754658,9.411059601,8.360684111,9.814208038,9.651388516,8.511063719,9.814208038,9.303415592,10
HOXB3,0.542897904,2.267921287,1.828589963,0.090993673,0.778873002,-4.284771095,1.45689601,3.728297337,3.05393498,4.317131609,6.302443492,5.631623294,2.438620741,5.753537841,4.634970601,4.3764703,8.240267035,7.905621586,10
CANX,0.393263508,1.891559676,1.827644012,0.091143047,0.778873002,-4.286043397,1.313360989,2.778101952,3.456957723,2.934362383,6.588943641,3.880942289,3.299147624,4.643854842,3.592990128,3.592990128,2.675175447,4.811987998,3
WDPCP,0.23802245,2.923598473,1.826353557,0.091347177,0.779083566,-4.287778497,1.179374944,7.193086967,7.714536632,5.491815498,8.915132148,7.756787871,8.788227181,7.756787871,6.968330056,6.458525522,8.407555643,8.825378967,11
MARCH8,0.284840668,1.178847353,1.825429983,0.091493524,0.779083566,-4.289019906,1.218275709,1.718172078,2.151203239,2.040684493,3.320022711,2.799412763,2.151203239,1.878872955,2.549740538,2.151203239,2.105384451,2.447557435,7
LOC101929177,0.29973184,0.743021754,1.824637541,0.091619261,0.779083566,-4.290084791,1.230915597,1.261487389,1.683330265,1.403141828,1.979830928,2.07593229,1.852413312,1.683330265,1.66410018,1.808149902,2.144811266,1.171345135,8
MEF2A,0.345542689,1.444206742,1.824482549,0.091643872,0.779083566,-4.290293041,1.270628856,2.095659335,2.689426957,2.11991421,3.029407159,2.689426957,4.340363669,3.220407252,2.689426957,1.917815288,3.224497761,2.676476218,8
CHD1L,0.307430062,2.730930305,1.824219891,0.091685592,0.779083566,-4.290645932,1.237501318,6.088793083,5.218539499,5.784659463,7.859396232,9.065927891,6.780533112,7.767185709,8.340394142,5.739844897,4.807227919,6.955733106,10
RPS6KA2,0.361846619,2.887994522,1.823415085,0.091813533,0.779083566,-4.291727052,1.285069707,4.816868036,9.848144385,4.946995957,8.555440972,7.072082898,7.200188576,8.402411094,7.200188576,7.068305226,10.50669257,7.961214445,11
PPP2R2C,0.449475215,2.306284648,1.823260695,0.091838095,0.779083566,-4.29193442,1.365543446,3.949351149,6.448802901,2.407496539,6.905099226,4.9447067,5.300941328,4.615387288,5.947015538,4.456976684,7.207061956,4.42924407,6
NAA25,-0.44299391,2.077273131,-1.823103122,0.09186317,0.779083566,-4.292146054,-1.359422503,4.124261004,7.832930181,4.54620841,5.497368748,4.124261004,3.814031314,4.185392261,4.807227919,2.882301475,4.199714729,2.444227673,8
GIGYF2,0.344640719,1.719805298,1.823086252,0.091865854,0.779083566,-4.292168711,1.269834711,3.250136755,3.38943424,1.926427115,4.373174992,4.373174992,2.791208519,3.449744345,2.931673698,3.592990128,3.940417676,3.053335648,7
